# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
       2             1              0.2372952172E+01  0.1186476086E+01   0.2372952172E+01   7534900
       3             2              0.3325129673E+01  0.2216753115E+01   0.6650259346E+01   7519800
       4             3              0.4566917622E+01  0.3425188216E+01   0.1370075287E+02   7504700
       5             4              0.5643301527E+01  0.4514641222E+01   0.2257320611E+02   7489600
       6             5              0.6666107521E+01  0.5555089601E+01   0.3333053760E+02   7474500
       7             6              0.7589791607E+01  0.6505535663E+01   0.4553874964E+02   7459400
       8             7              0.8443139149E+01  0.7387746755E+01   0.5910197404E+02   7444300
       9             8              0.9222131262E+01  0.8197450010E+01   0.7377705009E+02   7429200
      10             9              0.9938471693E+01  0.8944624524E+01   0.8944624524E+02   7414100
      11            10              0.1059539338E+02  0.9632175800E+01   0.1059539338E+03   7399000
      12            11              0.1119970095E+02  0.1026639253E+02   0.1231967104E+03   7383900
      13            12              0.1175546958E+02  0.1085120269E+02   0.1410656350E+03   7368800
      14            13              0.1226762696E+02  0.1139136790E+02   0.1594791505E+03   7353700
      15            14              0.1273980175E+02  0.1189048163E+02   0.1783572245E+03   7338600
      16            15              0.1317594260E+02  0.1235244619E+02   0.1976391390E+03   7323500
      17            16              0.1357911520E+02  0.1278034372E+02   0.2172658432E+03   7308400
      18            17              0.1395240133E+02  0.1317726792E+02   0.2371908226E+03   7293300
      19            18              0.1429843572E+02  0.1354588647E+02   0.2573718430E+03   7278200
      20            19              0.1461964850E+02  0.1388866607E+02   0.2777733215E+03   7263100
      21            20              0.1491814889E+02  0.1420776085E+02   0.2983629778E+03   7248000
      22            21              0.1519606476E+02  0.1450533454E+02   0.3191173599E+03   7232900
      23            22              0.1545501580E+02  0.1478305859E+02   0.3400103476E+03   7217800
      24            23              0.1569672524E+02  0.1504269502E+02   0.3610246805E+03   7202700
      25            24              0.1592258538E+02  0.1528568197E+02   0.3821420492E+03   7187600
      26            25              0.1613391535E+02  0.1551338014E+02   0.4033478837E+03   7172500
      27            26              0.1633193656E+02  0.1572705002E+02   0.4246303506E+03   7157400
      28            27              0.1651769384E+02  0.1592777620E+02   0.4459777337E+03   7142300
      29            28              0.1669212553E+02  0.1611653499E+02   0.4673795147E+03   7127200
      30            29              0.1685612130E+02  0.1629425059E+02   0.4888275177E+03   7112100
      31            30              0.1701046944E+02  0.1646174462E+02   0.5103140833E+03   7097000
      32            31              0.1715590332E+02  0.1661978134E+02   0.5318330029E+03   7081900
      33            32              0.1729305420E+02  0.1676902226E+02   0.5533777345E+03   7066800
      34            33              0.1742254000E+02  0.1691011235E+02   0.5749438200E+03   7051700
      35            34              0.1754490748E+02  0.1704362441E+02   0.5965268545E+03   7036600
      36            35              0.1766064889E+02  0.1717007531E+02   0.6181227112E+03   7021500
      37            36              0.1777028920E+02  0.1729001111E+02   0.6397304112E+03   7006400
      38            37              0.1787423939E+02  0.1740386467E+02   0.6613468576E+03   6991300
      39            38              0.1797286932E+02  0.1751202651E+02   0.6829690341E+03   6976200
      40            39              0.1806657683E+02  0.1761491241E+02   0.7045964964E+03   6961100
      41            40              0.1815566655E+02  0.1771284542E+02   0.7262266621E+03   6946000
      42            41              0.1824051075E+02  0.1780621287E+02   0.7478609407E+03   6930900
      43            42              0.1832134431E+02  0.1789526653E+02   0.7694964609E+03   6915800
      44            43              0.1839841744E+02  0.1798027159E+02   0.7911319499E+03   6900700
      45            44              0.1847200179E+02  0.1806151286E+02   0.8127680789E+03   6885600
      46            45              0.1854233267E+02  0.1813923848E+02   0.8344049700E+03   6870500
      47            46              0.1860962717E+02  0.1821367765E+02   0.8560428497E+03   6855400
      48            47              0.1867399171E+02  0.1828495021E+02   0.8776776102E+03   6840300
      49            48              0.1873567501E+02  0.1835331430E+02   0.8993124006E+03   6825200
      50            49              0.1879479770E+02  0.1841890174E+02   0.9209450871E+03   6810100
      51            50              0.1885154390E+02  0.1848190578E+02   0.9425771948E+03   6795000
      52            51              0.1890600065E+02  0.1854242371E+02   0.9642060330E+03   6779900
      53            52              0.1895830880E+02  0.1860060486E+02   0.9858320574E+03   6764800
      54            53              0.1900856469E+02  0.1865655423E+02   0.1007453928E+04   6749700
      55            54              0.1905688898E+02  0.1871040009E+02   0.1029072005E+04   6734600
      56            55              0.1910336394E+02  0.1876223244E+02   0.1050685017E+04   6719500
      57            56              0.1914810853E+02  0.1881217680E+02   0.1072294077E+04   6704400
      58            57              0.1919118149E+02  0.1886029905E+02   0.1093897345E+04   6689300
      59            58              0.1923270147E+02  0.1890672348E+02   0.1115496685E+04   6674200
      60            59              0.1927274657E+02  0.1895153413E+02   0.1137092048E+04   6659100
      61            60              0.1931135771E+02  0.1899477808E+02   0.1158681463E+04   6644000
      62            61              0.1934862471E+02  0.1903655012E+02   0.1180266107E+04   6628900
      63            62              0.1938460757E+02  0.1907691538E+02   0.1201845669E+04   6613800
      64            63              0.1941935457E+02  0.1911592716E+02   0.1223419338E+04   6598700
      65            64              0.1945292777E+02  0.1915365196E+02   0.1244987377E+04   6583600
      66            65              0.1948539319E+02  0.1919015996E+02   0.1266550558E+04   6568500
      67            66              0.1951681880E+02  0.1922552300E+02   0.1288110041E+04   6553400
      68            67              0.1954721540E+02  0.1925975635E+02   0.1309663432E+04   6538300
      69            68              0.1957667312E+02  0.1929295322E+02   0.1331213772E+04   6523200
      70            69              0.1960520208E+02  0.1932512776E+02   0.1352758944E+04   6508100
      71            70              0.1963286084E+02  0.1935634167E+02   0.1374300259E+04   6493000
      72            71              0.1965967074E+02  0.1938661975E+02   0.1395836622E+04   6477900
      73            72              0.1968570586E+02  0.1941603865E+02   0.1417370822E+04   6462800
      74            73              0.1971098362E+02  0.1944461897E+02   0.1438901804E+04   6447700
      75            74              0.1973557932E+02  0.1947243826E+02   0.1460432870E+04   6432600
      76            75              0.1975950198E+02  0.1949950853E+02   0.1481962648E+04   6417500
      77            76              0.1978280805E+02  0.1952588847E+02   0.1503493412E+04   6402400
      78            77              0.1980548434E+02  0.1955156788E+02   0.1525022295E+04   6387300
      79            78              0.1982758988E+02  0.1957660773E+02   0.1546552010E+04   6372200
      80            79              0.1984910067E+02  0.1960098691E+02   0.1568078953E+04   6357100
      81            80              0.1987003253E+02  0.1962472349E+02   0.1589602602E+04   6342000
      82            81              0.1989043553E+02  0.1964786924E+02   0.1611125278E+04   6326900
      83            82              0.1991028670E+02  0.1967040373E+02   0.1632643509E+04   6311800
      84            83              0.1992962479E+02  0.1969236736E+02   0.1654158858E+04   6296700
      85            84              0.1994843087E+02  0.1971374345E+02   0.1675668193E+04   6281600
      86            85              0.1996675993E+02  0.1973458830E+02   0.1697174594E+04   6266500
      87            86              0.1998458194E+02  0.1975487410E+02   0.1718674047E+04   6251400
      88            87              0.2000195796E+02  0.1977466298E+02   0.1740170342E+04   6236300
      89            88              0.2001888600E+02  0.1979395470E+02   0.1761661968E+04   6221200
      90            89              0.2003537117E+02  0.1981275594E+02   0.1783148034E+04   6206100
      91            90              0.2005141991E+02  0.1983107463E+02   0.1804627791E+04   6191000
      92            91              0.2006703339E+02  0.1984891346E+02   0.1826100038E+04   6175900
      93            92              0.2008222635E+02  0.1986628843E+02   0.1847564824E+04   6160800
      94            93              0.2009700213E+02  0.1988320424E+02   0.1869021198E+04   6145700
      95            94              0.2011140304E+02  0.1989970406E+02   0.1890471886E+04   6130600
      96            95              0.2012541435E+02  0.1991577462E+02   0.1911914363E+04   6115500
      97            96              0.2013904451E+02  0.1993142549E+02   0.1933348273E+04   6100400
      98            97              0.2015231957E+02  0.1994668365E+02   0.1954774998E+04   6085300
      99            98              0.2016522958E+02  0.1996154039E+02   0.1976192499E+04   6070200
     100            99              0.2017779607E+02  0.1997601811E+02   0.1997601811E+04   6055100
     101           100              0.2019002491E+02  0.1999012367E+02   0.2019002491E+04   6040000
     102           101              0.2020191075E+02  0.2000385280E+02   0.2040392986E+04   6024900
     103           102              0.2021348354E+02  0.2001723613E+02   0.2061775321E+04   6009800
     104           103              0.2022472604E+02  0.2003025752E+02   0.2083146782E+04   5994700
     105           104              0.2023567174E+02  0.2004295106E+02   0.2104509861E+04   5979600
     106           105              0.2024632276E+02  0.2005531971E+02   0.2125863890E+04   5964500
     107           106              0.2025672842E+02  0.2006741320E+02   0.2147213212E+04   5949400
     108           107              0.2026688218E+02  0.2007922587E+02   0.2168556394E+04   5934300
     109           108              0.2027680506E+02  0.2009077932E+02   0.2189894946E+04   5919200
     110           109              0.2028652486E+02  0.2010210190E+02   0.2211231209E+04   5904100
     111           110              0.2029603805E+02  0.2011319086E+02   0.2232564186E+04   5889000
     112           111              0.2030533830E+02  0.2012404063E+02   0.2253892551E+04   5873900
