# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
       2             1              0.2372952176E+01  0.1186476088E+01   0.2372952176E+01   7534900
       3             2              0.3325129679E+01  0.2216753119E+01   0.6650259358E+01   7519800
       4             3              0.4566917630E+01  0.3425188222E+01   0.1370075289E+02   7504700
       5             4              0.5643301537E+01  0.4514641230E+01   0.2257320615E+02   7489600
       6             5              0.6666107533E+01  0.5555089610E+01   0.3333053766E+02   7474500
       7             6              0.7589791620E+01  0.6505535674E+01   0.4553874972E+02   7459400
       8             7              0.8443139164E+01  0.7387746768E+01   0.5910197415E+02   7444300
       9             8              0.9222131278E+01  0.8197450025E+01   0.7377705022E+02   7429200
      10             9              0.9938471710E+01  0.8944624539E+01   0.8944624539E+02   7414100
      11            10              0.1059539340E+02  0.9632175817E+01   0.1059539340E+03   7399000
      12            11              0.1119970097E+02  0.1026639255E+02   0.1231967106E+03   7383900
      13            12              0.1175546961E+02  0.1085120271E+02   0.1410656353E+03   7368800
      14            13              0.1226762699E+02  0.1139136792E+02   0.1594791508E+03   7353700
      15            14              0.1273980177E+02  0.1189048165E+02   0.1783572248E+03   7338600
      16            15              0.1317594263E+02  0.1235244621E+02   0.1976391394E+03   7323500
      17            16              0.1357911522E+02  0.1278034374E+02   0.2172658436E+03   7308400
      18            17              0.1395240135E+02  0.1317726794E+02   0.2371908230E+03   7293300
      19            18              0.1429843575E+02  0.1354588650E+02   0.2573718434E+03   7278200
      20            19              0.1461964852E+02  0.1388866610E+02   0.2777733220E+03   7263100
      21            20              0.1491814892E+02  0.1420776087E+02   0.2983629784E+03   7248000
      22            21              0.1519606479E+02  0.1450533457E+02   0.3191173605E+03   7232900
      23            22              0.1545501583E+02  0.1478305862E+02   0.3400103483E+03   7217800
      24            23              0.1569672527E+02  0.1504269505E+02   0.3610246811E+03   7202700
      25            24              0.1592258541E+02  0.1528568199E+02   0.3821420499E+03   7187600
      26            25              0.1613391538E+02  0.1551338017E+02   0.4033478844E+03   7172500
      27            26              0.1633193659E+02  0.1572705005E+02   0.4246303514E+03   7157400
      28            27              0.1651769387E+02  0.1592777623E+02   0.4459777345E+03   7142300
      29            28              0.1669212556E+02  0.1611653502E+02   0.4673795156E+03   7127200
      30            29              0.1685612133E+02  0.1629425062E+02   0.4888275186E+03   7112100
      31            30              0.1701046947E+02  0.1646174465E+02   0.5103140842E+03   7097000
      32            31              0.1715590335E+02  0.1661978137E+02   0.5318330039E+03   7081900
      33            32              0.1729305423E+02  0.1676902229E+02   0.5533777355E+03   7066800
      34            33              0.1742254003E+02  0.1691011238E+02   0.5749438210E+03   7051700
      35            34              0.1754490752E+02  0.1704362445E+02   0.5965268556E+03   7036600
      36            35              0.1766064892E+02  0.1717007534E+02   0.6181227124E+03   7021500
      37            36              0.1777028923E+02  0.1729001114E+02   0.6397304124E+03   7006400
      38            37              0.1787423943E+02  0.1740386471E+02   0.6613468588E+03   6991300
      39            38              0.1797286935E+02  0.1751202655E+02   0.6829690353E+03   6976200
      40            39              0.1806657686E+02  0.1761491244E+02   0.7045964977E+03   6961100
      41            40              0.1815566659E+02  0.1771284545E+02   0.7262266634E+03   6946000
      42            41              0.1824051078E+02  0.1780621291E+02   0.7478609421E+03   6930900
      43            42              0.1832134434E+02  0.1789526657E+02   0.7694964624E+03   6915800
      44            43              0.1839841747E+02  0.1798027162E+02   0.7911319514E+03   6900700
      45            44              0.1847200183E+02  0.1806151290E+02   0.8127680804E+03   6885600
      46            45              0.1854233270E+02  0.1813923851E+02   0.8344049716E+03   6870500
      47            46              0.1860962720E+02  0.1821367769E+02   0.8560428513E+03   6855400
      48            47              0.1867399174E+02  0.1828495025E+02   0.8776776118E+03   6840300
      49            48              0.1873567505E+02  0.1835331433E+02   0.8993124023E+03   6825200
      50            49              0.1879479773E+02  0.1841890178E+02   0.9209450889E+03   6810100
      51            50              0.1885154393E+02  0.1848190581E+02   0.9425771966E+03   6795000
      52            51              0.1890600068E+02  0.1854242375E+02   0.9642060349E+03   6779900
      53            52              0.1895830883E+02  0.1860060489E+02   0.9858320592E+03   6764800
      54            53              0.1900856472E+02  0.1865655426E+02   0.1007453930E+04   6749700
      55            54              0.1905688901E+02  0.1871040012E+02   0.1029072007E+04   6734600
      56            55              0.1910336397E+02  0.1876223247E+02   0.1050685018E+04   6719500
      57            56              0.1914810856E+02  0.1881217683E+02   0.1072294079E+04   6704400
      58            57              0.1919118152E+02  0.1886029908E+02   0.1093897347E+04   6689300
      59            58              0.1923270150E+02  0.1890672351E+02   0.1115496687E+04   6674200
      60            59              0.1927274661E+02  0.1895153416E+02   0.1137092050E+04   6659100
      61            60              0.1931135775E+02  0.1899477811E+02   0.1158681465E+04   6644000
      62            61              0.1934862475E+02  0.1903655015E+02   0.1180266110E+04   6628900
      63            62              0.1938460760E+02  0.1907691542E+02   0.1201845671E+04   6613800
      64            63              0.1941935461E+02  0.1911592719E+02   0.1223419340E+04   6598700
