# # of beads(n)  # of segments(m)      <Ree2>/m          <Ree2>/n       Ree(ilength)         Count
# -------------  ----------------      --------          --------       ------------         -----
       2             1              0.2372952524E+01  0.1186476262E+01   0.2372952524E+01   7485000
       3             2              0.3325130987E+01  0.2216753992E+01   0.6650261975E+01   7470000
       4             3              0.4566976422E+01  0.3425232316E+01   0.1370092927E+02   7455000
       5             4              0.5643408004E+01  0.4514726403E+01   0.2257363202E+02   7440000
       6             5              0.6666333064E+01  0.5555277553E+01   0.3333166532E+02   7425000
       7             6              0.7590155325E+01  0.6505847421E+01   0.4554093195E+02   7410000
       8             7              0.8443717460E+01  0.7388252777E+01   0.5910602222E+02   7395000
       9             8              0.9222956477E+01  0.8198183535E+01   0.7378365182E+02   7380000
      10             9              0.9939592659E+01  0.8945633393E+01   0.8945633393E+02   7365000
      11            10              0.1059684633E+02  0.9633496666E+01   0.1059684633E+03   7350000
      12            11              0.1120152686E+02  0.1026806629E+02   0.1232167954E+03   7335000
      13            12              0.1175769988E+02  0.1085326143E+02   0.1410923986E+03   7320000
      14            13              0.1227029205E+02  0.1139384262E+02   0.1595137967E+03   7305000
      15            14              0.1274291732E+02  0.1189338950E+02   0.1784008424E+03   7290000
      16            15              0.1317953345E+02  0.1235581261E+02   0.1976930018E+03   7275000
      17            16              0.1358319219E+02  0.1278418088E+02   0.2173310750E+03   7260000
      18            17              0.1395697764E+02  0.1318159000E+02   0.2372686199E+03   7245000
      19            18              0.1430352075E+02  0.1355070386E+02   0.2574633734E+03   7230000
      20            19              0.1462524567E+02  0.1389398339E+02   0.2778796677E+03   7215000
      21            20              0.1492426741E+02  0.1421358801E+02   0.2984853482E+03   7200000
      22            21              0.1520270723E+02  0.1451167508E+02   0.3192568517E+03   7185000
      23            22              0.1546218604E+02  0.1478991708E+02   0.3401680929E+03   7170000
      24            23              0.1570441830E+02  0.1505006754E+02   0.3612016210E+03   7155000
      25            24              0.1593080297E+02  0.1529357085E+02   0.3823392713E+03   7140000
      26            25              0.1614265535E+02  0.1552178399E+02   0.4035663839E+03   7125000
      27            26              0.1634119598E+02  0.1573596650E+02   0.4248710955E+03   7110000
      28            27              0.1652747172E+02  0.1593720487E+02   0.4462417364E+03   7095000
      29            28              0.1670241592E+02  0.1612647054E+02   0.4676676457E+03   7080000
      30            29              0.1686692030E+02  0.1630468963E+02   0.4891406888E+03   7065000
      31            30              0.1702177495E+02  0.1647268544E+02   0.5106532485E+03   7050000
      32            31              0.1716771037E+02  0.1663121942E+02   0.5321990215E+03   7035000
      33            32              0.1730535890E+02  0.1678095408E+02   0.5537714848E+03   7020000
      34            33              0.1743533816E+02  0.1692253410E+02   0.5753661594E+03   7005000
      35            34              0.1755819479E+02  0.1705653208E+02   0.5969786228E+03   6990000
      36            35              0.1767441908E+02  0.1718346300E+02   0.6186046679E+03   6975000
      37            36              0.1778453826E+02  0.1730387506E+02   0.6402433773E+03   6960000
      38            37              0.1788896131E+02  0.1741819917E+02   0.6618915683E+03   6945000
      39            38              0.1798805984E+02  0.1752682753E+02   0.6835462737E+03   6930000
      40            39              0.1808223435E+02  0.1763017849E+02   0.7052071395E+03   6915000
      41            40              0.1817178284E+02  0.1772856863E+02   0.7268713138E+03   6900000
      42            41              0.1825708403E+02  0.1782239155E+02   0.7485404451E+03   6885000
      43            42              0.1833836345E+02  0.1791188988E+02   0.7702112650E+03   6870000
      44            43              0.1841587597E+02  0.1799733334E+02   0.7918826669E+03   6855000
      45            44              0.1848989302E+02  0.1807900651E+02   0.8135552927E+03   6840000
      46            45              0.1856064772E+02  0.1815715538E+02   0.8352291476E+03   6825000
      47            46              0.1862835804E+02  0.1823201000E+02   0.8569044698E+03   6810000
      48            47              0.1869313193E+02  0.1830369168E+02   0.8785772006E+03   6795000
      49            48              0.1875521404E+02  0.1837245457E+02   0.9002502739E+03   6780000
      50            49              0.1881472748E+02  0.1843843293E+02   0.9219216467E+03   6765000
      51            50              0.1887185414E+02  0.1850181778E+02   0.9435927069E+03   6750000
      52            51              0.1892668134E+02  0.1856270670E+02   0.9652607484E+03   6735000
      53            52              0.1897934945E+02  0.1862124852E+02   0.9869261715E+03   6720000
      54            53              0.1902995690E+02  0.1867755029E+02   0.1008587716E+04   6705000
      55            54              0.1907862184E+02  0.1873173780E+02   0.1030245579E+04   6690000
      56            55              0.1912542776E+02  0.1878390226E+02   0.1051898527E+04   6675000
      57            56              0.1917049464E+02  0.1883417018E+02   0.1073547700E+04   6660000
      58            57              0.1921387994E+02  0.1888260615E+02   0.1095191157E+04   6645000
      59            58              0.1925570314E+02  0.1892933529E+02   0.1116830782E+04   6630000
      60            59              0.1929604327E+02  0.1897444255E+02   0.1138466553E+04   6615000
