#  iFrame          Time(ps)     <Ree^2>(A^2)     stdRee^2(A^2)     <Ree^2>/M(molnm2/kg)
#======================================================================================
         0          0.000       409.60         0.00        0.475
         1         10.000       128.45         0.00        0.149
         2         20.000       281.26         0.00        0.326
         3         30.000      1957.49         0.00        2.269
         4         40.000      3926.34         0.00        4.552
         5         50.000     10422.09         0.00       12.082
         6         60.000      6595.18         0.00        7.646
         7         70.000      3019.91         0.00        3.501
         8         80.000      1447.15         0.00        1.678
         9         90.000      1829.92         0.00        2.121
        10        100.000      4422.35         0.00        5.127
        11        110.000      6162.33         0.00        7.144
        12        120.000      8038.18         0.00        9.318
        13        130.000     11643.79         0.00       13.498
        14        140.000     10377.03         0.00       12.030
        15        150.000     11883.45         0.00       13.776
        16        160.000      8956.88         0.00       10.384
        17        170.000      7047.03         0.00        8.169
        18        180.000      4717.84         0.00        5.469
        19        190.000      5459.48         0.00        6.329
        20        200.000      4081.25         0.00        4.731
        21        210.000      5357.59         0.00        6.211
        22        220.000      3630.18         0.00        4.208
        23        230.000      6164.34         0.00        7.146
        24        240.000      9484.60         0.00       10.995
        25        250.000     10953.34         0.00       12.698
        26        260.000     12180.16         0.00       14.120
        27        270.000      8189.23         0.00        9.494
        28        280.000      4801.99         0.00        5.567
        29        290.000     10348.17         0.00       11.996
        30        300.000     12551.57         0.00       14.551
        31        310.000     13066.49         0.00       15.148
        32        320.000     14519.63         0.00       16.832
        33        330.000     13269.46         0.00       15.383
        34        340.000     19123.58         0.00       22.170
        35        350.000     22126.33         0.00       25.651
        36        360.000     22022.04         0.00       25.530
        37        370.000     16663.65         0.00       19.318
        38        380.000     15308.22         0.00       17.747
        39        390.000     12782.87         0.00       14.819
        40        400.000     13090.46         0.00       15.175
        41        410.000     10633.34         0.00       12.327
        42        420.000      8068.39         0.00        9.354
        43        430.000      3722.45         0.00        4.315
        44        440.000      2367.68         0.00        2.745
        45        450.000      3362.82         0.00        3.898
        46        460.000      4246.99         0.00        4.923
        47        470.000      2666.53         0.00        3.091
        48        480.000      1515.24         0.00        1.757
        49        490.000      3261.19         0.00        3.781
        50        500.000      1359.43         0.00        1.576
        51        510.000       268.16         0.00        0.311
        52        520.000         7.50         0.00        0.009
        53        530.000       210.90         0.00        0.244
        54        540.000        27.56         0.00        0.032
        55        550.000        32.50         0.00        0.038
        56        560.000        10.61         0.00        0.012
        57        570.000        64.19         0.00        0.074
        58        580.000       706.98         0.00        0.820
        59        590.000       994.63         0.00        1.153
        60        600.000      2588.48         0.00        3.001
        61        610.000      2819.71         0.00        3.269
        62        620.000      3602.17         0.00        4.176
        63        630.000      5438.74         0.00        6.305
        64        640.000     12953.16         0.00       15.016
        65        650.000     17337.12         0.00       20.099
        66        660.000     25458.52         0.00       29.514
        67        670.000     25021.86         0.00       29.007
        68        680.000     19351.28         0.00       22.434
        69        690.000     18279.05         0.00       21.191
        70        700.000     11870.65         0.00       13.761
        71        710.000     13770.96         0.00       15.964
        72        720.000      9842.45         0.00       11.410
        73        730.000     10352.69         0.00       12.002
        74        740.000     12138.21         0.00       14.072
        75        750.000     13532.43         0.00       15.688
        76        760.000      8117.22         0.00        9.410
        77        770.000      5172.03         0.00        5.996
        78        780.000      3369.27         0.00        3.906
        79        790.000      2571.37         0.00        2.981
        80        800.000      3809.20         0.00        4.416
        81        810.000      2624.33         0.00        3.042
        82        820.000      5008.56         0.00        5.806
        83        830.000     10856.67         0.00       12.586
        84        840.000     10207.02         0.00       11.833
        85        850.000     10886.82         0.00       12.621
        86        860.000     10768.02         0.00       12.483
        87        870.000     10260.03         0.00       11.894
        88        880.000     11433.29         0.00       13.254
        89        890.000     18678.29         0.00       21.653
        90        900.000     17797.64         0.00       20.632
        91        910.000     19672.67         0.00       22.806
        92        920.000     15044.10         0.00       17.440
        93        930.000     14121.99         0.00       16.371
        94        940.000     13318.21         0.00       15.440
        95        950.000     12195.48         0.00       14.138
        96        960.000     12919.20         0.00       14.977
        97        970.000      7369.34         0.00        8.543
        98        980.000      5104.94         0.00        5.918
        99        990.000      8234.42         0.00        9.546
       100       1000.000      7393.31         0.00        8.571
       101       1010.000      3926.45         0.00        4.552
       102       1020.000      3790.81         0.00        4.395
       103       1030.000      4075.11         0.00        4.724
       104       1040.000      2731.63         0.00        3.167
       105       1050.000      1758.40         0.00        2.038
       106       1060.000       864.13         0.00        1.002
       107       1070.000      2385.05         0.00        2.765
       108       1080.000      6567.05         0.00        7.613
       109       1090.000     12534.40         0.00       14.531
       110       1100.000     18306.58         0.00       21.222
       111       1110.000     22923.44         0.00       26.575
       112       1120.000     25090.39         0.00       29.087
       113       1130.000     19810.40         0.00       22.966
       114       1140.000     14907.35         0.00       17.282
       115       1150.000     11640.76         0.00       13.495
       116       1160.000      6536.66         0.00        7.578
       117       1170.000      5096.58         0.00        5.908
       118       1180.000      2742.44         0.00        3.179
       119       1190.000      1272.68         0.00        1.475
       120       1200.000       519.75         0.00        0.603
       121       1210.000      1241.41         0.00        1.439
       122       1220.000      4600.57         0.00        5.333
       123       1230.000      2922.42         0.00        3.388
       124       1240.000      1321.52         0.00        1.532
       125       1250.000      2516.95         0.00        2.918
       126       1260.000      4280.04         0.00        4.962
       127       1270.000      3467.65         0.00        4.020
       128       1280.000      4945.21         0.00        5.733
       129       1290.000      5278.40         0.00        6.119
       130       1300.000      8032.19         0.00        9.312
       131       1310.000     12321.25         0.00       14.284
       132       1320.000     14914.35         0.00       17.290
       133       1330.000     14508.27         0.00       16.819
       134       1340.000     10267.00         0.00       11.902
       135       1350.000      8078.57         0.00        9.365
       136       1360.000      6227.99         0.00        7.220
       137       1370.000      7542.08         0.00        8.743
       138       1380.000      6152.49         0.00        7.132
       139       1390.000      4327.44         0.00        5.017
       140       1400.000      1079.54         0.00        1.251
       141       1410.000      1734.70         0.00        2.011
       142       1420.000      2671.80         0.00        3.097
       143       1430.000      2034.13         0.00        2.358
       144       1440.000      3603.04         0.00        4.177
       145       1450.000      7095.47         0.00        8.226
       146       1460.000      8174.17         0.00        9.476
       147       1470.000     11789.55         0.00       13.667
       148       1480.000      9301.82         0.00       10.783
       149       1490.000     14579.13         0.00       16.901
       150       1500.000     20644.60         0.00       23.933
       151       1510.000     15870.12         0.00       18.398
       152       1520.000     13804.79         0.00       16.004
       153       1530.000     14943.22         0.00       17.323
       154       1540.000     13547.67         0.00       15.706
       155       1550.000     12030.91         0.00       13.947
       156       1560.000     13009.26         0.00       15.081
       157       1570.000      9840.53         0.00       11.408
       158       1580.000      6939.09         0.00        8.044
       159       1590.000      6958.43         0.00        8.067
       160       1600.000      8800.08         0.00       10.202
       161       1610.000      7262.18         0.00        8.419
       162       1620.000      6047.47         0.00        7.011
       163       1630.000      2879.03         0.00        3.338
       164       1640.000      1016.61         0.00        1.179
       165       1650.000      1519.76         0.00        1.762
       166       1660.000      2177.69         0.00        2.525
       167       1670.000      2544.07         0.00        2.949
       168       1680.000      3513.50         0.00        4.073
       169       1690.000      4682.00         0.00        5.428
       170       1700.000      9632.19         0.00       11.166
       171       1710.000     14976.63         0.00       17.362
       172       1720.000     13251.61         0.00       15.362
       173       1730.000     10751.35         0.00       12.464
       174       1740.000     10037.91         0.00       11.637
       175       1750.000      9693.21         0.00       11.237
       176       1760.000      9900.05         0.00       11.477
       177       1770.000     11017.51         0.00       12.772
       178       1780.000      4206.82         0.00        4.877
       179       1790.000      6076.75         0.00        7.045
       180       1800.000     10190.56         0.00       11.814
       181       1810.000     10324.08         0.00       11.968
       182       1820.000     12279.11         0.00       14.235
       183       1830.000      7362.99         0.00        8.536
       184       1840.000      5275.81         0.00        6.116
       185       1850.000      2020.05         0.00        2.342
       186       1860.000      2419.73         0.00        2.805
       187       1870.000      1444.09         0.00        1.674
       188       1880.000      1615.07         0.00        1.872
       189       1890.000      3066.81         0.00        3.555
       190       1900.000      2669.58         0.00        3.095
       191       1910.000      4455.67         0.00        5.165
       192       1920.000      7054.58         0.00        8.178
       193       1930.000      9770.70         0.00       11.327
       194       1940.000     13164.84         0.00       15.262
       195       1950.000     11392.20         0.00       13.207
       196       1960.000     12668.20         0.00       14.686
       197       1970.000     12216.43         0.00       14.162
       198       1980.000      8723.62         0.00       10.113
       199       1990.000      3106.74         0.00        3.602
       200       2000.000      4828.44         0.00        5.598
       201       2010.000      4699.15         0.00        5.448
       202       2020.000      4573.30         0.00        5.302
       203       2030.000      5723.40         0.00        6.635
       204       2040.000      8402.44         0.00        9.741
       205       2050.000     10768.80         0.00       12.484
       206       2060.000      8777.12         0.00       10.175
       207       2070.000      7746.70         0.00        8.981
       208       2080.000      4932.49         0.00        5.718
       209       2090.000      3910.28         0.00        4.533
       210       2100.000      3083.94         0.00        3.575
       211       2110.000      5311.86         0.00        6.158
       212       2120.000      5332.80         0.00        6.182
       213       2130.000      8223.05         0.00        9.533
       214       2140.000      9226.92         0.00       10.697
       215       2150.000      8823.49         0.00       10.229
       216       2160.000      9602.05         0.00       11.131
       217       2170.000      2117.31         0.00        2.455
       218       2180.000       625.37         0.00        0.725
       219       2190.000      1010.09         0.00        1.171
       220       2200.000      1074.79         0.00        1.246
       221       2210.000      2077.60         0.00        2.409
       222       2220.000      5231.51         0.00        6.065
       223       2230.000      3820.56         0.00        4.429
       224       2240.000      4292.16         0.00        4.976
       225       2250.000      3545.96         0.00        4.111
       226       2260.000      4393.93         0.00        5.094
       227       2270.000      4655.61         0.00        5.397
       228       2280.000      2763.46         0.00        3.204
       229       2290.000      1976.54         0.00        2.291
       230       2300.000      5237.67         0.00        6.072
       231       2310.000      7196.00         0.00        8.342
       232       2320.000      4082.11         0.00        4.732
       233       2330.000      6915.93         0.00        8.017
       234       2340.000      4929.76         0.00        5.715
       235       2350.000      5232.26         0.00        6.066
       236       2360.000      8261.85         0.00        9.578
       237       2370.000      8496.67         0.00        9.850
       238       2380.000      7643.26         0.00        8.861
       239       2390.000      6633.16         0.00        7.690
       240       2400.000      4824.88         0.00        5.593
       241       2410.000      4634.27         0.00        5.372
       242       2420.000      4432.93         0.00        5.139
       243       2430.000      3916.20         0.00        4.540
       244       2440.000      5336.36         0.00        6.186
       245       2450.000      7372.59         0.00        8.547
       246       2460.000      7361.50         0.00        8.534
       247       2470.000      8289.30         0.00        9.610
       248       2480.000      6210.05         0.00        7.199
       249       2490.000      4779.00         0.00        5.540
       250       2500.000      2766.37         0.00        3.207
       251       2510.000       818.42         0.00        0.949
       252       2520.000      2110.43         0.00        2.447
       253       2530.000      5687.95         0.00        6.594
       254       2540.000      7459.68         0.00        8.648
       255       2550.000      5887.84         0.00        6.826
       256       2560.000      2737.31         0.00        3.173
       257       2570.000      2100.82         0.00        2.435
       258       2580.000      3071.98         0.00        3.561
       259       2590.000      2811.38         0.00        3.259
       260       2600.000      6605.88         0.00        7.658
       261       2610.000      7218.28         0.00        8.368
       262       2620.000      4477.82         0.00        5.191
       263       2630.000      2529.62         0.00        2.933
       264       2640.000       511.55         0.00        0.593
       265       2650.000       514.26         0.00        0.596
       266       2660.000       198.48         0.00        0.230
       267       2670.000        93.20         0.00        0.108
       268       2680.000       225.87         0.00        0.262
       269       2690.000       697.87         0.00        0.809
       270       2700.000      1232.43         0.00        1.429
       271       2710.000      1385.85         0.00        1.607
       272       2720.000      1316.69         0.00        1.526
       273       2730.000      1127.86         0.00        1.308
       274       2740.000      2349.17         0.00        2.723
       275       2750.000      6654.04         0.00        7.714
       276       2760.000      6462.06         0.00        7.491
       277       2770.000      4444.89         0.00        5.153
       278       2780.000      7464.85         0.00        8.654
       279       2790.000      7711.38         0.00        8.940
       280       2800.000      4878.53         0.00        5.656
       281       2810.000      6446.96         0.00        7.474
       282       2820.000      1490.69         0.00        1.728
       283       2830.000      2323.12         0.00        2.693
       284       2840.000      4579.76         0.00        5.309
       285       2850.000      1802.07         0.00        2.089
       286       2860.000      2331.55         0.00        2.703
       287       2870.000      3416.11         0.00        3.960
       288       2880.000      2041.80         0.00        2.367
       289       2890.000      1766.75         0.00        2.048
       290       2900.000       280.25         0.00        0.325
       291       2910.000       240.87         0.00        0.279
       292       2920.000        59.05         0.00        0.068
       293       2930.000        13.70         0.00        0.016
       294       2940.000        26.37         0.00        0.031
       295       2950.000        24.14         0.00        0.028
       296       2960.000        31.03         0.00        0.036
       297       2970.000       122.71         0.00        0.142
       298       2980.000       426.07         0.00        0.494
       299       2990.000      1620.71         0.00        1.879
       300       3000.000      2271.57         0.00        2.633
       301       3010.000      3528.75         0.00        4.091
       302       3020.000      6517.66         0.00        7.556
       303       3030.000      3483.77         0.00        4.039
       304       3040.000      3262.14         0.00        3.782
       305       3050.000      1619.78         0.00        1.878
       306       3060.000      1323.45         0.00        1.534
       307       3070.000      1780.75         0.00        2.064
       308       3080.000      3849.19         0.00        4.462
       309       3090.000      4128.86         0.00        4.787
       310       3100.000      6044.61         0.00        7.007
       311       3110.000      7270.21         0.00        8.428
       312       3120.000      8216.74         0.00        9.525
       313       3130.000      6481.49         0.00        7.514
       314       3140.000      7168.72         0.00        8.311
       315       3150.000      4121.76         0.00        4.778
       316       3160.000      1562.11         0.00        1.811
       317       3170.000       409.06         0.00        0.474
       318       3180.000      1782.87         0.00        2.067
       319       3190.000      5474.28         0.00        6.346
       320       3200.000      8365.24         0.00        9.698
       321       3210.000      8812.12         0.00       10.216
       322       3220.000      9960.01         0.00       11.546
       323       3230.000      9398.61         0.00       10.896
       324       3240.000      7081.74         0.00        8.210
       325       3250.000      3995.43         0.00        4.632
       326       3260.000      1747.33         0.00        2.026
       327       3270.000      4639.28         0.00        5.378
       328       3280.000      2857.20         0.00        3.312
       329       3290.000      3227.42         0.00        3.741
       330       3300.000      3989.92         0.00        4.625
       331       3310.000      3559.36         0.00        4.126
       332       3320.000      2483.95         0.00        2.880
       333       3330.000      1399.94         0.00        1.623
       334       3340.000       856.26         0.00        0.993
       335       3350.000       847.56         0.00        0.983
       336       3360.000       234.33         0.00        0.272
       337       3370.000      2386.17         0.00        2.766
       338       3380.000      4050.90         0.00        4.696
       339       3390.000      2118.15         0.00        2.456
       340       3400.000      3420.08         0.00        3.965
       341       3410.000      4931.47         0.00        5.717
       342       3420.000      7574.87         0.00        8.781
       343       3430.000      7268.12         0.00        8.426
       344       3440.000     12366.70         0.00       14.336
       345       3450.000     12418.94         0.00       14.397
       346       3460.000      6635.80         0.00        7.693
       347       3470.000      7717.34         0.00        8.947
       348       3480.000      7455.32         0.00        8.643
       349       3490.000     11678.92         0.00       13.539
       350       3500.000      7062.12         0.00        8.187
       351       3510.000      2492.88         0.00        2.890
       352       3520.000      2357.10         0.00        2.733
       353       3530.000      1712.57         0.00        1.985
       354       3540.000       671.96         0.00        0.779
       355       3550.000       416.99         0.00        0.483
       356       3560.000      1193.62         0.00        1.384
       357       3570.000       841.74         0.00        0.976
       358       3580.000       886.13         0.00        1.027
       359       3590.000      3755.65         0.00        4.354
       360       3600.000      4015.08         0.00        4.655
       361       3610.000      2790.62         0.00        3.235
       362       3620.000      1877.10         0.00        2.176
       363       3630.000      3948.88         0.00        4.578
       364       3640.000      2709.70         0.00        3.141
       365       3650.000      6622.01         0.00        7.677
       366       3660.000      8035.92         0.00        9.316
       367       3670.000      8095.26         0.00        9.385
       368       3680.000      8009.83         0.00        9.286
       369       3690.000      5591.74         0.00        6.482
       370       3700.000      6070.72         0.00        7.038
       371       3710.000      6057.69         0.00        7.023
       372       3720.000      4398.18         0.00        5.099
       373       3730.000      4453.99         0.00        5.163
       374       3740.000      2321.75         0.00        2.692
       375       3750.000      2661.69         0.00        3.086
       376       3760.000      2278.59         0.00        2.642
       377       3770.000      3725.85         0.00        4.319
       378       3780.000      4851.89         0.00        5.625
       379       3790.000      5045.26         0.00        5.849
       380       3800.000      5800.92         0.00        6.725
       381       3810.000      4375.49         0.00        5.072
       382       3820.000      4190.06         0.00        4.857
       383       3830.000      2811.84         0.00        3.260
       384       3840.000      3993.02         0.00        4.629
       385       3850.000      1613.93         0.00        1.871
       386       3860.000      1574.66         0.00        1.825
       387       3870.000      2888.51         0.00        3.349
       388       3880.000      2896.44         0.00        3.358
       389       3890.000      4694.20         0.00        5.442
       390       3900.000      3140.98         0.00        3.641
       391       3910.000      1358.25         0.00        1.575
       392       3920.000      1608.75         0.00        1.865
       393       3930.000      4647.23         0.00        5.387
       394       3940.000      9020.83         0.00       10.458
       395       3950.000      5588.79         0.00        6.479
       396       3960.000      4088.16         0.00        4.739
       397       3970.000      2367.16         0.00        2.744
       398       3980.000      3320.97         0.00        3.850
       399       3990.000      3741.07         0.00        4.337
       400       4000.000      4812.09         0.00        5.579
       401       4010.000      3310.91         0.00        3.838
       402       4020.000      4919.73         0.00        5.703
       403       4030.000      3560.79         0.00        4.128
       404       4040.000      3264.87         0.00        3.785
       405       4050.000      1479.90         0.00        1.716
       406       4060.000      2900.23         0.00        3.362
       407       4070.000      1875.66         0.00        2.174
       408       4080.000      1744.19         0.00        2.022
       409       4090.000      1741.44         0.00        2.019
       410       4100.000      2509.56         0.00        2.909
       411       4110.000      2917.90         0.00        3.383
       412       4120.000      3792.63         0.00        4.397
       413       4130.000      5347.81         0.00        6.200
       414       4140.000      8841.56         0.00       10.250
       415       4150.000      5794.54         0.00        6.717
       416       4160.000      5922.16         0.00        6.865
       417       4170.000      6358.47         0.00        7.371
       418       4180.000      6310.02         0.00        7.315
       419       4190.000      7314.06         0.00        8.479
       420       4200.000      6482.22         0.00        7.515
       421       4210.000      7384.62         0.00        8.561
       422       4220.000      5493.73         0.00        6.369
       423       4230.000      7760.75         0.00        8.997
       424       4240.000      7646.31         0.00        8.864
       425       4250.000      3590.47         0.00        4.162
       426       4260.000      1167.06         0.00        1.353
       427       4270.000       420.96         0.00        0.488
       428       4280.000       467.32         0.00        0.542
       429       4290.000      2320.92         0.00        2.691
       430       4300.000      2163.99         0.00        2.509
       431       4310.000      4111.95         0.00        4.767
       432       4320.000      7740.12         0.00        8.973
       433       4330.000      7511.96         0.00        8.708
       434       4340.000     10873.40         0.00       12.605
       435       4350.000     12894.11         0.00       14.948
       436       4360.000     11190.57         0.00       12.973
       437       4370.000      6151.87         0.00        7.132
       438       4380.000      4594.40         0.00        5.326
       439       4390.000      6355.21         0.00        7.367
       440       4400.000      8384.51         0.00        9.720
       441       4410.000      9777.46         0.00       11.335
       442       4420.000      9702.19         0.00       11.248
       443       4430.000      8094.36         0.00        9.384
       444       4440.000      7127.71         0.00        8.263
       445       4450.000      4740.99         0.00        5.496
       446       4460.000      2367.31         0.00        2.744
       447       4470.000       818.60         0.00        0.949
       448       4480.000       455.77         0.00        0.528
       449       4490.000      1173.47         0.00        1.360
       450       4500.000      2668.79         0.00        3.094
       451       4510.000       624.42         0.00        0.724
       452       4520.000        23.94         0.00        0.028
       453       4530.000        60.82         0.00        0.071
       454       4540.000       170.89         0.00        0.198
       455       4550.000        18.37         0.00        0.021
       456       4560.000        76.15         0.00        0.088
       457       4570.000        12.54         0.00        0.015
       458       4580.000        51.12         0.00        0.059
       459       4590.000        23.00         0.00        0.027
       460       4600.000        42.14         0.00        0.049
       461       4610.000        14.87         0.00        0.017
       462       4620.000       255.59         0.00        0.296
       463       4630.000      4012.52         0.00        4.652
       464       4640.000      4829.46         0.00        5.599
       465       4650.000      3931.63         0.00        4.558
       466       4660.000      5127.79         0.00        5.945
       467       4670.000      6862.21         0.00        7.955
       468       4680.000      7574.67         0.00        8.781
       469       4690.000      8586.00         0.00        9.954
       470       4700.000     11260.68         0.00       13.054
       471       4710.000      9639.64         0.00       11.175
       472       4720.000      9966.72         0.00       11.554
       473       4730.000      5212.69         0.00        6.043
       474       4740.000      5460.09         0.00        6.330
       475       4750.000      3666.20         0.00        4.250
       476       4760.000      2491.44         0.00        2.888
       477       4770.000      2047.58         0.00        2.374
       478       4780.000       942.51         0.00        1.093
       479       4790.000       850.76         0.00        0.986
       480       4800.000      1090.47         0.00        1.264
       481       4810.000      1176.37         0.00        1.364
       482       4820.000      1605.95         0.00        1.862
       483       4830.000      2138.85         0.00        2.480
       484       4840.000      3429.25         0.00        3.975
       485       4850.000      4679.29         0.00        5.425
       486       4860.000      7884.50         0.00        9.140
       487       4870.000      7064.70         0.00        8.190
       488       4880.000      9363.93         0.00       10.855
       489       4890.000      7778.34         0.00        9.017
       490       4900.000      5862.09         0.00        6.796
       491       4910.000      5468.32         0.00        6.339
       492       4920.000      8973.09         0.00       10.402
       493       4930.000      5034.15         0.00        5.836
       494       4940.000      2783.19         0.00        3.226
       495       4950.000       303.85         0.00        0.352
       496       4960.000       651.65         0.00        0.755
       497       4970.000      2037.81         0.00        2.362
       498       4980.000      2821.22         0.00        3.271
       499       4990.000      2406.77         0.00        2.790
       500       5000.000      2930.46         0.00        3.397
       501       5010.000      1882.69         0.00        2.183
       502       5020.000      2950.17         0.00        3.420
       503       5030.000      7634.22         0.00        8.850
       504       5040.000     13112.09         0.00       15.201
       505       5050.000     12458.61         0.00       14.443
       506       5060.000     11465.61         0.00       13.292
       507       5070.000     11311.93         0.00       13.114
       508       5080.000     15742.13         0.00       18.250
       509       5090.000     15240.91         0.00       17.668
       510       5100.000     10908.69         0.00       12.646
       511       5110.000     13659.31         0.00       15.835
       512       5120.000     14051.03         0.00       16.289
       513       5130.000     10177.72         0.00       11.799
       514       5140.000      7107.76         0.00        8.240
       515       5150.000      3907.09         0.00        4.529
       516       5160.000      1525.87         0.00        1.769
