#  iFrame          Time(ps)     <Ree^2>/<Rg^2>  std<Ree^2>/<Rg^2>
#================================================================
         0          0.000         0.71         0.00 
         1         10.000         0.22         0.00 
         2         20.000         0.49         0.00 
         3         30.000         3.47         0.00 
         4         40.000         5.93         0.00 
         5         50.000        12.70         0.00 
         6         60.000         6.06         0.00 
         7         70.000         2.34         0.00 
         8         80.000         0.92         0.00 
         9         90.000         1.05         0.00 
        10        100.000         2.68         0.00 
        11        110.000         4.03         0.00 
        12        120.000         5.57         0.00 
        13        130.000         9.13         0.00 
        14        140.000         9.19         0.00 
        15        150.000        11.14         0.00 
        16        160.000         9.27         0.00 
        17        170.000         8.50         0.00 
        18        180.000         6.27         0.00 
        19        190.000         8.48         0.00 
        20        200.000         6.46         0.00 
        21        210.000         7.47         0.00 
        22        220.000         4.90         0.00 
        23        230.000         7.28         0.00 
        24        240.000        10.35         0.00 
        25        250.000        11.00         0.00 
        26        260.000        10.28         0.00 
        27        270.000         5.57         0.00 
        28        280.000         2.76         0.00 
        29        290.000         5.67         0.00 
        30        300.000         6.90         0.00 
        31        310.000         7.30         0.00 
        32        320.000         8.18         0.00 
        33        330.000         7.36         0.00 
        34        340.000        10.55         0.00 
        35        350.000        12.04         0.00 
        36        360.000        12.69         0.00 
        37        370.000        10.37         0.00 
        38        380.000         9.91         0.00 
        39        390.000         8.74         0.00 
        40        400.000        10.31         0.00 
        41        410.000        10.19         0.00 
        42        420.000         8.94         0.00 
        43        430.000         4.34         0.00 
        44        440.000         2.45         0.00 
        45        450.000         3.31         0.00 
        46        460.000         4.04         0.00 
        47        470.000         2.99         0.00 
        48        480.000         1.89         0.00 
        49        490.000         3.93         0.00 
        50        500.000         1.46         0.00 
        51        510.000         0.26         0.00 
        52        520.000         0.01         0.00 
        53        530.000         0.24         0.00 
        54        540.000         0.03         0.00 
        55        550.000         0.04         0.00 
        56        560.000         0.01         0.00 
        57        570.000         0.10         0.00 
        58        580.000         1.10         0.00 
        59        590.000         1.42         0.00 
        60        600.000         3.19         0.00 
        61        610.000         3.02         0.00 
        62        620.000         3.39         0.00 
        63        630.000         4.24         0.00 
        64        640.000         8.63         0.00 
        65        650.000         9.58         0.00 
        66        660.000        11.59         0.00 
        67        670.000        10.03         0.00 
        68        680.000         7.51         0.00 
        69        690.000         6.95         0.00 
        70        700.000         4.66         0.00 
        71        710.000         5.72         0.00 
        72        720.000         4.55         0.00 
        73        730.000         5.42         0.00 
        74        740.000         7.38         0.00 
        75        750.000         9.81         0.00 
        76        760.000         7.41         0.00 
        77        770.000         5.91         0.00 
        78        780.000         4.52         0.00 
        79        790.000         4.20         0.00 
        80        800.000         6.66         0.00 
        81        810.000         4.22         0.00 
        82        820.000         6.78         0.00 
        83        830.000        11.39         0.00 
        84        840.000         8.48         0.00 
        85        850.000         7.26         0.00 
        86        860.000         6.18         0.00 
        87        870.000         5.20         0.00 
        88        880.000         5.18         0.00 
        89        890.000         7.88         0.00 
        90        900.000         7.19         0.00 
        91        910.000         7.84         0.00 
        92        920.000         5.95         0.00 
        93        930.000         5.87         0.00 
        94        940.000         6.26         0.00 
        95        950.000         6.56         0.00 
        96        960.000         7.93         0.00 
        97        970.000         5.39         0.00 
        98        980.000         4.49         0.00 
        99        990.000         8.54         0.00 
       100       1000.000         8.08         0.00 
       101       1010.000         4.62         0.00 
       102       1020.000         5.00         0.00 
       103       1030.000         4.86         0.00 
       104       1040.000         2.87         0.00 
       105       1050.000         1.50         0.00 
       106       1060.000         0.67         0.00 
       107       1070.000         1.68         0.00 
       108       1080.000         4.16         0.00 
       109       1090.000         7.11         0.00 
       110       1100.000         9.41         0.00 
       111       1110.000        11.31         0.00 
       112       1120.000        12.15         0.00 
       113       1130.000         9.99         0.00 
       114       1140.000         8.48         0.00 
       115       1150.000         7.52         0.00 
       116       1160.000         4.97         0.00 
       117       1170.000         4.39         0.00 
       118       1180.000         2.70         0.00 
       119       1190.000         1.37         0.00 
       120       1200.000         0.64         0.00 
       121       1210.000         1.76         0.00 
       122       1220.000         7.61         0.00 
       123       1230.000         5.05         0.00 
       124       1240.000         2.02         0.00 
       125       1250.000         3.14         0.00 
       126       1260.000         4.75         0.00 
       127       1270.000         3.12         0.00 
       128       1280.000         3.83         0.00 
       129       1290.000         3.71         0.00 
       130       1300.000         5.13         0.00 
       131       1310.000         7.33         0.00 
       132       1320.000         8.70         0.00 
       133       1330.000         9.25         0.00 
       134       1340.000         7.27         0.00 
       135       1350.000         6.37         0.00 
       136       1360.000         5.53         0.00 
       137       1370.000         7.98         0.00 
       138       1380.000         7.44         0.00 
       139       1390.000         6.27         0.00 
       140       1400.000         1.77         0.00 
       141       1410.000         3.11         0.00 
       142       1420.000         4.16         0.00 
       143       1430.000         2.60         0.00 
       144       1440.000         4.00         0.00 
       145       1450.000         6.82         0.00 
       146       1460.000         6.41         0.00 
       147       1470.000         7.65         0.00 
       148       1480.000         5.15         0.00 
       149       1490.000         6.88         0.00 
       150       1500.000         9.14         0.00 
       151       1510.000         6.74         0.00 
       152       1520.000         5.93         0.00 
       153       1530.000         6.60         0.00 
       154       1540.000         6.40         0.00 
       155       1550.000         5.98         0.00 
       156       1560.000         6.78         0.00 
       157       1570.000         5.53         0.00 
       158       1580.000         4.13         0.00 
       159       1590.000         4.52         0.00 
       160       1600.000         6.54         0.00 
       161       1610.000         6.53         0.00 
       162       1620.000         6.93         0.00 
       163       1630.000         4.06         0.00 
       164       1640.000         1.75         0.00 
       165       1650.000         2.81         0.00 
       166       1660.000         3.82         0.00 
       167       1670.000         3.51         0.00 
       168       1680.000         4.06         0.00 
       169       1690.000         4.53         0.00 
       170       1700.000         7.70         0.00 
       171       1710.000        10.00         0.00 
       172       1720.000         7.80         0.00 
       173       1730.000         6.00         0.00 
       174       1740.000         5.24         0.00 
       175       1750.000         4.90         0.00 
       176       1760.000         5.06         0.00 
       177       1770.000         6.09         0.00 
       178       1780.000         2.60         0.00 
       179       1790.000         4.42         0.00 
       180       1800.000         8.74         0.00 
       181       1810.000        10.17         0.00 
       182       1820.000        13.82         0.00 
