#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
         0          0.000       579.69         0.00        0.672
         1         10.000       572.89         0.00        0.664
         2         20.000       576.19         0.00        0.668
         3         30.000       564.22         0.00        0.654
         4         40.000       662.51         0.00        0.768
         5         50.000       820.78         0.00        0.952
         6         60.000      1089.12         0.00        1.263
         7         70.000      1288.29         0.00        1.493
         8         80.000      1569.78         0.00        1.820
         9         90.000      1744.58         0.00        2.022
        10        100.000      1650.74         0.00        1.914
        11        110.000      1530.70         0.00        1.775
        12        120.000      1443.82         0.00        1.674
        13        130.000      1275.60         0.00        1.479
        14        140.000      1129.11         0.00        1.309
        15        150.000      1066.43         0.00        1.236
        16        160.000       966.73         0.00        1.121
        17        170.000       829.44         0.00        0.962
        18        180.000       752.87         0.00        0.873
        19        190.000       643.52         0.00        0.746
        20        200.000       631.51         0.00        0.732
        21        210.000       716.96         0.00        0.831
        22        220.000       741.18         0.00        0.859
        23        230.000       846.40         0.00        0.981
        24        240.000       916.66         0.00        1.063
        25        250.000       995.86         0.00        1.154
        26        260.000      1184.50         0.00        1.373
        27        270.000      1470.00         0.00        1.704
        28        280.000      1742.30         0.00        2.020
        29        290.000      1825.64         0.00        2.116
        30        300.000      1818.04         0.00        2.108
        31        310.000      1790.82         0.00        2.076
        32        320.000      1775.10         0.00        2.058
        33        330.000      1802.40         0.00        2.089
        34        340.000      1812.12         0.00        2.101
        35        350.000      1838.29         0.00        2.131
        36        360.000      1735.02         0.00        2.011
        37        370.000      1606.19         0.00        1.862
        38        380.000      1544.63         0.00        1.791
        39        390.000      1462.54         0.00        1.695
        40        400.000      1269.82         0.00        1.472
        41        410.000      1043.30         0.00        1.209
        42        420.000       902.19         0.00        1.046
        43        430.000       857.26         0.00        0.994
        44        440.000       967.62         0.00        1.122
        45        450.000      1016.46         0.00        1.178
        46        460.000      1050.98         0.00        1.218
        47        470.000       891.71         0.00        1.034
        48        480.000       802.67         0.00        0.931
        49        490.000       830.58         0.00        0.963
        50        500.000       932.25         0.00        1.081
        51        510.000      1047.89         0.00        1.215
        52        520.000      1051.82         0.00        1.219
        53        530.000       877.10         0.00        1.017
        54        540.000       811.04         0.00        0.940
        55        550.000       781.30         0.00        0.906
        56        560.000       730.73         0.00        0.847
        57        570.000       636.38         0.00        0.738
        58        580.000       642.59         0.00        0.745
        59        590.000       698.92         0.00        0.810
        60        600.000       810.63         0.00        0.940
        61        610.000       933.41         0.00        1.082
        62        620.000      1062.68         0.00        1.232
        63        630.000      1283.39         0.00        1.488
        64        640.000      1501.49         0.00        1.741
        65        650.000      1809.32         0.00        2.098
        66        660.000      2196.51         0.00        2.546
        67        670.000      2493.97         0.00        2.891
        68        680.000      2577.41         0.00        2.988
        69        690.000      2628.68         0.00        3.047
        70        700.000      2546.38         0.00        2.952
        71        710.000      2408.76         0.00        2.792
        72        720.000      2163.31         0.00        2.508
        73        730.000      1910.40         0.00        2.215
        74        740.000      1645.81         0.00        1.908
        75        750.000      1379.91         0.00        1.600
        76        760.000      1095.89         0.00        1.270
        77        770.000       875.55         0.00        1.015
        78        780.000       746.16         0.00        0.865
        79        790.000       611.99         0.00        0.709
        80        800.000       571.78         0.00        0.663
        81        810.000       621.80         0.00        0.721
        82        820.000       738.59         0.00        0.856
        83        830.000       953.43         0.00        1.105
        84        840.000      1203.08         0.00        1.395
        85        850.000      1500.32         0.00        1.739
        86        860.000      1741.00         0.00        2.018
        87        870.000      1973.98         0.00        2.288
        88        880.000      2207.35         0.00        2.559
        89        890.000      2370.51         0.00        2.748
        90        900.000      2474.20         0.00        2.868
        91        910.000      2510.86         0.00        2.911
        92        920.000      2526.81         0.00        2.929
        93        930.000      2405.34         0.00        2.788
        94        940.000      2125.82         0.00        2.464
        95        950.000      1858.61         0.00        2.155
        96        960.000      1629.27         0.00        1.889
        97        970.000      1366.07         0.00        1.584
        98        980.000      1137.33         0.00        1.318
        99        990.000       964.55         0.00        1.118
       100       1000.000       914.50         0.00        1.060
       101       1010.000       849.88         0.00        0.985
       102       1020.000       758.49         0.00        0.879
       103       1030.000       837.99         0.00        0.971
       104       1040.000       953.43         0.00        1.105
       105       1050.000      1168.50         0.00        1.355
       106       1060.000      1294.41         0.00        1.501
       107       1070.000      1420.00         0.00        1.646
       108       1080.000      1580.36         0.00        1.832
       109       1090.000      1763.02         0.00        2.044
       110       1100.000      1945.03         0.00        2.255
       111       1110.000      2026.88         0.00        2.350
       112       1120.000      2065.48         0.00        2.394
       113       1130.000      1982.36         0.00        2.298
       114       1140.000      1757.32         0.00        2.037
       115       1150.000      1547.09         0.00        1.794
       116       1160.000      1315.58         0.00        1.525
       117       1170.000      1160.78         0.00        1.346
       118       1180.000      1017.58         0.00        1.180
       119       1190.000       930.74         0.00        1.079
       120       1200.000       807.78         0.00        0.936
       121       1210.000       704.46         0.00        0.817
       122       1220.000       604.90         0.00        0.701
       123       1230.000       578.71         0.00        0.671
       124       1240.000       653.48         0.00        0.758
       125       1250.000       802.38         0.00        0.930
       126       1260.000       900.72         0.00        1.044
       127       1270.000      1110.14         0.00        1.287
       128       1280.000      1292.18         0.00        1.498
       129       1290.000      1422.57         0.00        1.649
       130       1300.000      1566.43         0.00        1.816
       131       1310.000      1680.91         0.00        1.949
       132       1320.000      1713.71         0.00        1.987
       133       1330.000      1568.81         0.00        1.819
       134       1340.000      1412.98         0.00        1.638
       135       1350.000      1268.33         0.00        1.470
       136       1360.000      1126.71         0.00        1.306
       137       1370.000       945.17         0.00        1.096
       138       1380.000       827.32         0.00        0.959
       139       1390.000       690.33         0.00        0.800
       140       1400.000       611.53         0.00        0.709
       141       1410.000       557.55         0.00        0.646
       142       1420.000       641.70         0.00        0.744
       143       1430.000       781.94         0.00        0.906
       144       1440.000       899.71         0.00        1.043
       145       1450.000      1041.07         0.00        1.207
       146       1460.000      1275.92         0.00        1.479
       147       1470.000      1540.69         0.00        1.786
       148       1480.000      1806.33         0.00        2.094
       149       1490.000      2118.13         0.00        2.456
       150       1500.000      2258.52         0.00        2.618
       151       1510.000      2353.01         0.00        2.728
       152       1520.000      2326.98         0.00        2.698
       153       1530.000      2262.96         0.00        2.623
       154       1540.000      2115.37         0.00        2.452
       155       1550.000      2013.34         0.00        2.334
       156       1560.000      1917.93         0.00        2.223
       157       1570.000      1778.37         0.00        2.062
       158       1580.000      1680.39         0.00        1.948
       159       1590.000      1539.18         0.00        1.784
       160       1600.000      1345.42         0.00        1.560
       161       1610.000      1112.45         0.00        1.290
       162       1620.000       872.74         0.00        1.012
       163       1630.000       708.73         0.00        0.822
       164       1640.000       580.13         0.00        0.673
       165       1650.000       540.27         0.00        0.626
       166       1660.000       569.73         0.00        0.660
       167       1670.000       725.33         0.00        0.841
       168       1680.000       865.33         0.00        1.003
       169       1690.000      1033.57         0.00        1.198
       170       1700.000      1250.51         0.00        1.450
       171       1710.000      1497.73         0.00        1.736
       172       1720.000      1699.02         0.00        1.970
       173       1730.000      1792.27         0.00        2.078
       174       1740.000      1916.19         0.00        2.221
       175       1750.000      1977.16         0.00        2.292
       176       1760.000      1954.81         0.00        2.266
       177       1770.000      1809.87         0.00        2.098
       178       1780.000      1615.10         0.00        1.872
       179       1790.000      1373.88         0.00        1.593
       180       1800.000      1165.88         0.00        1.352
       181       1810.000      1015.64         0.00        1.177
       182       1820.000       888.20         0.00        1.030
       183       1830.000       747.17         0.00        0.866
       184       1840.000       624.03         0.00        0.723
       185       1850.000       547.58         0.00        0.635
       186       1860.000       572.15         0.00        0.663
       187       1870.000       650.09         0.00        0.754
       188       1880.000       649.59         0.00        0.753
       189       1890.000       695.20         0.00        0.806
       190       1900.000       819.72         0.00        0.950
       191       1910.000       952.76         0.00        1.105
       192       1920.000      1133.86         0.00        1.314
       193       1930.000      1223.79         0.00        1.419
       194       1940.000      1229.33         0.00        1.425
       195       1950.000      1198.44         0.00        1.389
       196       1960.000      1214.46         0.00        1.408
       197       1970.000      1242.86         0.00        1.441
       198       1980.000      1126.67         0.00        1.306
       199       1990.000      1048.76         0.00        1.216
       200       2000.000      1050.10         0.00        1.217
       201       2010.000      1052.17         0.00        1.220
       202       2020.000      1006.38         0.00        1.167
       203       2030.000       998.93         0.00        1.158
       204       2040.000       995.91         0.00        1.155
       205       2050.000      1026.08         0.00        1.190
       206       2060.000       970.12         0.00        1.125
       207       2070.000       898.53         0.00        1.042
       208       2080.000       856.57         0.00        0.993
       209       2090.000       829.14         0.00        0.961
       210       2100.000       875.23         0.00        1.015
       211       2110.000       933.47         0.00        1.082
       212       2120.000      1009.34         0.00        1.170
       213       2130.000      1120.35         0.00        1.299
       214       2140.000      1200.11         0.00        1.391
       215       2150.000      1120.68         0.00        1.299
       216       2160.000      1043.06         0.00        1.209
       217       2170.000      1019.45         0.00        1.182
       218       2180.000       997.76         0.00        1.157
       219       2190.000       954.83         0.00        1.107
       220       2200.000       881.69         0.00        1.022
       221       2210.000       766.71         0.00        0.889
       222       2220.000       689.31         0.00        0.799
       223       2230.000       641.78         0.00        0.744
       224       2240.000       635.55         0.00        0.737
       225       2250.000       688.21         0.00        0.798
       226       2260.000       831.87         0.00        0.964
       227       2270.000       900.69         0.00        1.044
       228       2280.000       936.36         0.00        1.085
       229       2290.000       869.95         0.00        1.009
       230       2300.000       789.94         0.00        0.916
       231       2310.000       733.53         0.00        0.850
       232       2320.000       665.81         0.00        0.772
       233       2330.000       672.99         0.00        0.780
       234       2340.000       751.74         0.00        0.871
       235       2350.000       858.27         0.00        0.995
       236       2360.000      1034.45         0.00        1.199
       237       2370.000      1057.86         0.00        1.226
       238       2380.000      1039.79         0.00        1.205
       239       2390.000       941.21         0.00        1.091
       240       2400.000       884.89         0.00        1.026
       241       2410.000       884.67         0.00        1.026
       242       2420.000       960.24         0.00        1.113
       243       2430.000       994.43         0.00        1.153
       244       2440.000       934.87         0.00        1.084
       245       2450.000       874.47         0.00        1.014
       246       2460.000       848.09         0.00        0.983
       247       2470.000       886.56         0.00        1.028
       248       2480.000       914.95         0.00        1.061
       249       2490.000       964.29         0.00        1.118
       250       2500.000      1002.26         0.00        1.162
       251       2510.000       970.37         0.00        1.125
       252       2520.000       851.15         0.00        0.987
       253       2530.000       681.53         0.00        0.790
       254       2540.000       607.52         0.00        0.704
       255       2550.000       556.11         0.00        0.645
       256       2560.000       585.37         0.00        0.679
