#   Time(ps)     Rg^2(A^2)     stdRg^2(A^2)
#==========================================
      0.00        29.68         1.41 
     20.00        29.68         1.40 
     40.00        29.79         1.36 
     60.00        32.88         2.33 
     80.00        33.37         3.09 
    100.00        32.98         2.78 
    120.00        32.67         2.52 
    140.00        32.29         2.17 
    160.00        31.29         1.03 
    180.00        28.95         2.39 
    200.00        27.83         2.58 
    220.00        28.37         3.64 
    240.00        29.12         5.46 
    260.00        31.46         9.98 
    280.00        31.63        13.33 
    300.00        30.86        13.47 
    320.00        29.94        12.38 
    340.00        28.25         7.89 
    360.00        26.18         4.20 
    380.00        25.15         2.60 
    400.00        24.79         1.76 
    420.00        23.91         1.63 
    440.00        23.33         2.04 
    460.00        22.46         2.71 
    480.00        22.07         3.11 
    500.00        22.15         3.85 
    520.00        22.12         3.58 
    540.00        22.30         3.64 
    560.00        22.47         4.60 
    580.00        21.87         5.21 
    600.00        21.76         4.91 
    620.00        22.18         5.64 
    640.00        22.96         5.14 
    660.00        23.47         4.65 
    680.00        23.79         3.77 
    700.00        24.12         1.69 
    720.00        25.33         1.43 
    740.00        25.99         0.59 
    760.00        26.81         2.35 
    780.00        27.39         4.78 
    800.00        28.09         6.14 
    820.00        28.78         7.70 
    840.00        29.05         7.88 
    860.00        28.99         8.71 
    880.00        29.18         9.26 
    900.00        28.66         8.95 
    920.00        28.65         8.69 
    940.00        28.07         8.88 
    960.00        28.28         8.36 
    980.00        28.27         6.76 
   1000.00        28.62         5.34 
   1020.00        28.41         4.05 
   1040.00        28.79         2.34 
   1060.00        29.27         3.07 
   1080.00        29.35         2.46 
   1100.00        28.91         2.44 
   1120.00        28.27         3.31 
   1140.00        28.77         3.96 
   1160.00        28.88         4.61 
   1180.00        29.36         5.64 
   1200.00        29.08         5.60 
   1220.00        28.83         4.58 
   1240.00        28.73         4.90 
   1260.00        28.59         4.57 
   1280.00        28.72         4.46 
   1300.00        29.54         4.56 
   1320.00        30.27         5.74 
   1340.00        30.87         6.75 
   1360.00        31.52         7.09 
   1380.00        31.63         6.46 
   1400.00        31.92         6.31 
   1420.00        31.55         5.45 
   1440.00        31.13         4.04 
   1460.00        29.68         2.64 
   1480.00        28.55         2.16 
   1500.00        27.50         1.18 
   1520.00        27.24         0.14 
   1540.00        26.90         0.79 
   1560.00        26.58         1.36 
   1580.00        26.67         1.81 
   1600.00        26.40         2.86 
   1620.00        26.72         4.02 
   1640.00        26.68         5.13 
   1660.00        26.04         5.30 
   1680.00        25.92         5.67 
   1700.00        25.98         6.38 
   1720.00        26.17         8.10 
   1740.00        26.51         9.06 
   1760.00        26.94         8.99 
   1780.00        27.12         9.74 
   1800.00        27.39        10.53 
   1820.00        26.88        10.31 
   1840.00        26.73        10.69 
   1860.00        26.70        10.11 
   1880.00        25.81         9.54 
   1900.00        24.65         8.82 
   1920.00        24.15         9.00 
   1940.00        23.73         8.70 
   1960.00        23.12         9.23 
   1980.00        22.79         9.73 
   2000.00        23.10         9.00 
   2020.00        24.21         9.58 
   2040.00        24.30         9.47 
   2060.00        24.28         8.43 
   2080.00        23.83         7.25 
   2100.00        23.92         7.04 
   2120.00        24.38         6.10 
   2140.00        24.66         5.45 
   2160.00        24.88         4.64 
   2180.00        25.37         3.88 
   2200.00        25.57         5.45 
   2220.00        25.63         5.79 
   2240.00        26.37         6.35 
   2260.00        25.91         5.72 
   2280.00        24.93         5.47 
   2300.00        24.31         5.66 
   2320.00        23.91         6.23 
   2340.00        23.14         6.63 
   2360.00        23.12         6.54 
   2380.00        22.24         5.84 
   2400.00        21.51         5.87 
   2420.00        21.50         5.18 
   2440.00        21.75         4.67 
   2460.00        21.67         4.90 
   2480.00        21.43         4.17 
   2500.00        21.57         3.27 
   2520.00        21.23         2.82 
   2540.00        21.36         2.66 
   2560.00        21.21         2.21 
   2580.00        21.26         1.88 
   2600.00        21.39         2.16 
   2620.00        21.87         1.98 
   2640.00        22.05         1.64 
   2660.00        22.59         2.02 
   2680.00        23.10         2.67 
   2700.00        23.12         3.19 
   2720.00        23.94         4.11 
   2740.00        25.06         4.74 
