#   Time(ps)     Ree^2(A^2)     stdRee^2(A^2)
#============================================
      0.00       172.07        54.27 
     20.00       172.18        54.19 
     40.00       173.75        55.28 
     60.00       220.88        76.58 
     80.00       233.98        80.89 
    100.00       231.46        79.71 
    120.00       229.12        78.84 
    140.00       226.59        77.08 
    160.00       221.96        71.22 
    180.00       208.19        82.22 
    200.00       205.61        98.55 
    220.00       211.21       110.83 
    240.00       226.21       142.27 
    260.00       262.02       201.23 
    280.00       271.11       200.65 
    300.00       264.86       190.83 
    320.00       259.03       179.89 
    340.00       242.50       137.29 
    360.00       219.15        86.59 
    380.00       213.40        55.94 
    400.00       210.10        51.05 
    420.00       175.21        63.93 
    440.00       139.58        68.80 
    460.00       123.13        61.61 
    480.00       112.24        59.52 
    500.00       107.00        68.83 
    520.00       101.19        82.08 
    540.00       102.15        85.10 
    560.00       105.59        86.92 
    580.00       106.38        88.76 
    600.00       112.26        80.53 
    620.00       123.06        73.06 
    640.00       132.99        61.00 
    660.00       158.17        48.63 
    680.00       172.73        13.39 
    700.00       183.19         6.05 
    720.00       194.90        19.81 
    740.00       203.20        34.24 
    760.00       225.21        50.65 
    780.00       242.02        65.47 
    800.00       247.84        79.20 
    820.00       248.93       104.68 
    840.00       239.56       113.34 
    860.00       232.69       119.21 
    880.00       230.08       136.63 
    900.00       234.05       160.62 
    920.00       227.00       167.97 
    940.00       212.16       170.46 
    960.00       201.35       174.87 
    980.00       196.08       164.77 
   1000.00       195.94       140.45 
   1020.00       193.59       112.87 
   1040.00       194.71        80.03 
   1060.00       179.78        55.63 
   1080.00       166.32        41.87 
   1100.00       156.31        39.16 
   1120.00       145.21        50.34 
   1140.00       148.29        75.16 
   1160.00       158.63        99.38 
   1180.00       173.58       109.52 
   1200.00       175.19       110.13 
   1220.00       171.96       107.31 
   1240.00       182.02       112.10 
   1260.00       206.78       114.51 
   1280.00       230.19        98.69 
   1300.00       251.63        90.34 
   1320.00       267.49        97.55 
   1340.00       277.52       110.81 
   1360.00       288.37       124.31 
   1380.00       299.05       121.89 
   1400.00       291.08       114.53 
   1420.00       279.61        95.20 
   1440.00       286.59        57.84 
   1460.00       274.26        37.19 
   1480.00       258.74        35.46 
   1500.00       244.53        32.41 
   1520.00       227.22        14.67 
   1540.00       222.75        28.17 
   1560.00       214.33        54.55 
   1580.00       205.40        69.22 
   1600.00       196.85        89.90 
   1620.00       190.78       119.21 
   1640.00       181.82       117.03 
   1660.00       188.49       126.59 
   1680.00       193.92       139.93 
   1700.00       196.07       151.31 
   1720.00       204.66       156.40 
   1740.00       213.05       168.25 
   1760.00       215.53       172.98 
   1780.00       216.06       177.42 
   1800.00       211.83       186.90 
   1820.00       198.39       177.24 
   1840.00       182.83       160.67 
   1860.00       189.63       160.64 
   1880.00       188.29       149.17 
   1900.00       177.64       134.61 
   1920.00       163.82       122.61 
   1940.00       153.75       109.03 
   1960.00       149.15       101.76 
   1980.00       148.45       107.92 
   2000.00       148.45       119.54 
   2020.00       144.49       124.41 
   2040.00       134.38       109.33 
   2060.00       119.37        86.44 
   2080.00       108.59        69.23 
   2100.00       105.51        59.14 
   2120.00       102.77        51.82 
   2140.00        89.86        51.51 
   2160.00        87.04        49.86 
   2180.00        87.91        52.07 
   2200.00        95.32        61.16 
   2220.00       102.48        74.21 
   2240.00       109.09        86.33 
   2260.00       119.51       100.09 
   2280.00       134.41       120.09 
   2300.00       144.07       134.15 
   2320.00       147.07       132.04 
   2340.00       138.16       126.53 
   2360.00       131.76       124.03 
   2380.00       120.12       109.92 
   2400.00       119.01       108.44 
   2420.00       112.40        99.90 
   2440.00        99.86        89.90 
   2460.00        92.44        81.08 
   2480.00        84.01        70.74 
   2500.00        82.60        69.81 
   2520.00        76.47        66.39 
   2540.00        78.96        72.15 
   2560.00        78.75        69.03 
   2580.00        75.24        59.77 
   2600.00        76.24        54.05 
   2620.00        81.15        50.44 
   2640.00        80.17        39.42 
   2660.00        88.25        34.60 
   2680.00        91.46        22.66 
   2700.00        97.27        23.22 
   2720.00       111.21        21.44 
   2740.00       130.13        33.13 
   2760.00       137.82        46.26 
   2780.00       145.77        47.63 
   2800.00       144.40        54.57 
   2820.00       150.91        68.20 
   2840.00       168.21        60.65 
   2860.00       177.58        67.22 
   2880.00       191.79        91.61 
   2900.00       202.11       106.05 
   2920.00       217.64        97.11 
