# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
       1            2.373                1.000            2.373          199600
       2            3.325                1.402            6.650          199200
       3            4.565                1.924           13.695          198800
       4            5.639                2.377           22.557          198400
       5            6.658                2.806           33.289          198000
       6            7.576                3.193           45.459          197600
       7            8.422                3.550           58.955          197200
       8            9.192                3.874           73.534          196800
       9            9.897                4.171           89.073          196400
      10           10.541                4.443          105.414          196000
      11           11.132                4.692          122.448          195600
      12           11.672                4.920          140.061          195200
      13           12.167                5.128          158.172          194800
      14           12.621                5.320          176.700          194400
      15           13.039                5.496          195.582          194000
      16           13.423                5.657          214.761          193600
      17           13.776                5.806          234.193          193200
      18           14.102                5.944          253.834          192800
      19           14.403                6.071          273.655          192400
      20           14.681                6.188          293.616          192000
      21           14.938                6.296          313.700          191600
      22           15.176                6.397          333.879          191200
      23           15.398                6.490          354.144          190800
      24           15.603                6.577          374.474          190400
      25           15.794                6.657          394.859          190000
      26           15.973                6.732          415.293          189600
      27           16.139                6.803          435.764          189200
      28           16.295                6.868          456.273          188800
      29           16.442                6.930          476.810          188400
      30           16.579                6.988          497.372          188000
      31           16.708                7.042          517.949          187600
      32           16.829                7.093          538.543          187200
      33           16.943                7.142          559.135          186800
      34           17.051                7.187          579.726          186400
      35           17.152                7.229          600.316          186000
      36           17.247                7.270          620.905          185600
      37           17.338                7.308          641.489          185200
      38           17.423                7.343          662.063          184800
      39           17.503                7.377          682.621          184400
      40           17.579                7.409          703.166          184000
      41           17.651                7.440          723.691          183600
      42           17.719                7.469          744.213          183200
      43           17.784                7.496          764.728          182800
      44           17.846                7.522          785.236          182400
      45           17.905                7.547          805.738          182000
      46           17.962                7.571          826.237          181600
      47           18.015                7.593          846.722          181200
      48           18.067                7.615          867.197          180800
      49           18.115                7.635          887.652          180400
      50           18.162                7.655          908.088          180000
      51           18.206                7.674          928.498          179600
      52           18.248                7.691          948.891          179200
      53           18.288                7.708          969.256          178800
      54           18.326                7.724          989.608          178400
      55           18.363                7.740         1009.943          178000
      56           18.397                7.754         1030.252          177600
      57           18.430                7.768         1050.537          177200
      58           18.462                7.782         1070.811          176800
      59           18.493                7.794         1091.060          176400
      60           18.522                7.807         1111.293          176000
      61           18.549                7.818         1131.506          175600
      62           18.576                7.830         1151.709          175200
      63           18.601                7.840         1171.894          174800
      64           18.626                7.851         1192.068          174400
      65           18.650                7.861         1212.219          174000
      66           18.672                7.870         1232.352          173600
      67           18.694                7.879         1252.469          173200
      68           18.714                7.888         1272.572          172800
      69           18.734                7.896         1292.676          172400
      70           18.754                7.905         1312.764          172000
      71           18.772                7.912         1332.846          171600
      72           18.791                7.920         1352.922          171200
      73           18.808                7.928         1373.005          170800
      74           18.826                7.935         1393.091          170400
      75           18.843                7.942         1413.192          170000
      76           18.859                7.949         1433.304          169600
      77           18.876                7.956         1453.425          169200
      78           18.892                7.963         1473.557          168800
      79           18.908                7.969         1493.702          168400
      80           18.923                7.976         1513.865          168000
      81           18.939                7.982         1534.034          167600
      82           18.954                7.989         1554.203          167200
      83           18.968                7.995         1574.379          166800
      84           18.983                8.001         1594.568          166400
      85           18.997                8.007         1614.761          166000
      86           19.011                8.013         1634.972          165600
      87           19.025                8.019         1655.190          165200
      88           19.039                8.025         1675.410          164800
      89           19.052                8.030         1695.611          164400
      90           19.064                8.035         1715.793          164000
      91           19.077                8.041         1735.968          163600
      92           19.088                8.046         1756.136          163200
      93           19.100                8.050         1776.285          162800
      94           19.111                8.055         1796.429          162400
      95           19.122                8.060         1816.551          162000
      96           19.132                8.064         1836.669          161600
      97           19.142                8.068         1856.759          161200
      98           19.151                8.072         1876.815          160800
      99           19.160                8.076         1896.839          160400
     100           19.168                8.079         1916.844          160000
     101           19.176                8.083         1936.807          159600
     102           19.184                8.086         1956.750          159200
     103           19.191                8.089         1976.656          158800
     104           19.198                8.092         1996.555          158400
     105           19.204                8.094         2016.435          158000
     106           19.210                8.097         2036.290          157600
