#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 49900 vectors per frame, 499 vectors per chain, 100 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 4
 0 1.0 1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0
1 0.4014099 -0.24935425 0.0131044 1.27084 0.132315 0.135452 0.133642 0.0880269 0.089618 0.0894187 -0.0162514 -0.0166763 -0.0170555
2 0.58350463 0.45244311 0.00682471 1.46152 0.193127 0.195842 0.194536 0.149745 0.151906 0.151723 0.0300764 0.0302773 0.0304403
3 0.38261234 -0.20283052 0.0101483 1.28343 0.126234 0.12907 0.127308 0.0922406 0.0936376 0.0939044 -0.0132743 -0.0136173 -0.0139432
4 0.39464974 0.23969929 0.0105532 1.40395 0.130049 0.133577 0.131024 0.130858 0.133073 0.132643 0.0159104 0.0158698 0.0164998
5 0.30243626 -0.13025086 0.00861424 1.30136 0.0995613 0.102447 0.100427 0.098512 0.100205 0.10051 -0.00864643 -0.00866849 -0.0090491
6 0.27924873 0.13089372 0.00976432 1.37863 0.0913757 0.0952905 0.0925825 0.121227 0.12331 0.122754 0.00879271 0.0085523 0.00930752
7 0.22879291 -0.080402018 0.00831712 1.31774 0.0747007 0.0783926 0.0756996 0.103016 0.104623 0.104829 -0.00540099 -0.00523255 -0.00573467
8 0.20184674 0.072831265 0.00975371 1.35888 0.0652596 0.0699233 0.0666638 0.116131 0.118401 0.117806 0.00468257 0.00474448 0.00534765
9 0.1691574 -0.048571634 0.00831444 1.33061 0.0548501 0.0591096 0.0551977 0.105655 0.107374 0.107554 -0.00307935 -0.00313894 -0.0035975
10 0.14607551 0.041289817 0.00673371 1.35021 0.0463235 0.0514759 0.0482761 0.113471 0.115447 0.115249 0.0026293 0.00264436 0.00307301
11 0.12264409 -0.028771684 0.00752078 1.33788 0.0397761 0.0425857 0.0402824 0.107409 0.109003 0.109142 -0.00179329 -0.00165117 -0.00225668
12 0.10507632 0.024775448 0.00727646 1.34434 0.0335701 0.0370857 0.0344205 0.111997 0.113829 0.113919 0.00147341 0.00169502 0.00188403
13 0.088022298 -0.017211712 0.00709787 1.34247 0.0284762 0.0306274 0.0289188 0.108338 0.110123 0.10995 -0.000848993 -0.000976774 -0.00145019
14 0.074699431 0.014848688 0.00664221 1.34189 0.0239914 0.0262744 0.0244336 0.111083 0.11276 0.112891 0.000942691 0.0010757 0.00123064
15 0.062244512 -0.010331747 0.00595846 1.33976 0.0200869 0.0209293 0.0212284 0.109177 0.111006 0.110506 -0.000530594 -0.000601554 -0.00098954
16 0.053439051 0.010160197 0.0076312 1.34005 0.0166615 0.0187493 0.0180283 0.11061 0.112526 0.112581 0.000565714 0.000730742 0.000898351
17 0.043840317 -0.0062639624 0.0036095 1.33817 0.0142172 0.0149141 0.014709 0.109367 0.111346 0.110921 -0.000257872 -0.00046068 -0.000519841
18 0.03766673 0.0062703928 0.00695018 1.34007 0.0119601 0.0130554 0.0126513 0.110579 0.11225 0.112076 0.000242957 0.00044675 0.000614706
19 0.030001637 -0.0034266478 -0.000331665 1.34301 0.00996841 0.0102716 0.00976168 0.109399 0.111604 0.111205 -1.49138e-05 -0.0002746 -0.000289633
20 0.025700732 0.0045269672 0.00426543 1.33893 0.00876176 0.00862829 0.00831069 0.110653 0.11208 0.111816 7.80393e-05 0.000503259 0.000320305
21 0.019793359 -0.002844011 0.00162629 1.3406 0.00644137 0.00726005 0.00609194 0.109771 0.111736 0.11123 6.17606e-05 -0.000473368 -0.000237999
22 0.017570064 0.0028891142 -0.00060057 1.33868 0.0054489 0.00631767 0.00580349 0.110548 0.11168 0.111683 -0.00015835 0.000543448 0.000289114
23 0.013316859 -0.00056740273 0.000108745 1.3373 0.00431561 0.00550639 0.00349486 0.11007 0.112106 0.111475 4.47826e-05 -0.000342429 -5.0324e-05
24 0.010904272 0.0015755379 0.00130897 1.34283 0.0032508 0.00442834 0.00322513 0.110379 0.111461 0.111445 -0.00016905 0.00052466 0.000194144
25 0.01013437 0.00050699911 -0.00198949 1.33529 0.00344808 0.00414002 0.00254626 0.110118 0.112145 0.111632 -4.14164e-05 -0.000392801 0.000322467
26 0.0067634135 0.00074532784 -0.00421219 1.34172 0.00270555 0.00314209 0.000915776 0.110095 0.111824 0.111567 -4.17184e-05 0.000301021 -8.71782e-05
27 0.0069275714 0.00044728503 -0.00387545 1.32982 0.00186109 0.00380138 0.0012651 0.110333 0.112186 0.11174 -8.13335e-05 -0.00046659 0.000234241
28 0.0050081275 0.0013957604 -0.00331907 1.34478 0.00225244 0.00341612 -0.00066043 0.11001 0.111846 0.111616 2.81522e-05 0.000488108 -0.00012006
29 0.0049538424 0.0011357422 -0.00078958 1.33119 0.00190743 0.00375344 -0.000707027 0.110317 0.111934 0.111675 0.000174446 -0.000280973 0.00018896
30 0.0031635983 0.00074294668 -0.00443134 1.34665 0.002019 0.00278037 -0.00163578 0.109914 0.111705 0.11165 -7.71386e-05 0.00033212 2.46314e-05
31 0.0044672062 0.001177279 -0.00264484 1.32943 0.00183341 0.00383681 -0.00120301 0.110493 0.112316 0.111386 0.000123423 -0.000166357 4.28838e-06
32 0.0015791668 -0.00089605547 -0.0037291 1.34881 0.0016852 0.00270346 -0.00280949 0.109713 0.111322 0.111354 -5.16586e-05 0.000306383 -8.15505e-05
33 0.0019810343 0.00097955381 -0.00707239 1.3294 0.00101597 0.00296252 -0.00199746 0.110476 0.112101 0.11153 -1.37321e-05 -0.000162887 0.000115949
34 0.00033075335 -0.0017279913 -0.00777966 1.34726 0.000661178 0.00226703 -0.00259746 0.109902 0.111382 0.11136 -0.000261301 0.000245375 -0.00021508
35 0.0012257768 0.0011975396 -0.0129428 1.32886 0.000803068 0.0027576 -0.00233489 0.110298 0.112252 0.111659 -6.55807e-06 -9.02198e-05 5.80138e-05
36 -0.0012690013 -0.0010330621 -0.0142388 1.34288 -5.111e-05 0.00182233 -0.00304022 0.109918 0.111556 0.111665 -0.000375201 0.000205885 -7.80267e-05
37 -0.00018294399 0.0022561725 -0.0106714 1.33367 -0.000184534 0.00274995 -0.00274836 0.110185 0.112562 0.111696 -0.0001042 0.000145005 0.000156069
38 -0.0025814804 -0.0010674104 -0.0163695 1.34151 -0.000836942 0.00151826 -0.0032628 0.109984 0.111671 0.111621 -0.000121456 -0.000148785 -5.74426e-05
39 0.00040773745 0.0016567407 -0.0106757 1.33754 -0.000380778 0.00307746 -0.00228894 0.110125 0.112313 0.111632 -8.96293e-05 0.000119508 0.000154292
40 -0.0024983543 -0.0013809554 -0.0145257 1.34156 -0.00159222 0.00196588 -0.00287201 0.10982 0.111471 0.11157 -7.06815e-05 -3.07708e-05 -0.000122716
41 -0.0002683201 0.002015882 -0.00863395 1.33723 -0.00027789 0.00206506 -0.00205549 0.110072 0.112233 0.111916 0.00013427 1.32575e-05 8.05099e-05
42 -0.0020452675 -0.00077895336 -0.0150653 1.33876 -0.0015711 0.00116373 -0.0016379 0.10992 0.111432 0.111659 -0.000215359 0.000288177 -0.00017112
43 -0.00091125702 0.0019867716 -0.0071164 1.33869 -0.000686915 0.00126887 -0.00149321 0.110126 0.112231 0.111887 0.000115147 -0.000175822 0.000267756
44 -0.00093458053 -0.0015016062 -0.0145986 1.33783 -0.000895533 0.000902928 -0.000941976 0.109736 0.111331 0.111591 -0.000196142 0.000330055 -0.000296668
45 -0.0015525192 0.0021552686 -0.00827721 1.33622 -0.000817495 0.00094996 -0.00168498 0.109982 0.112302 0.112014 0.000158419 -0.000160339 0.000238304
46 -0.00050506052 -0.0017964476 -0.0120301 1.33879 -0.000991453 0.00134042 -0.000854031 0.109759 0.111286 0.111373 -0.000228382 0.000412404 -0.000324981
