#  iFrame          Time(ps)     <Ree^2>/<Rg^2>  std<Ree^2>/<Rg^2>
#================================================================
         0          0.000         5.74         1.50 
         1          0.100         5.75         1.49 
         2          0.200         5.78         1.52 
         3          0.300         6.65         1.92 
         4          0.400         6.94         2.03 
         5          0.500         6.95         2.01 
         6          0.600         6.94         2.00 
         7          0.700         6.95         1.97 
         8          0.800         7.02         1.85 
         9          0.900         7.12         2.35 
        10          1.000         7.32         2.92 
        11          1.100         7.37         3.25 
        12          1.200         7.69         4.12 
        13          1.300         8.23         5.59 
        14          1.400         8.47         5.89 
        15          1.500         8.48         5.83 
        16          1.600         8.55         5.64 
        17          1.700         8.48         4.37 
        18          1.800         8.26         2.88 
        19          1.900         8.38         1.92 
        20          2.000         8.37         1.73 
        21          2.100         7.24         2.20 
        22          2.200         5.92         2.42 
        23          2.300         5.43         2.28 
        24          2.400         5.04         2.26 
        25          2.500         4.79         2.60 
        26          2.600         4.53         3.06 
        27          2.700         4.54         3.15 
        28          2.800         4.66         3.23 
        29          2.900         4.82         3.42 
        30          3.000         5.11         3.14 
        31          3.100         5.50         2.90 
        32          3.200         5.74         2.39 
        33          3.300         6.67         1.99 
        34          3.400         7.18         1.02 
        35          3.500         7.51         0.46 
        36          3.600         7.61         0.72 
        37          3.700         7.73         1.08 
        38          3.800         8.30         1.64 
        39          3.900         8.73         2.30 
        40          4.000         8.72         2.76 
        41          4.100         8.55         3.49 
        42          4.200         8.16         3.64 
        43          4.300         7.94         3.86 
        44          4.400         7.80         4.29 
        45          4.500         8.07         4.98 
        46          4.600         7.84         5.12 
        47          4.700         7.48         5.28 
        48          4.800         7.05         5.29 
        49          4.900         6.86         4.90 
        50          5.000         6.77         4.10 
        51          5.100         6.74         3.31 
        52          5.200         6.69         2.29 
        53          5.300         6.08         1.62 
        54          5.400         5.61         1.22 
        55          5.500         5.35         1.16 
        56          5.600         5.08         1.52 
        57          5.700         5.10         2.19 
        58          5.800         5.44         2.87 
        59          5.900         5.85         3.15 
        60          6.000         5.96         3.20 
        61          6.100         5.90         3.10 
        62          6.200         6.27         3.27 
        63          6.300         7.16         3.37 
        64          6.400         7.93         2.96 
        65          6.500         8.43         2.69 
        66          6.600         8.74         2.93 
        67          6.700         8.88         3.30 
        68          6.800         9.04         3.59 
        69          6.900         9.34         3.48 
        70          7.000         9.01         3.25 
        71          7.100         8.76         2.74 
        72          7.200         9.09         1.78 
        73          7.300         9.13         1.21 
        74          7.400         8.95         1.15 
        75          7.500         8.79         1.00 
        76          7.600         8.25         0.44 
        77          7.700         8.19         0.87 
        78          7.800         7.98         1.69 
        79          7.900         7.63         2.14 
        80          8.000         7.39         2.83 
        81          8.100         7.08         3.71 
        82          8.200         6.76         3.71 
        83          8.300         7.18         4.11 
        84          8.400         7.41         4.57 
        85          8.500         7.47         4.94 
        86          8.600         7.74         5.21 
        87          8.700         7.95         5.58 
        88          8.800         7.90         5.61 
        89          8.900         7.87         5.76 
        90          9.000         7.64         6.01 
        91          9.100         7.30         5.80 
        92          9.200         6.77         5.34 
        93          9.300         7.02         5.33 
        94          9.400         7.21         5.15 
        95          9.500         7.12         4.88 
        96          9.600         6.71         4.58 
        97          9.700         6.41         4.17 
        98          9.800         6.38         4.11 
        99          9.900         6.44         4.43 
       100         10.000         6.35         4.64 
       101         10.100         5.90         4.56 
       102         10.200         5.47         4.02 
       103         10.300         4.87         3.19 
       104         10.400         4.51         2.60 
       105         10.500         4.36         2.25 
       106         10.600         4.17         1.91 
       107         10.700         3.61         1.81 
       108         10.800         3.46         1.70 
       109         10.900         3.43         1.71 
       110         11.000         3.69         2.04 
       111         11.100         3.96         2.45 
       112         11.200         4.10         2.77 
       113         11.300         4.56         3.23 
       114         11.400         5.33         4.01 
       115         11.500         5.86         4.60 
       116         11.600         6.09         4.65 
       117         11.700         5.91         4.63 
       118         11.800         5.64         4.53 
       119         11.900         5.35         4.16 
       120         12.000         5.48         4.26 
       121         12.100         5.18         3.89 
       122         12.200         4.55         3.44 
       123         12.300         4.23         3.13 
       124         12.400         3.89         2.74 
       125         12.500         3.80         2.66 
       126         12.600         3.57         2.56 
       127         12.700         3.67         2.76 
       128         12.800         3.68         2.66 
       129         12.900         3.51         2.29 
       130         13.000         3.53         2.07 
       131         13.100         3.68         1.89 
       132         13.200         3.60         1.46 
       133         13.300         3.86         1.27 
       134         13.400         3.91         0.87 
       135         13.500         4.16         0.94 
       136         13.600         4.59         0.97 
       137         13.700         5.13         1.33 
       138         13.800         5.18         1.66 
       139         13.900         5.27         1.70 
       140         14.000         5.17         1.81 
       141         14.100         5.38         2.15 
       142         14.200         6.05         1.98 
       143         14.300         6.14         2.09 
       144         14.400         6.43         2.67 
       145         14.500         6.89         3.10 
       146         14.600         7.42         2.86 
       147         14.700         7.99         2.60 
       148         14.800         8.38         2.24 
       149         14.900         8.08         2.25 
       150         15.000         7.96         2.63 
       151         15.100         7.88         3.06 
       152         15.200         7.96         2.69 
       153         15.300         8.32         2.23 
       154         15.400         8.42         1.82 
       155         15.500         8.42         1.68 
       156         15.600         8.32         1.43 
       157         15.700         8.39         1.53 
       158         15.800         8.33         1.71 
       159         15.900         8.38         1.73 
       160         16.000         8.13         1.45 
       161         16.100         7.87         1.38 
       162         16.200         7.77         1.16 
       163         16.300         7.66         0.97 
       164         16.400         7.63         1.04 
       165         16.500         7.65         0.87 
       166         16.600         7.56         1.17 
       167         16.700         7.19         1.28 
       168         16.800         6.83         1.56 
       169         16.900         6.29         1.71 
       170         17.000         5.86         1.78 
       171         17.100         5.66         1.73 
       172         17.200         5.49         1.85 
       173         17.300         5.17         2.24 
       174         17.400         4.69         1.97 
       175         17.500         4.56         2.27 
       176         17.600         4.14         2.36 
       177         17.700         4.39         2.68 
       178         17.800         4.53         2.94 
       179         17.900         4.56         2.85 
       180         18.000         4.97         2.99 
       181         18.100         4.63         3.03 
       182         18.200         4.40         2.86 
       183         18.300         4.54         2.75 
       184         18.400         4.43         2.59 
       185         18.500         4.29         2.62 
       186         18.600         4.17         2.53 
       187         18.700         4.59         2.37 
