#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
         0          0.000        29.96         1.16        0.884
         1          0.100        29.96         1.15        0.885
         2          0.200        30.07         1.12        0.888
         3          0.300        33.20         1.95        0.980
         4          0.400        33.71         2.57        0.995
         5          0.500        33.31         2.31        0.983
         6          0.600        32.99         2.11        0.974
         7          0.700        32.61         1.82        0.963
         8          0.800        31.60         0.87        0.933
         9          0.900        29.23         1.97        0.863
        10          1.000        28.10         2.17        0.830
        11          1.100        28.66         3.05        0.846
        12          1.200        29.42         4.55        0.869
        13          1.300        31.82         8.28        0.939
        14          1.400        32.01        10.99        0.945
        15          1.500        31.22        11.10        0.922
        16          1.600        30.30        10.22        0.895
        17          1.700        28.60         6.51        0.845
        18          1.800        26.52         3.45        0.783
        19          1.900        25.48         2.12        0.752
        20          2.000        25.11         1.43        0.741
        21          2.100        24.19         1.35        0.714
        22          2.200        23.56         1.69        0.696
        23          2.300        22.66         2.22        0.669
        24          2.400        22.26         2.55        0.657
        25          2.500        22.35         3.16        0.660
        26          2.600        22.33         2.95        0.659
        27          2.700        22.51         3.00        0.664
        28          2.800        22.67         3.76        0.669
        29          2.900        22.06         4.28        0.651
        30          3.000        21.96         4.04        0.648
        31          3.100        22.39         4.63        0.661
        32          3.200        23.17         4.23        0.684
        33          3.300        23.72         3.83        0.700
        34          3.400        24.06         3.06        0.710
        35          3.500        24.39         1.35        0.720
        36          3.600        25.62         1.17        0.756
        37          3.700        26.27         0.54        0.776
        38          3.800        27.12         1.98        0.801
        39          3.900        27.72         3.98        0.818
        40          4.000        28.42         5.10        0.839
        41          4.100        29.12         6.40        0.860
        42          4.200        29.37         6.56        0.867
        43          4.300        29.30         7.23        0.865
        44          4.400        29.49         7.68        0.871
        45          4.500        28.99         7.45        0.856
        46          4.600        28.97         7.25        0.855
        47          4.700        28.36         7.42        0.837
        48          4.800        28.57         6.98        0.844
        49          4.900        28.57         5.64        0.844
        50          5.000        28.93         4.47        0.854
        51          5.100        28.72         3.39        0.848
        52          5.200        29.11         1.98        0.859
        53          5.300        29.59         2.56        0.874
        54          5.400        29.65         2.05        0.875
        55          5.500        29.21         2.02        0.862
        56          5.600        28.57         2.75        0.843
        57          5.700        29.07         3.29        0.858
        58          5.800        29.18         3.85        0.862
        59          5.900        29.68         4.70        0.876
        60          6.000        29.40         4.64        0.868
        61          6.100        29.14         3.81        0.860
        62          6.200        29.03         4.07        0.857
        63          6.300        28.89         3.80        0.853
        64          6.400        29.03         3.71        0.857
        65          6.500        29.86         3.78        0.882
        66          6.600        30.60         4.74        0.904
        67          6.700        31.24         5.58        0.922
        68          6.800        31.90         5.88        0.942
        69          6.900        32.01         5.37        0.945
        70          7.000        32.29         5.25        0.953
        71          7.100        31.91         4.54        0.942
        72          7.200        31.51         3.35        0.930
        73          7.300        30.05         2.18        0.887
        74          7.400        28.90         1.80        0.853
        75          7.500        27.82         0.98        0.821
        76          7.600        27.53         0.14        0.813
        77          7.700        27.21         0.63        0.803
        78          7.800        26.86         1.10        0.793
        79          7.900        26.93         1.48        0.795
        80          8.000        26.65         2.36        0.787
        81          8.100        26.96         3.33        0.796
        82          8.200        26.90         4.24        0.794
        83          8.300        26.27         4.38        0.775
        84          8.400        26.17         4.71        0.773
        85          8.500        26.26         5.30        0.775
        86          8.600        26.46         6.70        0.781
        87          8.700        26.81         7.49        0.792
        88          8.800        27.27         7.46        0.805
        89          8.900        27.45         8.08        0.810
        90          9.000        27.72         8.75        0.818
        91          9.100        27.19         8.58        0.803
        92          9.200        27.01         8.88        0.797
        93          9.300        27.00         8.40        0.797
        94          9.400        26.12         7.92        0.771
        95          9.500        24.94         7.31        0.736
        96          9.600        24.43         7.42        0.721
        97          9.700        24.00         7.15        0.709
        98          9.800        23.39         7.58        0.691
        99          9.900        23.06         8.01        0.681
       100         10.000        23.38         7.43        0.690
       101         10.100        24.50         7.90        0.723
       102         10.200        24.58         7.80        0.726
       103         10.300        24.54         6.92        0.724
       104         10.400        24.08         5.94        0.711
       105         10.500        24.18         5.75        0.714
       106         10.600        24.63         4.99        0.727
       107         10.700        24.89         4.46        0.735
       108         10.800        25.12         3.79        0.742
       109         10.900        25.63         3.18        0.757
       110         11.000        25.84         4.50        0.763
       111         11.100        25.88         4.80        0.764
       112         11.200        26.63         5.26        0.786
       113         11.300        26.18         4.78        0.773
       114         11.400        25.21         4.59        0.744
       115         11.500        24.57         4.74        0.726
       116         11.600        24.17         5.20        0.714
       117         11.700        23.39         5.51        0.691
       118         11.800        23.36         5.43        0.690
       119         11.900        22.46         4.84        0.663
       120         12.000        21.71         4.85        0.641
       121         12.100        21.71         4.29        0.641
       122         12.200        21.96         3.87        0.648
       123         12.300        21.87         4.06        0.646
       124         12.400        21.61         3.45        0.638
       125         12.500        21.75         2.70        0.642
       126         12.600        21.42         2.35        0.632
       127         12.700        21.54         2.23        0.636
       128         12.800        21.39         1.87        0.631
       129         12.900        21.45         1.59        0.633
       130         13.000        21.58         1.81        0.637
       131         13.100        22.07         1.67        0.652
       132         13.200        22.26         1.38        0.657
       133         13.300        22.84         1.68        0.674
       134         13.400        23.37         2.20        0.690
       135         13.500        23.40         2.64        0.691
       136         13.600        24.23         3.39        0.715
       137         13.700        25.35         3.90        0.748
       138         13.800        26.61         4.40        0.786
       139         13.900        27.69         5.02        0.817
       140         14.000        27.95         4.67        0.825
       141         14.100        28.07         4.34        0.829
       142         14.200        27.82         3.95        0.821
       143         14.300        28.92         4.17        0.854
       144         14.400        29.83         4.31        0.881
       145         14.500        29.33         4.08        0.866
       146         14.600        29.32         3.72        0.866
       147         14.700        29.66         3.76        0.876
       148         14.800        29.99         3.11        0.885
       149         14.900        29.92         2.84        0.883
       150         15.000        29.92         3.18        0.883
       151         15.100        30.14         2.49        0.890
       152         15.200        30.40         2.12        0.898
       153         15.300        30.34         2.00        0.896
       154         15.400        30.55         2.03        0.902
       155         15.500        30.40         2.16        0.898
       156         15.600        29.93         2.78        0.884
       157         15.700        29.60         3.35        0.874
       158         15.800        29.01         3.41        0.856
       159         15.900        27.49         2.95        0.812
       160         16.000        26.63         2.85        0.786
       161         16.100        25.69         2.39        0.759
       162         16.200        25.21         2.49        0.744
       163         16.300        25.95         2.65        0.766
       164         16.400        26.98         2.63        0.797
       165         16.500        27.01         2.16        0.797
       166         16.600        27.50         3.08        0.812
