# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
       1            2.379                0.994            2.379           17157
       2            3.339                1.394            6.678           16254
       3            4.378                1.829           13.135           15351
       4            5.287                2.208           21.147           14448
       5            6.011                2.511           30.056           13545
       6            6.637                2.772           39.825           12642
       7            7.140                2.982           49.982           11739
       8            7.529                3.145           60.235           10836
       9            7.855                3.281           70.698            9933
      10            8.098                3.382           80.979            9030
      11            8.313                3.472           91.439            8127
      12            8.505                3.552          102.055            7224
      13            8.684                3.627          112.894            6321
      14            8.797                3.674          123.162            5418
      15            8.866                3.703          132.987            4515
      16            8.815                3.681          141.034            3612
      17            8.716                3.640          148.177            2709
      18            8.683                3.627          156.299            1806
      19            8.649                3.612          164.339             903
