#   iFrame     Time(ps)     rEE_ACF
#===================================
         0           0.00     1.00000000   
         1           0.10     0.99565059   
         2           0.20     0.98554391   
         3           0.30     0.97189212   
         4           0.40     0.95604396   
         5           0.50     0.93898338   
         6           0.60     0.92121643   
         7           0.70     0.90313798   
         8           0.80     0.88472027   
         9           0.90     0.86600399   
        10           1.00     0.84695005   
        11           1.10     0.82769978   
        12           1.20     0.80813247   
        13           1.30     0.78835952   
        14           1.40     0.76851243   
        15           1.50     0.74856222   
        16           1.60     0.72830760   
        17           1.70     0.70783198   
        18           1.80     0.68711388   
        19           1.90     0.66614777   
        20           2.00     0.64487922   
        21           2.10     0.62337911   
        22           2.20     0.60175979   
        23           2.30     0.58032000   
        24           2.40     0.55926210   
        25           2.50     0.53868037   
        26           2.60     0.51848608   
        27           2.70     0.49843749   
        28           2.80     0.47889215   
        29           2.90     0.45969608   
        30           3.00     0.44073278   
        31           3.10     0.42168698   
        32           3.20     0.40268567   
        33           3.30     0.38363096   
        34           3.40     0.36452374   
        35           3.50     0.34522527   
        36           3.60     0.32596931   
        37           3.70     0.30716687   
        38           3.80     0.28890455   
        39           3.90     0.27130556   
        40           4.00     0.25424644   
        41           4.10     0.23769481   
        42           4.20     0.22153486   
        43           4.30     0.20586224   
        44           4.40     0.19066691   
        45           4.50     0.17574295   
        46           4.60     0.16113368   
        47           4.70     0.14679621   
        48           4.80     0.13290893   
        49           4.90     0.11977252   
        50           5.00     0.10762291   
        51           5.10     0.09627482   
        52           5.20     0.08548390   
        53           5.30     0.07519084   
        54           5.40     0.06541020   
        55           5.50     0.05635232   
        56           5.60     0.04775924   
        57           5.70     0.03981689   
        58           5.80     0.03266924   
        59           5.90     0.02615832   
        60           6.00     0.01976462   
        61           6.10     0.01321744   
        62           6.20     0.00678941   
        63           6.30     0.00064870   
        64           6.40     -0.00506409   
        65           6.50     -0.01036964   
        66           6.60     -0.01512217   
        67           6.70     -0.01952927   
        68           6.80     -0.02342953   
        69           6.90     -0.02649630   
        70           7.00     -0.02855539   
        71           7.10     -0.02951338   
        72           7.20     -0.02935297   
        73           7.30     -0.02793710   
        74           7.40     -0.02551575   
        75           7.50     -0.02231336   
        76           7.60     -0.01862311   
        77           7.70     -0.01446854   
        78           7.80     -0.00967657   
        79           7.90     -0.00418047   
        80           8.00     0.00180949   
        81           8.10     0.00833174   
        82           8.20     0.01512110   
        83           8.30     0.02219474   
        84           8.40     0.02951596   
        85           8.50     0.03728178   
        86           8.60     0.04547842   
        87           8.70     0.05375846   
        88           8.80     0.06199750   
        89           8.90     0.07019987   
        90           9.00     0.07801399   
        91           9.10     0.08538456   
        92           9.20     0.09235433   
        93           9.30     0.09910575   
        94           9.40     0.10569682   
        95           9.50     0.11198621   
        96           9.60     0.11805157   
        97           9.70     0.12382168   
        98           9.80     0.12908235   
        99           9.90     0.13382748   
       100          10.00     0.13826329   
       101          10.10     0.14289078   
       102          10.20     0.14810492   
       103          10.30     0.15351549   
       104          10.40     0.15913317   
       105          10.50     0.16490147   
       106          10.60     0.17037946   
       107          10.70     0.17585777   
       108          10.80     0.18146025   
       109          10.90     0.18707414   
       110          11.00     0.19280595   
       111          11.10     0.19823338   
       112          11.20     0.20311210   
       113          11.30     0.20744540   
       114          11.40     0.21082176   
       115          11.50     0.21306063   
       116          11.60     0.21419251   
       117          11.70     0.21453917   
       118          11.80     0.21430089   
       119          11.90     0.21411715   
       120          12.00     0.21398014   
       121          12.10     0.21381336   
       122          12.20     0.21326719   
       123          12.30     0.21202375   
       124          12.40     0.21046196   
       125          12.50     0.20877938   
       126          12.60     0.20694230   
       127          12.70     0.20466918   
       128          12.80     0.20227936   
       129          12.90     0.19971825   
       130          13.00     0.19637245   
       131          13.10     0.19249825   
       132          13.20     0.18855011   
       133          13.30     0.18451008   
       134          13.40     0.18047972   
       135          13.50     0.17622286   
       136          13.60     0.17176780   
       137          13.70     0.16739395   
       138          13.80     0.16327649   
       139          13.90     0.15934949   
       140          14.00     0.15588811   
       141          14.10     0.15308259   
       142          14.20     0.15063819   
       143          14.30     0.14831960   
       144          14.40     0.14634217   
       145          14.50     0.14451936   
       146          14.60     0.14253584   
       147          14.70     0.14024377   
       148          14.80     0.13763808   
       149          14.90     0.13450973   
       150          15.00     0.13070418   
       151          15.10     0.12631659   
       152          15.20     0.12153585   
       153          15.30     0.11675230   
       154          15.40     0.11235653   
       155          15.50     0.10839540   
       156          15.60     0.10488757   
       157          15.70     0.10158322   
       158          15.80     0.09836954   
       159          15.90     0.09535435   
       160          16.00     0.09232547   
       161          16.10     0.08893474   
       162          16.20     0.08521123   
       163          16.30     0.08105900   
       164          16.40     0.07674190   
       165          16.50     0.07236288   
       166          16.60     0.06847624   
       167          16.70     0.06528279   
       168          16.80     0.06244108   
       169          16.90     0.06006705   
       170          17.00     0.05748610   
       171          17.10     0.05481001   
       172          17.20     0.05247113   
       173          17.30     0.04990939   
       174          17.40     0.04720678   
       175          17.50     0.04490720   
       176          17.60     0.04282213   
       177          17.70     0.04083144   
       178          17.80     0.03878882   
       179          17.90     0.03762354   
       180          18.00     0.03728385   
       181          18.10     0.03736817   
       182          18.20     0.03722563   
       183          18.30     0.03655682   
       184          18.40     0.03568011   
       185          18.50     0.03463352   
       186          18.60     0.03411709   
       187          18.70     0.03457208   
       188          18.80     0.03569646   
       189          18.90     0.03675045   
       190          19.00     0.03802134   
       191          19.10     0.03929308   
       192          19.20     0.03979224   
       193          19.30     0.03948776   
       194          19.40     0.03828146   
       195          19.50     0.03598911   
       196          19.60     0.03287331   
       197          19.70     0.02942851   
       198          19.80     0.02610751   
       199          19.90     0.02301840   
       200          20.00     0.02023547   
       201          20.10     0.01777134   
       202          20.20     0.01582085   
       203          20.30     0.01447817   
       204          20.40     0.01370634   
       205          20.50     0.01325034   
       206          20.60     0.01277009   
       207          20.70     0.01225356   
