#Tempouts(K) Hyperbolafun(g/cm3)
100.5 1.2074
106.4 1.2056
112.2 1.2038
118.1 1.2019
123.9 1.2001
129.8 1.1982
135.7 1.1964
141.5 1.1945
147.4 1.1927
153.2 1.1908
159.1 1.1889
164.9 1.1870
170.8 1.1851
176.7 1.1832
182.5 1.1812
188.4 1.1793
194.2 1.1773
200.1 1.1753
206.0 1.1733
211.8 1.1713
217.7 1.1693
223.5 1.1672
229.4 1.1651
235.2 1.1630
241.1 1.1608
247.0 1.1585
252.8 1.1563
258.7 1.1539
264.5 1.1515
270.4 1.1491
276.3 1.1465
282.1 1.1439
288.0 1.1412
293.8 1.1383
299.7 1.1353
305.6 1.1322
311.4 1.1290
317.3 1.1255
323.1 1.1220
329.0 1.1182
334.8 1.1143
340.7 1.1103
346.6 1.1060
352.4 1.1017
358.3 1.0972
364.1 1.0925
370.0 1.0878
375.9 1.0829
381.7 1.0780
387.6 1.0729
393.4 1.0678
399.3 1.0627
405.1 1.0574
411.0 1.0521
416.9 1.0468
422.7 1.0414
428.6 1.0360
434.4 1.0306
440.3 1.0251
446.2 1.0196
452.0 1.0141
457.9 1.0086
463.7 1.0030
469.6 0.9975
475.4 0.9919
481.3 0.9863
487.2 0.9807
493.0 0.9750
498.9 0.9694
504.7 0.9638
510.6 0.9581
516.5 0.9525
522.3 0.9468
528.2 0.9411
534.0 0.9354
539.9 0.9297
545.8 0.9241
551.6 0.9184
557.5 0.9127
563.3 0.9070
569.2 0.9012
575.0 0.8955
580.9 0.8898
586.8 0.8841
592.6 0.8784
598.5 0.8726
604.3 0.8669
610.2 0.8612
616.1 0.8554
621.9 0.8497
627.8 0.8440
633.6 0.8382
639.5 0.8325
645.3 0.8267
651.2 0.8210
657.1 0.8152
662.9 0.8095
668.8 0.8037
674.6 0.7980
680.5 0.7922
