#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
         0          0.000       542.03       223.68        1.892
         1       2000.000       557.18       245.10        1.945
         2       4000.000       562.92       264.90        1.965
         3       6000.000       561.66       249.27        1.961
         4       8000.000       557.59       262.15        1.947
         5      10000.000       575.65       297.50        2.010
         6      12000.000       568.31       274.72        1.984
         7      14000.000       567.27       277.64        1.981
         8      16000.000       557.24       284.37        1.946
         9      18000.000       575.29       272.26        2.009
        10      20000.000       590.88       278.25        2.063
        11      22000.000       597.99       292.70        2.088
        12      24000.000       594.55       295.47        2.076
        13      26000.000       582.52       277.33        2.034
        14      28000.000       596.07       283.04        2.081
        15      30000.000       586.88       268.64        2.049
        16      32000.000       581.18       261.41        2.029
        17      34000.000       581.39       274.11        2.030
        18      36000.000       550.13       250.70        1.921
        19      38000.000       573.65       262.20        2.003
        20      40000.000       571.88       236.38        1.997
        21      42000.000       566.95       264.89        1.980
        22      44000.000       582.30       272.13        2.033
        23      46000.000       560.85       267.36        1.958
        24      48000.000       575.60       272.62        2.010
        25      50000.000       572.61       279.40        1.999
        26      52000.000       582.14       282.06        2.033
        27      54000.000       571.87       277.92        1.997
        28      56000.000       570.37       265.04        1.991
        29      58000.000       558.27       267.44        1.949
        30      60000.000       567.82       264.88        1.983
        31      62000.000       577.28       253.53        2.016
        32      64000.000       578.09       272.95        2.018
        33      66000.000       574.67       268.79        2.006
        34      68000.000       572.61       276.80        1.999
        35      70000.000       570.15       266.62        1.991
        36      72000.000       565.58       263.34        1.975
        37      74000.000       564.47       253.69        1.971
        38      76000.000       593.09       286.03        2.071
        39      78000.000       587.01       279.95        2.050
        40      80000.000       601.98       282.20        2.102
        41      82000.000       585.79       258.37        2.045
        42      84000.000       590.55       275.18        2.062
        43      86000.000       594.70       254.75        2.076
        44      88000.000       574.55       257.47        2.006
        45      90000.000       595.67       267.80        2.080
        46      92000.000       578.82       262.87        2.021
        47      94000.000       582.13       268.19        2.032
        48      96000.000       578.07       278.37        2.018
        49      98000.000       571.97       284.06        1.997
        50     100000.000       568.23       268.65        1.984
