# /home/jramos/Programacion/hmeyer/yasp_cJ/src/cmake-build-debug/rdf_all VERSION2.2 28JAN2003 HM
# INTER-molecular RDF - 17 particles per molecule
# weed=1 maxmean=99999 #frames=11 #particles=170
cJ: 202258.8184
# norm=0.0277797 norm2=nfr*nmol=0.0909091 ns*(ns-1)=28730//316030
0.1 0 0 0
0.3 0 0 0
0.5 0 0 0
0.7 0 0 0
0.9 0 0 0
1.1 0 0 0
1.3 0 0 0
1.5 0 0 0
1.7 0.0320042851 0.002151694459 2
1.9 0.07688114244 0.008606777838 6
2.1 0.06294498369 0.01506186122 6
2.3 0.2186690764 0.04195804196 25
2.5 0.347986891 0.09252286175 47
2.7 0.387240148 0.1581495428 61
2.9 0.6053425399 0.276492738 110
3.1 0.524963492 0.3937600861 109
3.3 0.667291303 0.5626681011 157
3.5 0.8350541353 0.8004303389 221
3.7 0.899392086 1.086605702 266
3.9 0.9069189747 1.407208176 298
4.1 1.029898402 1.80957504 374
4.3 1.25429339 2.348574502 501
4.5 1.273313343 2.947821409 557
4.7 1.322344824 3.626681011 631
4.9 1.434488568 4.42711135 744
5.1 1.514642572 5.342657343 851
5.3 1.470070584 6.302313072 892
5.5 1.556411123 7.396449704 1017
5.7 1.498987735 8.52824099 1052
5.9 1.59858401 9.82140936 1202
6.1 1.532811465 11.14685315 1232
6.3 1.531523835 12.55944056 1313
6.5 1.475989355 14.00860678 1347
6.7 1.455196917 15.52662722 1411
6.9 1.453748271 17.13501883 1495
7.1 1.470356085 18.85745024 1601
7.3 1.350933943 20.53039268 1555
7.5 1.395899627 22.35502959 1696
7.7 1.285288347 24.12587413 1646
7.9 1.295219777 26.00430339 1746
8.1 1.25745428 27.92146315 1782
8.3 1.25807129 29.93544917 1872
8.5 1.19892635 31.94835933 1871
8.7 1.128535812 33.93329747 1845
8.9 1.152033056 36.05379236 1971
9.1 1.132702295 38.23345885 2026
9.3 1.112345018 40.46906939 2078
9.5 1.081394014 42.73695535 2108
9.7 1.045134692 45.02205487 2124
9.9 1.026481608 47.3598709 2173
10.1 1.049772761 49.84830554 2313
10.3 0.9880181739 52.28402367 2264
10.5 0.9356212204 54.6810113 2228
10.7 0.9507121298 57.21032813 2351
10.9 0.9410843692 59.80849919 2415
11.1 0.907102083 62.40559441 2414
11.3 0.8883302795 65.04142012 2450
11.5 0.8783561365 67.74072082 2509
11.7 0.8634657617 70.4873588 2553
11.9 0.8461292955 73.27165143 2588
12.1 0.8455852137 76.14846692 2674
12.3 0.8259612986 79.05217859 2699
12.5 0.8412260386 82.10650888 2839
12.7 0.806041294 85.1274879 2808
12.9 0.7873628525 88.17213556 2830
13.1 0.566828438 90.43249059 2101
13.3 0.2439388949 91.4351802 932
13.5 0.05258616148 91.65788058 207
13.7 0 91.65788058 0
13.9 0 91.65788058 0
14.1 0 91.65788058 0
14.3 0 91.65788058 0
14.5 0 91.65788058 0
14.7 0 91.65788058 0
14.9 0 91.65788058 0
15.1 0 91.65788058 0
15.3 0 91.65788058 0
15.5 0 91.65788058 0
15.7 0 91.65788058 0
15.9 0 91.65788058 0
16.1 0 91.65788058 0
16.3 0 91.65788058 0
16.5 0 91.65788058 0
16.7 0 91.65788058 0
16.9 0 91.65788058 0
17.1 0 91.65788058 0
17.3 0 91.65788058 0
17.5 0 91.65788058 0
17.7 0 91.65788058 0
17.9 0 91.65788058 0
18.1 0 91.65788058 0
18.3 0 91.65788058 0
18.5 0 91.65788058 0
18.7 0 91.65788058 0
18.9 0 91.65788058 0
19.1 0 91.65788058 0
19.3 0 91.65788058 0
19.5 0 91.65788058 0
19.7 0 91.65788058 0
19.9 0 91.65788058 0

