# /home/jramos/Programacion/hmeyer/yasp_cJ/src/cmake-build-debug/rdf_all VERSION2.2 28JAN2003 HM
# weed=1 maxmean=99999 #frames=11 #particles=170
cJ: 202258.8184
# norm=0.0277797 norm2=nfr*nmol=0.0909091 ns*(ns-1)=28730//316030
0.1 0 0 0
0.3 0 0 0
0.5 0 0 0
0.7 0 0 0
0.9 6.261822011 0.1183431953 110
1.1 38.426068 1.201721356 1007
1.3 3.718545126 1.348036579 136
1.5 10.08864072 1.876277569 491
1.7 5.984801314 2.278644432 374
1.9 4.715376736 2.674556213 368
2.1 15.4529935 4.259279182 1473
2.3 8.895458029 5.353415815 1017
2.5 8.707076251 6.618612157 1176
2.7 7.382955608 7.869822485 1163
2.9 5.882828865 9.019903174 1069
3.1 4.941399475 10.12372243 1026
3.3 2.813674157 10.8359333 662
3.5 3.019041874 11.69553523 799
3.7 2.505449382 12.49273803 741
3.9 2.583806072 13.40613233 849
4.1 2.255312276 14.28725121 819
4.3 2.333336206 15.28994083 932
4.5 2.242585977 16.34534696 981
4.7 2.244423623 17.49757934 1071
4.9 2.155589004 18.70037655 1118
5.1 2.185641691 20.02151694 1228
5.3 1.951304452 21.29532006 1184
5.5 1.894628289 22.62721893 1238
5.7 1.773992139 23.96664874 1245
5.9 1.798074527 25.42119419 1352
6.1 1.705750421 26.89618074 1371
6.3 1.657498378 28.42495966 1421
6.5 1.554884109 29.95158687 1419
6.7 1.504700427 31.52124798 1459
6.9 1.495561766 33.17590102 1538
7.1 1.492397651 34.92415277 1625
7.3 1.36396546 36.61323292 1570
7.5 1.399191843 38.44217321 1700
7.7 1.28841177 40.21732114 1650
7.9 1.295961598 42.09682625 1747
8.1 1.258865564 44.01613771 1784
8.3 1.25807129 46.03012372 1872
8.5 1.19892635 48.04303389 1871
8.7 1.128535812 50.02797203 1845
8.9 1.152033056 52.14846692 1971
9.1 1.132702295 54.32813341 2026
9.3 1.112345018 56.56374395 2078
9.5 1.081394014 58.83162991 2108
9.7 1.045134692 61.11672942 2124
9.9 1.026481608 63.45454545 2173
10.1 1.049772761 65.9429801 2313
10.3 0.9880181739 68.37869822 2264
10.5 0.9356212204 70.77568585 2228
10.7 0.9507121298 73.30500269 2351
10.9 0.9410843692 75.90317375 2415
11.1 0.907102083 78.50026896 2414
11.3 0.8883302795 81.13609467 2450
11.5 0.8783561365 83.83539537 2509
11.7 0.8634657617 86.58203335 2553
11.9 0.8461292955 89.36632598 2588
12.1 0.8455852137 92.24314147 2674
12.3 0.8259612986 95.14685315 2699
12.5 0.8412260386 98.20118343 2839
12.7 0.806041294 101.2221625 2808
12.9 0.7873628525 104.2668101 2830
13.1 0.566828438 106.5271651 2101
13.3 0.2439388949 107.5298548 932
13.5 0.05258616148 107.7525551 207
13.7 0 107.7525551 0
13.9 0 107.7525551 0
14.1 0 107.7525551 0
14.3 0 107.7525551 0
14.5 0 107.7525551 0
14.7 0 107.7525551 0
14.9 0 107.7525551 0
15.1 0 107.7525551 0
15.3 0 107.7525551 0
15.5 0 107.7525551 0
15.7 0 107.7525551 0
15.9 0 107.7525551 0
16.1 0 107.7525551 0
16.3 0 107.7525551 0
16.5 0 107.7525551 0
16.7 0 107.7525551 0
16.9 0 107.7525551 0
17.1 0 107.7525551 0
17.3 0 107.7525551 0
17.5 0 107.7525551 0
17.7 0 107.7525551 0
17.9 0 107.7525551 0
18.1 0 107.7525551 0
18.3 0 107.7525551 0
18.5 0 107.7525551 0
18.7 0 107.7525551 0
18.9 0 107.7525551 0
19.1 0 107.7525551 0
19.3 0 107.7525551 0
19.5 0 107.7525551 0
19.7 0 107.7525551 0
19.9 0 107.7525551 0

