# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# INTER-molecular RDF - 17 particles per molecule
# weed=1 maxmean=99999 #frames=11 #particles=170
# norm=0.0277797 norm2=nfr*nmol=0.0909091 ns*(ns-1)=28730//316030
0.05 0 0 0
0.15 0 0 0
0.25 0 0 0
0.35 0 0 0
0.45 0 0 0
0.55 0 0 0
0.65 0 0 0
0.75 0 0 0
0.85 0 0 0
0.95 0 0 0
1.05 0 0 0
1.15 0 0 0
1.25 0 0 0
1.35 0 0 0
1.45 0 0 0
1.55 0 0 0
1.65 0 0 0
1.75 0.06045640798 0.002151694459 2
1.85 0.02704938604 0.003227541689 1
1.95 0.1217340906 0.008606777838 5
2.05 0.02202991235 0.009682625067 1
2.15 0.1001431848 0.01506186122 5
2.25 0.2377461179 0.0290478752 13
2.35 0.201180829 0.04195804196 12
2.45 0.2776429486 0.06132329209 18
2.55 0.4129225344 0.09252286175 29
2.65 0.316427749 0.1183431953 24
2.75 0.4529967476 0.1581495428 37
2.85 0.4901632897 0.2044109736 43
2.95 0.7128461143 0.276492738 67
3.05 0.5275260236 0.3335126412 53
3.15 0.5225610649 0.3937600861 56
3.25 0.6223919477 0.4701452394 71
3.35 0.7095503042 0.5626681011 86
3.45 0.8401595359 0.6788596019 108
3.55 0.830232293 0.8004303389 113
3.65 0.8965683791 0.9392146315 129
3.75 0.9020672119 1.086605702 137
3.85 0.9432735866 1.249058634 151
3.95 0.8723817051 1.407208176 147
4.05 1.05564063 1.608391608 187
4.15 1.005381757 1.80957504 187
4.25 1.199567144 2.061323292 234
4.35 1.306532517 2.348574502 267
4.45 1.173659247 2.618612157 251
4.55 1.36863535 2.947821409 306
4.65 1.177651126 3.243679398 275
4.75 1.461010508 3.626681011 356
4.85 1.428941217 4.017213556 363
4.95 1.439814055 4.42711135 381
5.05 1.477760531 4.864981173 407
5.15 1.550106252 5.342657343 444
5.25 1.461383235 5.810650888 435
5.35 1.478436217 6.302313072 457
5.45 1.564966802 6.842388381 502
5.55 1.54816097 7.396449704 515
5.65 1.44743448 7.933297472 499
5.75 1.548763471 8.52824099 553
5.85 1.550382707 9.144701452 573
5.95 1.645178754 9.82140936 629
6.05 1.51281962 10.464766 598
6.15 1.552158469 11.14685315 634
6.25 1.47207149 11.81495428 621
6.35 1.589118449 12.55944056 692
6.45 1.500162721 13.28456159 674
6.55 1.452548458 14.00860678 673
6.65 1.478290642 14.76815492 706
6.75 1.432782371 15.52662722 705
6.85 1.438617283 16.31091985 729
6.95 1.468446975 17.13501883 766
7.05 1.479250034 17.98924153 794
7.15 1.461709175 18.85745024 807
7.25 1.398763223 19.71167294 794
7.35 1.304397268 20.53039268 761
7.45 1.453134085 21.46745562 871
7.55 1.340171251 22.35502959 825
7.65 1.275300672 23.22216245 806
7.75 1.295019943 24.12587413 840
