# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# weed=1 maxmean=99999 #frames=11 #particles=170
# norm=0.0277797 norm2=nfr*nmol=0.0909091 ns*(ns-1)=28730//316030
0.05 0 0 0
0.15 0 0 0
0.25 0 0 0
0.35 0 0 0
0.45 0 0 0
0.55 0 0 0
0.65 0 0 0
0.75 0 0 0
0.85 0 0 0
0.95 11.27590089 0.1183431953 110
1.05 83.08737847 1.183431953 990
1.15 1.189559776 1.201721356 17
1.25 5.508558445 1.301775148 93
1.35 2.183780507 1.348036579 43
1.45 6.427637151 1.505110274 146
1.55 13.29265356 1.876277569 345
1.65 4.454275704 2.017213556 131
1.75 7.34545357 2.278644432 243
1.85 3.705765888 2.426035503 137
1.95 5.624114984 2.674556213 231
2.05 11.69788346 3.245831092 531
2.15 18.86697602 4.259279182 942
2.25 10.93632142 4.902635826 598
2.35 7.024563945 5.353415815 419
2.45 8.036220901 5.913932222 521
2.55 9.326353794 6.618612157 655
2.65 7.818402299 7.256589564 593
2.75 6.978598544 7.869822485 570
2.85 5.653976552 8.403442711 496
2.95 6.096430201 9.019903174 573
3.05 6.200919107 9.690155998 623
3.15 3.760573378 10.12372243 403
3.25 3.129491906 10.50779989 357
3.35 2.516428404 10.8359333 305
3.45 3.04168869 11.25658956 391
3.55 2.997652881 11.69553523 408
3.65 2.467300578 12.077461 355
3.75 2.541590831 12.49273803 386
3.85 2.811080225 12.97686928 450
3.95 2.3678932 13.40613233 399
4.05 2.30321592 13.845078 408
4.15 2.209689317 14.28725121 411
4.25 2.440145131 14.79935449 476
4.35 2.231381377 15.28994083 456
4.45 2.136901498 15.78160301 457
4.55 2.34367622 16.34534696 524
4.65 2.119772027 16.87789134 495
4.75 2.363882171 17.49757934 576
4.85 2.22017313 18.10435718 564
4.95 2.093587891 18.70037655 554
5.05 2.203932782 19.35341581 607
5.15 2.168054014 20.02151694 621
5.25 1.96866799 20.65196342 586
5.35 1.934583934 21.29532006 598
5.45 1.935944988 21.96342119 621
5.55 1.854787026 22.62721893 617
5.65 1.728799499 23.26842388 596
5.75 1.817626569 23.96664874 649
5.85 1.764135297 24.66810113 652
5.95 1.830882556 25.42119419 700
6.05 1.70508432 26.14631522 674
6.15 1.706395036 26.89618074 697
6.25 1.614300619 27.62883271 681
6.35 1.699346318 28.42495966 740
6.45 1.584741628 29.19096288 712
6.55 1.525931292 29.95158687 707
6.65 1.539013628 30.74233459 735
6.75 1.471396364 31.52124798 724
6.85 1.482032345 32.32920925 751
6.95 1.50870466 33.17590102 787
7.05 1.501606458 34.04303389 806
7.15 1.483444627 34.92415277 819
7.25 1.412856555 35.78698225 802
7.35 1.316395666 36.61323292 768
7.45 1.45813914 37.5535234 874
7.55 1.341795701 38.44217321 826
7.65 1.275300672 39.30930608 806
7.75 1.301186705 40.21732114 844
