# /home/jramos/Programacion/hmeyer/yasp_cJ/src/cmake-build-debug/rdf_all VERSION2.2 28JAN2003 HM
# weed=1 maxmean=99999 #frames=51 #particles=12060
cJ: 7344268.5000
# norm=9.27024e-06 norm2=nfr*nmol=0.0196078 ns*(ns-1)=145431540//-1172926052
0.1 0 0 0
0.3 0 0 0
0.5 0 0 0
0.7 0 0 0
0.9 0.03875264256 0.006634049258 2040
1.1 4.23023462 1.086956451 332204
1.3 0.7609626128 1.358171994 83400
1.5 1.303565788 1.976426361 190116
1.7 0.7378651787 2.425775883 138177
1.9 0.3288497908 2.675876288 76907
2.1 1.661025356 4.218826066 474464
2.3 1.340851481 5.712716399 459378
2.5 1.281227712 7.399062453 518559
2.7 1.104582142 9.094699427 521416
2.9 0.9240894018 10.73110475 503202
3.1 0.8821867662 12.51612578 548902
3.3 0.7203583515 14.16777641 507890
3.5 0.7472239616 16.09491894 592605
3.7 0.8072126908 18.42143448 715414
3.9 0.8610882994 21.17871446 847876
4.1 0.906128282 24.38536997 986061
4.3 0.9652871311 28.14271011 1155399
4.5 0.9998135383 32.40481684 1310617
4.7 1.020071864 37.14833767 1458654
4.9 1.026198452 42.33505526 1594939
5.1 1.025010696 47.94725606 1725777
5.3 1.022251296 53.9918863 1858751
5.5 1.029336765 60.5463855 2015538
5.7 1.035416289 67.62776805 2177557
5.9 1.034119946 75.20525716 2330112
6.1 1.036803768 83.32615295 2497212
6.3 1.037711816 91.99583421 2665966
6.5 1.031315661 101.167778 2820414
6.7 1.025572954 110.858524 2979948
6.9 1.017298509 121.0534903 3134998
7.1 1.009090201 131.7608946 3292575
7.3 1.001105613 142.9904245 3453131
7.5 0.99587981 154.7817869 3625897
7.7 0.9908994332 167.1482141 3802732
7.9 0.9888898787 180.1389606 3994713
8.1 0.9866320559 193.7645758 4189938
8.3 0.9860103183 208.0623178 4396620
8.5 0.9866595771 223.0672494 4614084
8.7 0.9872736182 238.7963526 4836770
8.9 0.9897875098 255.2988265 5074585
9.1 0.992311018 272.5952726 5318735
9.3 0.9934854884 290.6817071 5561660
9.5 0.9974385857 309.6294818 5826526
9.7 0.9989082596 329.4125322 6083377
9.9 1.00078978 350.0585748 6348751
10.1 1.002739238 371.5890564 6620720
10.3 1.003934544 394.0073365 6893722
10.5 1.005867423 417.3495087 7177823
10.7 1.005529285 441.5811996 7451354
10.9 1.005471103 466.7257325 7732057
11.1 1.005355445 492.7984403 8017475
11.3 1.004032352 519.7835837 8298053
11.5 1.003618083 547.7208496 8590835
11.7 1.002562527 576.6078578 8882885
11.9 1.001386449 606.4558177 9178382
12.1 1.000727092 637.2951583 9483236
12.3 0.9999904764 669.1389264 9792102
12.5 0.999541833 702.0119055 10108589
12.7 0.9987615516 735.9187231 10426499
12.9 0.9986446982 770.8977657 10756213
13.1 0.9983408707 806.9588413 11088943
13.3 0.9985000327 844.1353281 11431937
13.5 0.9973946417 882.3958869 11765294
13.7 0.9989535566 921.8600541 12135409
13.9 0.9984675712 962.4650859 12486230
14.1 0.998658766 1004.254995 12850585
14.3 0.9990294405 1047.254775 13222626
14.5 0.9994268419 1091.483325 13600478
14.7 1.000174354 1136.974366 13988700
14.9 1.000059777 1183.706307 14370282
15.1 1.000584879 1231.726397 14766394
15.3 1.000843109 1281.039673 15164054
15.5 1.001007526 1331.658906 15565642
15.7 1.001095282 1383.597404 15971322
15.9 1.0014033 1436.883977 16385861
16.1 1.000977897 1491.496297 16793534
16.3 1.000734374 1547.460236 17209163
16.5 1.00040027 1604.786785 17628172
16.7 1.000647939 1663.526013 18062577
16.9 1.000617915 1723.678772 18497244
17.1 1.000547852 1785.25936 18936308
17.3 1.000368676 1848.27755 19378377
17.5 0.9997748391 1912.722936 19817246
17.7 1.000003072 1978.66481 20277423
17.9 1.000271759 2046.123419 20743826
18.1 0.999657353 2115.055523 21196932
18.3 0.9995875151 2185.514466 21666442
18.5 0.999313199 2257.502134 22136532
18.7 0.9996730138 2331.081174 22625886
18.9 0.9994112647 2406.22282 23106394
19.1 1.000234491 2483.026375 23617439
19.3 0.9998537174 2561.416935 24105450
19.5 0.9997765209 2641.434395 24605729
19.7 1.000438546 2723.15572 25129675
19.9 1.000186709 2806.523778 25636053

