# /home/jramos/Programacion/hmeyer/yasp_cJ/src/cmake-build-debug/rdf_all VERSION2.2 28JAN2003 HM
# INTER-molecular RDF - 603 particles per molecule
# weed=1 maxmean=99999 #frames=51 #particles=12060
cJ: 7344268.5000
# norm=9.27024e-06 norm2=nfr*nmol=0.0196078 ns*(ns-1)=145431540//-1172926052
0.1 0 0 0
0.3 0 0 0
0.5 0 0 0
0.7 0 0 0
0.9 0 0 0
1.1 0 0 0
1.3 0 0 0
1.5 0.0001714171595 8.129962326e-05 25
1.7 0.001404419998 0.0009365716599 263
1.9 0.01030501769 0.008773855342 2410
2.1 0.03954555546 0.04550827711 11296
2.3 0.07324248486 0.127110335 25093
2.5 0.1088462559 0.2703732791 44054
2.7 0.1458050291 0.4941976459 68827
2.9 0.1877866343 0.8267358689 102257
3.1 0.237222034 1.306732097 147601
3.3 0.2823650423 1.95414376 199082
3.5 0.3276573383 2.799194809 259857
3.7 0.3739903207 3.877094482 331459
3.9 0.4208036948 5.224544681 414347
4.1 0.4682408508 6.881580595 509546
4.3 0.5119167544 8.874195337 612738
4.5 0.5522727162 11.22847958 723953
4.7 0.5909134612 13.97633531 844978
4.9 0.6238019635 17.12921925 969526
5.1 0.6511969405 20.69469227 1096399
5.3 0.6740332316 24.68028923 1225589
5.5 0.6934493934 29.0959612 1357839
5.7 0.7092442074 33.94659916 1491593
5.9 0.7202614321 39.22429753 1622916
6.1 0.7303079116 44.94452602 1758996
6.3 0.7373106546 51.10447164 1894211
6.5 0.7414648897 57.69864506 2027738
6.7 0.7476564184 64.76332867 2172422
6.9 0.7514771034 72.29433716 2315819
7.1 0.75530451 80.3088345 2464494
7.3 0.7588223126 88.82064165 2617419
7.5 0.7639101269 97.86544912 2781319
7.7 0.7680147322 107.4502747 2947377
7.9 0.7741219751 117.6196804 3127138
8.1 0.7797367263 128.3880236 3311314
8.3 0.7860260165 139.7858731 3504890
8.5 0.793095418 151.8471177 3708887
8.7 0.800300373 164.5973896 3920766
8.9 0.8086805922 178.0803143 4146060
9.1 0.8159790683 192.3032118 4373605
9.3 0.8229336868 207.2847454 4606889
9.5 0.8313358869 223.0771615 4856239
9.7 0.837472981 239.6630391 5100232
9.9 0.8438275039 257.0709892 5353023
10.1 0.8496423028 275.3142247 5609877
10.3 0.8546960004 294.3999454 5868945
10.5 0.8602563253 314.3630646 6138749
10.7 0.8636831162 335.1764836 6400220
10.9 0.8674433826 356.8692588 6670626
11.1 0.8712268794 379.4635005 6947831
11.3 0.8734599768 402.9392806 7218908
11.5 0.8763241316 427.333122 7501216
11.7 0.878730513 452.6521368 7785711
11.9 0.8811478317 478.9161882 8076314
12.1 0.8832334901 506.1347362 8369826
12.3 0.8856044812 534.3359886 8672012
12.5 0.8879008605 563.5373141 8979539
12.7 0.889976182 593.7509923 9290842
12.9 0.892405063 625.0088308 9611926
13.1 0.8947459749 657.3279546 9938276
13.3 0.897341954 690.73809 10273767
13.5 0.8986185867 725.2095498 10600129
13.7 0.9022009009 760.8514542 10960046
13.9 0.9040877351 797.618308 11305973
14.1 0.9062844709 835.5427189 11661927
14.3 0.9087282396 874.6557953 12027447
14.5 0.91119187 914.9796019 12399752
14.7 0.9135992529 956.5329385 12777838
14.9 0.915314412 999.3048004 13152540
15.1 0.9174550004 1043.33532 13539583
15.3 0.9196111592 1088.646156 13933286
15.5 0.9214019958 1135.239875 14327778
15.7 0.9229827163 1183.125762 14725126
15.9 0.9248093541 1232.336626 15132562
16.1 0.9259783486 1282.857048 15535257
16.3 0.9272854464 1334.713512 15946096
16.5 0.9283992232 1387.914141 16359433
16.7 0.9300028003 1442.506415 16787370
16.9 0.9313873425 1498.497336 17217460
17.1 0.9325106481 1555.890447 17648640
17.3 0.9337332246 1614.710939 18087566
17.5 0.9344026255 1674.942438 18521457
17.7 0.9358729804 1736.655467 18977034
17.9 0.9372365096 1799.862961 19436589
18.1 0.9377967711 1864.529423 19885228
18.3 0.9389013434 1930.710718 20351046
18.5 0.9397366758 1998.406664 20816808
18.7 0.9409890934 2067.666385 21297676
18.9 0.9419020225 2138.484146 21776780
19.1 0.9435547716 2210.935518 22279123
19.3 0.944357625 2284.975072 22767496
19.5 0.9450021334 2360.608645 23257664
19.7 0.9465298165 2437.926408 23775560
19.9 0.9471624485 2516.874761 24276974

