# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# INTER-molecular RDF - 603 particles per molecule
# weed=1 maxmean=99999 #frames=51 #particles=12060
# norm=9.27024e-06 norm2=nfr*nmol=0.0196078 ns*(ns-1)=145431540//-1172926052
0.00833333 0 0 0
0.025 0 0 0
0.0416667 0 0 0
0.0583333 0 0 0
0.075 0 0 0
0.0916667 0 0 0
0.108333 0 0 0
0.125 0 0 0
0.141667 0 0 0
0.158333 0 0 0
0.175 0 0 0
0.191667 0 0 0
0.208333 0 0 0
0.225 0 0 0
0.241667 0 0 0
0.258333 0 0 0
0.275 0 0 0
0.291667 0 0 0
0.308333 0 0 0
0.325 0 0 0
0.341667 0 0 0
0.358333 0 0 0
0.375 0 0 0
0.391667 0 0 0
0.408333 0 0 0
0.425 0 0 0
0.441667 0 0 0
0.458333 0 0 0
0.475 0 0 0
0.491667 0 0 0
0.508333 0 0 0
0.525 0 0 0
0.541667 0 0 0
0.558333 0 0 0
0.575 0 0 0
0.591667 0 0 0
0.608333 0 0 0
0.625 0 0 0
0.641667 0 0 0
0.658333 0 0 0
0.675 0 0 0
0.691667 0 0 0
0.708333 0 0 0
0.725 0 0 0
0.741667 0 0 0
0.758333 0 0 0
0.775 0 0 0
0.791667 0 0 0
0.808333 0 0 0
0.825 0 0 0
0.841667 0 0 0
0.858333 0 0 0
0.875 0 0 0
0.891667 0 0 0
0.908333 0 0 0
0.925 0 0 0
0.941667 0 0 0
0.958333 0 0 0
0.975 0 0 0
0.991667 0 0 0
1.00833 0 0 0
1.025 0 0 0
1.04167 0 0 0
1.05833 0 0 0
1.075 0 0 0
1.09167 0 0 0
1.10833 0 0 0
1.125 0 0 0
1.14167 0 0 0
1.15833 0 0 0
1.175 0 0 0
1.19167 0 0 0
1.20833 0 0 0
1.225 0 0 0
1.24167 0 0 0
1.25833 0 0 0
1.275 0 0 0
1.29167 0 0 0
1.30833 0 0 0
1.325 0 0 0
1.34167 0 0 0
1.35833 0 0 0
1.375 0 0 0
1.39167 0 0 0
1.40833 9.347704759e-05 3.25198493e-06 1
1.425 0 3.25198493e-06 0
1.44167 0 3.25198493e-06 0
1.45833 0 3.25198493e-06 0
1.475 0 3.25198493e-06 0
1.49167 0 3.25198493e-06 0
1.50833 0.0002444798954 1.300793972e-05 3
1.525 7.972177555e-05 1.625992465e-05 1
1.54167 0.0001560147911 2.276389451e-05 2
1.55833 0.000152695454 2.926786437e-05 2
1.575 0.0005231832651 5.203175888e-05 7
1.59167 0.0006586508727 8.129962326e-05 9
1.60833 0.0004300472856 0.0001008115328 6
1.625 0.0005616948242 0.0001268274123 8
1.64167 0.0008943152463 0.0001691032164 13
1.65833 0.001348353144 0.000234142915 20
1.675 0.0006608269815 0.0002666627643 10
1.69167 0.0009718050133 0.0003154425382 15
1.70833 0.001270580816 0.0003804822368 20
1.725 0.001495376795 0.0004585298752 24
1.74167 0.001650256085 0.0005463334683 27
1.75833 0.001978924579 0.000653648971 33
1.775 0.002236169212 0.0007772243983 38
1.79167 0.00283008509 0.0009365716599 49
1.80833 0.003175038164 0.001118682816 56
1.825 0.004620301421 0.001388597565 83
1.84167 0.004099748512 0.001632496435 75
1.85833 0.005851905788 0.001986962792 109
1.875 0.007066760412 0.002422728773 134
1.89167 0.007460903678 0.002891014603 144
1.90833 0.008807564713 0.003453607996 173
1.925 0.01185782777 0.004224328424 237
1.94167 0.01381895734 0.00513813619 281
1.95833 0.0143582519 0.006103975714 297
1.975 0.0179194859 0.007329974033 377
1.99167 0.02075238896 0.008773855342 444
2.00833 0.02362707752 0.0104453756 514
2.025 0.02893666257 0.01252664595 640
2.04167 0.02953363912 0.01468596395 664
2.05833 0.03137663323 0.01701763714 717
2.075 0.03518070128 0.01967450883 817
2.09167 0.03746157126 0.02254926351 884
2.10833 0.03962449736 0.02563864919 950
2.125 0.04430189693 0.02914754093 1079
2.14167 0.04531277285 0.03279301604 1121
2.15833 0.04835685598 0.03674417773 1215
2.175 0.05122428589 0.04099452203 1307
2.19167 0.05357464983 0.04550827711 1388
2.20833 0.05801551999 0.05047080612 1526
2.225 0.05992097814 0.05567398201 1600
2.24167 0.06095185779 0.06104626111 1652
2.25833 0.06572662589 0.06692584987 1808
2.275 0.0729346666 0.07354689118 2036
2.29167 0.06983006563 0.07997931738 1978
2.30833 0.07348791976 0.08684750955 2112
2.325 0.07669110544 0.09411894785 2236
2.34167 0.07793632467 0.1016147731 2305
2.35833 0.08170565154 0.1095853882 2451
2.375 0.08615073431 0.1181088407 2621
2.39167 0.08971891227 0.127110335 2768
2.40833 0.09202963741 0.1364727996 2879
2.425 0.09552969823 0.1463263139 3030
2.44167 0.09646912322 0.1564139712 3102
2.45833 0.0999513926 0.1670089381 3258
2.475 0.1041486387 0.1781990182 3441
2.49167 0.1056567621 0.1897045409 3538
2.50833 0.1093847663 0.201775909 3712
2.525 0.1121330555 0.2143155629 3856
2.54167 0.1180144906 0.2276877249 4112
2.55833 0.1188330224 0.2413298017 4195
2.575 0.1258560226 0.2559669858 4501
2.59167 0.122282671 0.2703732791 4430
2.60833 0.1293364827 0.2858071996 4746
2.625 0.1346143632 0.3020768802 5003
2.64167 0.1323897576 0.3182815211 4983
2.65833 0.1350376416 0.3350194875 5147
2.675 0.1405114125 0.3526550018 5423
2.69167 0.1433062262 0.3708661174 5600
2.70833 0.1507485027 0.3902609555 5964
2.725 0.1493096198 0.4097078254 5980
2.74167 0.1535675473 0.4299546836 6226
2.75833 0.1550070859 0.4506405597 6361
2.775 0.1604218446 0.4723085353 6663
2.79167 0.1601297964 0.4941976459 6731
2.80833 0.167403053 0.5173550306 7121
2.825 0.1715203591 0.5413644353 7383
2.84167 0.1719021447 0.5657120465 7487
2.85833 0.1804102145 0.5915653267 7950
2.875 0.1809265393 0.6177958371 8066
2.89167 0.1862970553 0.6451190145 8402
2.90833 0.189560176 0.6732421802 8648
2.925 0.1901365839 0.701775096 8774
2.94167 0.196665537 0.7316250656 9179
2.95833 0.1980996312 0.7620343767 9351
2.975 0.2027781955 0.7935135909 9680
2.99167 0.2116285853 0.8267358689 10216
3.00833 0.2118100124 0.8603581411 10339
3.025 0.218316417 0.8953982787 10775
3.04167 0.2229444518 0.9315766111 11125
3.05833 0.2306304515 0.9694134557 11635
3.075 0.2320391331 1.007897445 11834
3.09167 0.23189115 1.046774925 11955
3.10833 0.2394088094 1.087346689 12476
3.125 0.2458040578 1.129450138 12947
3.14167 0.2486317028 1.172493411 13236
3.15833 0.2470925843 1.215725298 13294
3.175 0.2544554046 1.26071651 13835
3.19167 0.2575380304 1.306732097 14150
3.20833 0.260380927 1.353742791 14456
3.225 0.2638288495 1.401872168 14800
3.24167 0.2671746369 1.451116976 15143
3.25833 0.2724291664 1.50184794 15600
3.275 0.281279682 1.554764239 16272
3.29167 0.2806287707 1.608096792 16400
3.30833 0.2893781086 1.663650451 17083
3.325 0.2839520602 1.718713059 16932
3.34167 0.289511345 1.775417921 17437
3.35833 0.2945684644 1.833690239 17919
3.375 0.2993002165 1.893487738 18388
3.39167 0.300620906 1.95414376 18652
3.40833 0.3051892959 2.016328216 19122
3.425 0.3098127944 2.080073625 19602
3.44167 0.3136595811 2.145240151 20039
3.45833 0.3193712468 2.212237544 20602
3.475 0.324713511 2.281013774 21149
3.49167 0.3280537495 2.351165593 21572
3.50833 0.3295536108 2.422312519 21878
3.525 0.3291155212 2.494041551 22057
3.54167 0.3343174173 2.567594946 22618
3.55833 0.3375772801 2.642566206 23054
3.575 0.3440404726 2.719690281 23716
3.59167 0.3513755045 2.799194809 24448
3.60833 0.3511274223 2.879382253 24658
3.625 0.3598001973 2.962311121 25501
3.64167 0.3587372585 3.045757054 25660
3.65833 0.3700774261 3.132630579 26714
3.675 0.3652594419 3.219156142 26607
3.69167 0.3726345871 3.308231262 27391
3.70833 0.3802536731 3.399950245 28204
3.725 0.3775667535 3.491841583 28257
3.74167 0.3802097567 3.58520607 28710
3.75833 0.3906010522 3.681978638 29758
3.775 0.3876280253 3.778868277 29794
3.79167 0.3895281178 3.877094482 30205
3.80833 0.3998428615 3.978810066 31278
3.825 0.4039820758 4.082480094 31879
3.84167 0.4069039267 4.187811886 32390
3.85833 0.4114416614 4.29524446 33036
3.875 0.4159852202 4.404803832 33690
3.89167 0.4180488475 4.515855866 34149
3.90833 0.4234122309 4.629298108 34884
3.925 0.4276587063 4.744857392 35535
3.94167 0.4268899188 4.861190649 35773
3.95833 0.4312780853 4.979715744 36447
3.975 0.4371501566 5.100868443 37255
3.99167 0.4425369641 5.224544681 38031
4.00833 0.4444265912 5.349788377 38513
4.025 0.4508818555 5.477910079 39398
4.04167 0.4541512212 5.608031752 40013
4.05833 0.4620459758 5.741509474 41045
4.075 0.4635999766 5.876538392 41522
4.09167 0.4643935413 6.012907128 41934
4.10833 0.4696847004 6.1519555 42758
4.125 0.4720314652 6.292834739 43321
4.14167 0.4738281229 6.435395254 43838
4.15833 0.480609556 6.581162227 44824
4.175 0.4897993547 6.730909629 46048
4.19167 0.4889089305 6.881580595 46332
4.20833 0.494141513 7.035077535 47201
4.225 0.4940001623 7.189748443 47562
4.24167 0.5011520045 7.347898974 48632
4.25833 0.4995986287 7.506800713 48863
4.275 0.5060889639 7.669029234 49886
4.29167 0.5076720616 7.83303659 50433
4.30833 0.5176159215 8.001557701 51821
4.325 0.5142884526 8.170293443 51887
4.34167 0.5191407248 8.341936459 52781
4.35833 0.529301525 8.518285098 54228
4.375 0.5244434037 8.694354066 54142
4.39167 0.5316215178 8.874195337 55302
4.40833 0.5302329394 9.054930903 55577
4.425 0.5357623658 9.238934715 56582
4.44167 0.544041572 9.427192122 57890
4.45833 0.547751568 9.618158433 58723
4.475 0.5451696816 9.809648314 58884
4.49167 0.5477664322 10.00348613 59606
4.50833 0.5525630788 10.20047511 60575
4.525 0.5582975274 10.40098275 61657
4.54167 0.5582163504 10.60294077 62103
4.55833 0.5620921427 10.80779631 62994
4.575 0.5691033589 11.01672658 64247
4.59167 0.5726125144 11.22847958 65115
4.60833 0.5737949423 11.44221304 65724
4.625 0.5779791323 11.65906515 66683
4.64167 0.5845066645 11.87994972 67923
4.65833 0.5847915837 12.10253183 68445
4.675 0.5873056248 12.32767325 69232
4.69167 0.5901567038 12.55552358 70065
4.70833 0.5912466204 12.7854194 70694
4.725 0.5928961247 13.01759161 71394
4.74167 0.5972621288 13.25312638 72428
4.75833 0.6048607255 13.4933375 73866
4.775 0.599694293 13.73316813 73749
4.79167 0.6038148078 13.97633531 74775
4.80833 0.6079440734 14.22287154 75811
4.825 0.6128939318 14.47314104 76959
4.84167 0.6146767679 14.72587556 77717
4.85833 0.6128702982 14.97960518 78023
4.875 0.6166755103 15.23666483 79047
4.89167 0.6238704669 15.4985049 80517
4.90833 0.627082669 15.76348964 81484
4.925 0.6263464906 16.02996379 81942
4.94167 0.6297817289 16.29971594 82950
4.95833 0.636919837 16.57436883 84457
4.975 0.6359854822 16.8504656 84901
4.99167 0.6378248653 17.12921925 85718
5.00833 0.6403426969 17.41094521 86632
5.025 0.6403754115 17.69456382 87214
5.04167 0.644916047 17.98209132 88416
5.05833 0.6477381633 18.2727895 89391
5.075 0.6482489947 18.56563725 90052
5.09167 0.6487821774 18.86065407 90719
5.10833 0.6497422251 19.15804484 91449
5.125 0.6579184438 19.4611461 93205
5.14167 0.6528325359 19.76386362 93087
5.15833 0.6602292459 20.07199895 94753
5.175 0.6593688037 20.3817245 95242
5.19167 0.6620001689 20.69469227 96239
5.20833 0.6650970095 21.01114618 97311
5.225 0.6660967704 21.33010736 98082
5.24167 0.668325535 21.6521807 99039
5.25833 0.6678774836 21.97608815 99603
5.275 0.6701202938 22.30314678 100572
5.29167 0.6716065541 22.63300537 101433
5.30833 0.6741795104 22.96621675 102464
5.325 0.6772563845 23.3030541 103579
5.34167 0.6776826669 23.64221662 104294
5.35833 0.6818423288 23.98559371 105590
5.375 0.6813297047 24.33085044 106168
5.39167 0.6853258991 24.68028923 107454
5.40833 0.6855962551 25.03203043 108162
5.425 0.6873433903 25.38684475 109107
5.44167 0.6889686347 25.74468666 110038
5.45833 0.6918494053 26.10622934 111176
5.475 0.688540498 26.46824355 111321
5.49167 0.6926115969 26.83461868 112662
5.50833 0.6952460178 27.20462302 113778
5.525 0.6969614751 27.57778829 114750
5.54167 0.6985350786 27.95405596 115704
5.55833 0.6987390566 28.33270082 116435
5.575 0.6972399384 28.71280258 116883
5.59167 0.6986637 29.0959612 117823
5.60833 0.7036539423 29.48416039 119373
5.625 0.7035217973 29.87459696 120061
5.64167 0.7038857161 30.26755381 120836
5.65833 0.70379304 30.6627838 121535
5.675 0.7093368308 31.06347712 123215
5.69167 0.7077412379 31.46562083 123661
5.70833 0.710499216 31.87169944 124871
5.725 0.7096380401 32.2796577 125449
5.74167 0.7111763202 32.6908842 126454
5.75833 0.7166325146 33.10767485 128165
5.775 0.7170884657 33.52714838 128990
5.79167 0.7129285878 33.94659916 128983
5.80833 0.7149761732 34.36967914 130099
5.825 0.7162837994 34.79596884 131086
5.84167 0.7193632378 35.22654465 132404
5.85833 0.7191115361 35.65942937 133114
5.875 0.7179218184 36.09406041 133651
5.89167 0.7213435486 36.53324423 135051
5.90833 0.7225377164 36.97564751 136041
5.925 0.7201843987 37.41910118 136364
5.94167 0.7250567324 37.86807022 138060
5.95833 0.7212933793 38.31721812 138115
5.975 0.7210557773 38.76873347 138843
5.99167 0.7234796821 39.22429753 140088
6.00833 0.7297688817 39.68638183 142093
6.025 0.7293990822 40.15079779 142810
6.04167 0.7274476555 40.61653732 143217
6.05833 0.7272998904 41.08475486 143979
6.075 0.7307096575 41.55775932 145451
6.09167 0.7287751938 42.0321036 145863
6.10833 0.7312088099 42.51063968 147152
6.125 0.7310204811 42.99166679 147918
6.14167 0.7329222487 43.47657351 149111
6.15833 0.7317030831 43.9633046 149672
6.175 0.7305398695 44.45189583 150244
6.19167 0.732618824 44.94452602 151486
6.20833 0.7398937323 45.44473008 153815
6.225 0.7317553853 45.9420919 152941
6.24167 0.7331828267 46.44309595 154061
6.25833 0.7334580757 46.94696826 154943
6.275 0.7361685399 47.45539984 156345
6.29167 0.7381000034 47.96787689 157589
6.30833 0.737857671 48.4829035 158373
6.325 0.740457836 49.00247964 159772
6.34167 0.7375851574 49.52277121 159992
6.35833 0.7423680757 50.04919278 161877
6.375 0.7392670379 50.57616718 162047
6.39167 0.7372728591 51.10447164 162456
6.40833 0.7365264306 51.63499721 163139
6.425 0.7393663834 52.17034222 164621
6.44167 0.7390171016 52.70821403 165398
6.45833 0.7379059085 53.24805978 166005
6.475 0.7431599359 53.7945591 168051
6.49167 0.7364407648 54.33890886 167390
6.50833 0.7431043144 54.8910081 169773
6.525 0.7446039524 55.4470585 170988
6.54167 0.742963574 56.00472188 171484
6.55833 0.744416593 56.56632667 172696
6.575 0.7451720187 57.13136231 173751
6.59167 0.7443570804 57.69864506 174442
6.60833 0.7450565447 58.2693359 175490
6.625 0.7466224244 58.84411448 176747
6.64167 0.7473982639 59.42238894 177822
6.65833 0.7479478862 60.00399669 178847
6.675 0.7470054821 60.58778327 179517
6.69167 0.744324168 61.17238284 179767
6.70833 0.7476753661 61.76254331 181477
6.725 0.7470486729 62.35514277 182227
6.74167 0.7502454184 62.95323158 183915
6.75833 0.7511121878 63.55497562 185039
6.775 0.7498972947 64.15871312 185652
6.79167 0.7473065899 64.76332867 185922
6.80833 0.7511999238 65.3740807 187809
6.825 0.7490520342 65.98607175 188190
6.84167 0.7513563331 66.60294727 189692
6.85833 0.7520803248 67.22342925 190801
6.875 0.749646461 67.84491284 191109
6.89167 0.7515759953 68.47102075 192531
6.90833 0.7512483017 69.09988634 193379
6.925 0.7509150521 69.73150962 194227
6.94167 0.7505494044 70.36586782 195068
6.95833 0.7552600145 71.00727632 197236
6.975 0.7521808717 71.64913359 197374
6.99167 0.7525018505 72.29433716 198403
7.00833 0.7544872728 72.9443309 199876
7.025 0.7555888345 73.59837336 201121
7.04167 0.7529473589 74.25322556 201370
7.05833 0.7533181738 74.91150536 202424
7.075 0.7551513233 75.57450704 203876
7.09167 0.754916571 76.240429 204774
7.10833 0.7549876068 76.90954767 205757
7.125 0.7555391082 77.5822988 206874
7.14167 0.755833689 78.25846451 207924
7.15833 0.7548147729 78.93687409 208614
7.175 0.7576831173 79.62103644 210383
7.19167 0.7581831078 80.3088345 211501
7.20833 0.7596123871 81.00112681 212883
7.225 0.7560550471 81.69336709 212867
7.24167 0.7553754727 82.38817969 213658
7.25833 0.759269152 83.08979218 215749
7.275 0.7561585663 83.79174289 215853
7.29167 0.7583026246 84.49891302 217458
7.30833 0.7617800064 85.21257738 219455
7.325 0.7596131725 85.92746122 219830
7.34167 0.7592571488 86.64526535 220728
7.35833 0.7602970597 87.36731983 222035
7.375 0.7581121802 88.09056453 222401
7.39167 0.7618268159 88.82064165 224502
7.40833 0.7603959932 89.55263744 225092
7.425 0.7603525223 90.28788847 226093
7.44167 0.7644733712 91.03044671 228340
7.45833 0.763053692 91.77494963 228938
7.475 0.7638290504 92.52354356 230196
7.49167 0.7646395149 93.27627726 231469
7.50833 0.7674282596 94.03512144 233348
7.525 0.7637411594 94.79367619 233259
7.54167 0.7657608885 95.55760973 234913
7.55833 0.7624945963 96.32165058 234946
7.575 0.764613294 97.09119704 236639
7.59167 0.7659146828 97.86544912 238086
7.60833 0.765217958 98.6423971 238915
7.625 0.7654160808 99.42295479 240025
7.64167 0.7677864265 100.2093563 241822
7.65833 0.7644166179 100.9957253 241812
7.675 0.7671591958 101.7883543 243737
7.69167 0.7696734168 102.5870386 245599
7.70833 0.7695782352 103.3890886 246634
7.725 0.7678673473 104.1928199 247151
7.74167 0.7686017309 105.0007951 248456
7.75833 0.771956325 105.8157946 250616
7.775 0.7677117918 106.6297989 250310
7.79167 0.7705083119 107.4502747 252300
7.80833 0.7706983317 108.2744675 253443
7.825 0.773002353 109.104657 255287
7.84167 0.7702476154 109.9354156 255462
7.85833 0.7735529798 110.7732895 257650
7.875 0.7749011497 111.6161877 259195
7.89167 0.7726020416 112.4601461 259521
7.90833 0.7754439891 113.3107906 261577
7.925 0.7738950572 114.1633179 262156
7.94167 0.7760092241 115.0217737 263979
7.95833 0.7776305328 115.8856374 265642
7.975 0.7750424676 116.7502362 265868
7.99167 0.7761385893 117.6196804 267358
8.00833 0.7760104759 118.4926107 268430
8.025 0.7769908754 119.3702856 269889
8.04167 0.7768928296 120.2514988 270977
8.05833 0.7802722411 121.1402175 273285
8.075 0.7783057179 122.030367 273725
8.09167 0.780327276 122.9265165 275570
8.10833 0.7804813369 123.8265391 276761
8.125 0.7817650098 124.7317519 278357
8.14167 0.7812163809 125.6400443 279304
8.15833 0.7815041692 126.5523952 280552
8.175 0.7825571341 127.4697118 282079
8.19167 0.780221481 128.3880236 282385
8.20833 0.7827799514 129.3130995 284465
8.225 0.7832859792 130.2425363 285806
8.24167 0.784122709 131.1767405 287272
8.25833 0.7831520728 132.1135658 288078
8.275 0.7864825588 133.0581764 290472
8.29167 0.7865465886 134.0066731 291667
8.30833 0.7862089452 134.9585778 292715
8.325 0.7862208212 135.91432 293895
8.34167 0.7867085991 136.874488 295256
8.35833 0.788507871 137.8407015 297115
8.375 0.7894169481 138.8118906 298645
8.39167 0.7885459544 139.7858731 299504
8.40833 0.7899125742 140.7654229 301216
8.425 0.7930514712 141.7527678 303613
8.44167 0.7899438811 142.7401388 303621
8.45833 0.789549762 143.7309178 304669
8.475 0.7930917205 144.7300674 307243
8.49167 0.793799785 145.7340462 308728
8.50833 0.7938866712 146.7420802 309975
8.525 0.7945637742 147.7549304 311456
8.54167 0.7938776444 148.7708668 312405
8.55833 0.7933097982 149.7900421 313401
8.575 0.7951660116 150.8155848 315359
8.59167 0.7967105093 151.8471177 317201
8.60833 0.794556693 152.879857 317572
8.625 0.7986393571 153.9219263 320441
8.64167 0.7949336272 154.9631729 320188
8.65833 0.7997581553 156.0147835 323375
8.675 0.7978238203 157.0678933 323836
8.69167 0.8004632885 158.128551 326157
8.70833 0.802455735 159.1959305 328224
8.725 0.8021864609 160.26704 329371
8.74167 0.8029202909 161.3432291 330933
8.75833 0.8017913032 162.4220068 331729
8.775 0.8056541243 163.5101112 334597
8.79167 0.8019931345 164.5973896 334343
8.80833 0.8031429065 165.690359 336093
8.825 0.8059590029 166.7913152 338549
8.84167 0.8047353282 167.894756 339313
8.85833 0.8082099218 169.007143 342064
8.875 0.8093153619 170.1252469 343822
8.89167 0.8065984602 171.2437867 343956
8.90833 0.8089472787 172.369793 346252
8.925 0.8100532919 173.5015618 348024
8.94167 0.80868972 174.6356492 348737
8.95833 0.8120367382 175.7786797 351487
8.975 0.8133830704 176.9278693 353381
8.99167 0.8126660293 178.0803143 354382
9.00833 0.8155951259 179.2412046 356979
9.025 0.8116363428 180.4007389 356562
9.04167 0.8125318061 181.5658438 358275
9.05833 0.8143506485 182.7378656 360402
9.075 0.8153311981 183.9156207 362165
9.09167 0.8150093523 185.0972392 363353
9.10833 0.8169326315 186.2859926 365547
9.125 0.8169036882 187.479058 366873
9.14167 0.8170935989 188.6767641 368300
9.15833 0.8192749979 189.8820505 370631
9.175 0.8186248252 191.0907678 371686
9.19167 0.8181736745 192.3032118 372832
9.20833 0.8221569273 193.5259809 376007
9.225 0.8195810125 194.7493354 376187
9.24167 0.8206283591 195.9786832 378030
9.25833 0.8231985843 197.2163334 380583
9.275 0.8198332646 198.4533657 380393
9.29167 0.8228712959 199.6994483 383176
9.30833 0.8218594721 200.9484674 384079
9.325 0.8245446803 202.2060588 386715
9.34167 0.8248132389 203.4685606 388225
9.35833 0.8218567934 204.73103 388215
9.375 0.8276494446 206.00693 392345
9.39167 0.8259526066 207.2847454 392934
9.40833 0.8298613802 208.5731688 396196
9.425 0.8282084471 209.8635857 396809
9.44167 0.8300311251 211.1614204 399090
9.45833 0.8286421231 212.4616615 399830
9.475 0.8312766311 213.7706375 402516
9.49167 0.833130214 215.0871516 404834
9.50833 0.8305053294 216.4041307 404977
9.525 0.8319481548 217.7280267 407104
9.54167 0.8317711227 219.0562772 408443
9.55833 0.8317830534 220.3891911 409877
9.575 0.8343197448 221.7308365 412562
9.59167 0.8343227741 223.0771615 414001
9.60833 0.8347123768 224.4288002 415635
9.625 0.8352984159 225.7860844 417371
9.64167 0.8348363251 227.1473198 418586
9.65833 0.8371868071 228.5171111 421217
9.675 0.8362024392 229.8900179 422175
9.69167 0.8360015472 231.2673278 423529
9.70833 0.8380888029 232.6528295 426048
9.725 0.83730645 234.0417945 427113
9.74167 0.8371692559 235.4352961 428508
9.75833 0.8428126985 236.8429958 432874
9.775 0.8408006972 238.2521361 433317
9.79167 0.8389889438 239.6630391 433859
9.80833 0.8405033051 241.0813045 436123
9.825 0.8415780999 242.5062137 438166
9.84167 0.8419746636 243.9366351 439861
9.85833 0.8429074363 245.3734953 441841
9.875 0.8442435999 246.8175035 444039
9.89167 0.8433167562 248.2647994 445050
9.90833 0.8424423557 249.7154708 446088
9.925 0.845871718 251.1769519 449412
9.94167 0.845092056 252.6419939 450507
9.95833 0.846350729 254.1141414 452692
9.975 0.8452335471 255.5892711 453609
9.99167 0.8461786733 257.0709892 455635
10.0083 0.847599624 258.5601512 457924
10.025 0.8465823727 260.0524838 458899
10.0417 0.8498973219 261.5556455 462229
10.0583 0.8489486867 263.0621178 463247
10.075 0.8494336843 264.5744501 465049
10.0917 0.8484307681 266.0899987 466038
10.1083 0.8476185525 267.6091017 467131
10.125 0.8495325692 269.1366598 469731
10.1417 0.8503875265 270.6707934 471753
10.1583 0.8520515997 272.2129855 474231
10.175 0.8528639025 273.7617173 476242
10.1917 0.852149116 275.3142247 477403
10.2083 0.8522848779 276.872062 479042
10.225 0.853307222 278.4368652 481184
10.2417 0.8519374694 280.0042536 481979
10.2583 0.8553273213 281.5830045 485473
10.275 0.8545040947 283.1653651 486583
10.2917 0.8535136669 284.7510232 487597
10.3083 0.8564178056 286.3472339 490842
10.325 0.8570987164 287.9498837 492822
10.3417 0.8562660593 289.5561496 493934
10.3583 0.8561583466 291.1673943 495465
10.375 0.8554509411 292.7824926 496650
10.3917 0.8539521648 294.3999454 497374
10.4083 0.8616352677 296.0371897 503460
10.425 0.8562586757 297.6694325 501922
10.4417 0.8560747664 299.3065467 503420
10.4583 0.8601339106 300.9566787 507423
10.475 0.8580816317 302.6081244 507827
10.4917 0.857899247 304.2644774 509336
10.5083 0.8607140917 305.931549 512632
10.525 0.8607050507 307.6038952 514254
10.5417 0.8598542229 309.2798837 515374
10.5583 0.8633286511 310.9679696 519094
10.575 0.864490668 312.6636683 521435
10.5917 0.8636512584 314.3630646 522572
10.6083 0.8628968749 316.0663242 523760
10.625 0.8616289185 317.7724293 524635
10.6417 0.8627418797 319.4861018 526962
10.6583 0.8626702032 321.2050035 528570
10.675 0.8633936206 322.9307311 530669
10.6917 0.861247267 324.6575481 531004
