# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# INTER-molecular RDF - 603 particles per molecule
# weed=1 maxmean=99999 #frames=51 #particles=4820
# norm=5.80424e-05 norm2=nfr*nmol=0.0196078 ns*(ns-1)=23227580//1184606580
0.1 0 0 0
0.3 0.001036472034 8.137722821e-06 1
0.5 0.0003818581178 1.627544564e-05 1
0.7 0.0005882679112 4.068861411e-05 3
0.9 0.000475757655 7.323950539e-05 4
1.1 0.00039864309 0.0001139281195 5
1.3 0.0001713851395 0.000138341288 3
1.5 0.001416716212 0.0004068861411 33
1.7 0.007021262166 0.002115807933 210
1.9 0.02117692123 0.008552746685 791
2.1 0.06205367462 0.03159063999 2831
2.3 0.1232305201 0.08646330497 6743
2.5 0.1919639026 0.1874443075 12409
2.7 0.2343980558 0.3312541452 17672
2.9 0.2591672861 0.5146784175 22540
3.1 0.2797669465 0.7409233874 27802
3.3 0.2987551349 1.014692659 33642
3.5 0.3235913059 1.348241642 40988
3.7 0.3590209946 1.761800715 50820
3.9 0.3899296814 2.260822154 61322
4.1 0.4250077823 2.861939463 73868
4.3 0.4574294086 3.573558911 87447
4.5 0.4922334652 4.412200074 103056
4.7 0.5252323597 5.388360615 119955
4.9 0.552329674 6.50409124 137106
5.1 0.5756717615 7.763827008 154802
5.3 0.5925520949 9.164182627 172082
5.5 0.6073383522 10.70983729 189937
5.7 0.6174362153 12.3975359 207392
5.9 0.6269905545 14.2337154 225638
6.1 0.6344530898 16.21984058 244064
6.3 0.6452029708 18.37422132 264740
6.5 0.6523065692 20.69279689 284917
6.7 0.6597521592 23.18435604 306174
6.9 0.66966194 25.86656576 329602
7.1 0.6771591704 28.73830304 352892
7.3 0.6843637877 31.80639544 377021
7.5 0.6908703961 35.07568489 401745
7.7 0.6951485315 38.54298956 426078
7.9 0.7022378129 42.22996391 453072
8.1 0.704808355 46.12016162 478045
8.3 0.7094232834 50.23157518 505229
8.5 0.715494299 54.5804068 534404
8.7 0.7180859731 59.15278981 561875
8.9 0.7258980129 63.9898604 594401
9.1 0.7308559644 69.08129992 625659
9.3 0.7362193313 74.43801293 658257
9.5 0.7421815025 80.07285703 692435
9.7 0.747178105 85.98699592 726756
9.9 0.7518147399 92.18575166 761731
10.1 0.7558697526 98.6722817 797094
10.3 0.7603443953 105.4581741 833881
10.5 0.7657482713 112.5602659 872737
10.7 0.7688425708 119.9652845 909962
10.9 0.7706450471 127.6677205 946510
11.1 0.7742134289 135.6923859 986107
11.3 0.7770501294 144.0392971 1025706
11.5 0.7801803685 152.7191062 1066614
11.7 0.7841742276 161.7494314 1109687
11.9 0.785292244 171.1044355 1149585
12.1 0.7882249475 180.8126493 1192989
12.3 0.7909848157 190.8795658 1237068
12.5 0.792771536 201.3000012 1280510
12.7 0.7943313638 212.0777153 1324414
12.9 0.7968522561 223.2328406 1370792
13.1 0.7976550589 234.7481253 1415050
13.3 0.8007363253 246.6635499 1464221
13.5 0.8013451419 258.9493549 1509735
13.7 0.8052588833 271.6636679 1562392
13.9 0.8074230871 284.7870806 1612664
14.1 0.8080412022 298.3011934 1660675
14.3 0.8103125117 312.2404697 1712921
14.5 0.8119407339 326.6011743 1764708
14.7 0.813189469 341.3834617 1816514
14.9 0.8141278367 356.5882434 1868432
15.1 0.8168371189 372.255907 1925313
15.3 0.8181426861 388.3670601 1979811
15.5 0.820001177 404.939728 2036524
15.7 0.8220369197 421.9850429 2094605
15.9 0.8235483941 439.4995382 2152260
16.1 0.8241381479 457.4702749 2208325
16.3 0.8252306906 475.914676 2266531
16.5 0.8259747617 494.8315125 2324586
16.7 0.8270786686 514.2356115 2384463
16.9 0.8301313112 534.1806005 2450930
17.1 0.8298664031 554.5939317 2508482
17.3 0.8308194429 575.5115495 2570451
17.5 0.8316643208 596.937368 2632901
17.7 0.8327599114 618.8845867 2696973
17.9 0.8344922259 641.377277 2764003
18.1 0.8354545873 664.4019221 2829372
18.3 0.8361260793 687.9571223 2894569
18.5 0.8364761767 712.0400783 2959422
18.7 0.8375260742 736.677441 3027550
18.9 0.8381898002 761.8645639 3095107
19.1 0.8399277526 787.6408986 3167512
19.3 0.8401705676 813.9674817 3235129
19.5 0.8406200692 840.8568941 3304292
19.7 0.8425108944 868.3624379 3380005
19.9 0.8430098754 896.4459228 3451025

