# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# weed=1 maxmean=99999 #frames=51 #particles=12060
# norm=9.27024e-06 norm2=nfr*nmol=0.0196078 ns*(ns-1)=145431540//-1172926052
0.00833333 0 0 0
0.025 0 0 0
0.0416667 0 0 0
0.0583333 0 0 0
0.075 0 0 0
0.0916667 0 0 0
0.108333 0 0 0
0.125 0 0 0
0.141667 0 0 0
0.158333 0 0 0
0.175 0 0 0
0.191667 0 0 0
0.208333 0 0 0
0.225 0 0 0
0.241667 0 0 0
0.258333 0 0 0
0.275 0 0 0
0.291667 0 0 0
0.308333 0 0 0
0.325 0 0 0
0.341667 0 0 0
0.358333 0 0 0
0.375 0 0 0
0.391667 0 0 0
0.408333 0 0 0
0.425 0 0 0
0.441667 0 0 0
0.458333 0 0 0
0.475 0 0 0
0.491667 0 0 0
0.508333 0 0 0
0.525 0 0 0
0.541667 0 0 0
0.558333 0 0 0
0.575 0 0 0
0.591667 0 0 0
0.608333 0 0 0
0.625 0 0 0
0.641667 0 0 0
0.658333 0 0 0
0.675 0 0 0
0.691667 0 0 0
0.708333 0 0 0
0.725 0 0 0
0.741667 0 0 0
0.758333 0 0 0
0.775 0 0 0
0.791667 0 0 0
0.808333 0 0 0
0.825 0 0 0
0.841667 0 0 0
0.858333 0 0 0
0.875 0 0 0
0.891667 0 0 0
0.908333 0 0 0
0.925 0 0 0
0.941667 0.3709102681 0.005769021266 1774
0.958333 0.05369804502 0.006634049258 266
0.975 0 0.006634049258 0
0.991667 0 0.006634049258 0
1.00833 0 0.006634049258 0
1.025 0 0.006634049258 0
1.04167 0 0.006634049258 0
1.05833 0 0.006634049258 0
1.075 2.827161005 0.0639405277 17622
1.09167 47.82589912 1.063662483 307419
1.10833 0.2060177551 1.068101442 1365
1.125 0.002050860027 1.06814697 14
1.14167 0.01493564274 1.068488429 105
1.15833 0.067155663 1.070068893 486
1.175 0.2123096958 1.075210281 1581
1.19167 0.4715763887 1.086956451 3612
1.20833 0.8246180929 1.108074841 6494
1.225 1.098975596 1.137001247 8895
1.24167 1.073880277 1.166041473 8930
1.25833 0.866238632 1.190099657 7398
1.275 0.6155266163 1.20765062 5397
1.29167 0.4795068802 1.221682935 4315
1.30833 0.5202245865 1.237302218 4803
1.325 0.6080722027 1.256027148 5758
1.34167 0.6936872753 1.277929266 6735
1.35833 0.7696173983 1.302836219 7659
1.375 0.8073621299 1.329609811 8233
1.39167 0.8407913104 1.358171994 8783
1.40833 0.8584932051 1.388038224 9184
1.425 0.8071208351 1.416785771 8840
1.44167 0.7465518733 1.444001632 8369
1.45833 0.786860908 1.473354048 9026
1.475 0.9549550496 1.509795792 11206
1.49167 1.276531835 1.559616201 15320
1.50833 1.699950206 1.627452606 20860
1.525 1.989297465 1.708599386 24953
1.54167 2.024837966 1.793011159 25957
1.55833 1.816999555 1.870405149 23799
1.575 1.40362596 1.931477426 18780
1.59167 1.011541374 1.976426361 13822
1.60833 0.7124450032 2.008751091 9940
1.625 0.5457567336 2.03402877 7773
1.64167 0.5018484401 2.057752 7295
1.65833 0.5597013901 2.084749979 8302
1.675 0.646685284 2.116573904 9786
1.69167 0.7493912393 2.154189613 11567
1.70833 0.8342633636 2.19689468 13132
1.725 0.8985968393 2.243794806 14422
1.74167 0.900611978 2.291712804 14735
1.75833 0.8966927038 2.340339735 14953
1.775 0.817731773 2.385529317 13896
1.79167 0.7147986342 2.425775883 12376
1.80833 0.5834132627 2.459238808 10290
1.825 0.4537915324 2.485748989 8152
1.84167 0.3373819709 2.50582024 6172
1.85833 0.2501823942 2.52097449 4660
1.875 0.1972891843 2.533140165 3741
1.89167 0.1595804398 2.543156279 3080
1.90833 0.1662236924 2.55377401 3265
1.925 0.1945784481 2.566420979 3889
1.94167 0.254249144 2.583233741 5170
1.95833 0.3352192548 2.605783005 6934
1.975 0.4440420086 2.636163048 9342
1.99167 0.5707841756 2.675876288 12212
2.00833 0.727520926 2.727345453 15827
2.025 0.9077521476 2.792635555 20077
2.04167 1.122144851 2.874679883 25229
2.05833 1.32285111 2.972984135 30229
2.075 1.535592397 3.08895317 35661
2.09167 1.730648313 3.221760982 40839
2.10833 1.914405452 3.371020587 45898
2.125 2.040679223 3.532650742 49702
2.14167 2.115997353 3.702885649 52348
2.15833 2.130129456 3.876935134 53521
2.175 2.103174333 4.051446402 53663
2.19167 1.986662267 4.218826066 51470
2.20833 1.878813226 4.379535909 49419
2.225 1.713590172 4.528333732 45756
2.24167 1.556891975 4.66555774 42197
2.25833 1.418648146 4.7924632 39024
2.275 1.304262415 4.910864719 36409
2.29167 1.212317722 5.022537882 34340
2.30833 1.156356078 5.130611097 33233
2.325 1.150675267 5.239711939 33549
2.34167 1.148588698 5.350181867 33970
2.35833 1.18684876 5.465962287 35603
2.375 1.224352805 5.587095473 37249
2.39167 1.252077985 5.712716399 38629
2.40833 1.270865681 5.842005564 39757
2.425 1.290344541 5.975099551 40927
2.44167 1.286503768 6.109627664 41368
2.45833 1.274610346 6.244737882 41547
2.475 1.264614479 6.380612316 41782
2.49167 1.262087643 6.518047703 42262
2.50833 1.269947707 6.658195246 43096
2.525 1.266411419 6.799815938 43549
2.54167 1.294141393 6.946454442 45092
2.55833 1.291611559 7.094731947 45596
2.575 1.303019474 7.246274445 46600
2.59167 1.296886395 7.399062453 46983
2.60833 1.278485408 7.551626074 46914
2.625 1.253611393 7.703139304 46591
2.64167 1.20418089 7.850532269 45324
2.65833 1.174567743 7.996120382 44769
2.675 1.144664057 8.139786572 44178
2.69167 1.105735487 8.280301589 43209
2.70833 1.084711811 8.41985727 42914
2.725 1.049037404 8.556489417 42015
2.74167 1.027047719 8.691898818 41639
2.75833 1.014625064 8.827301714 41637
2.775 0.9961900406 8.961855843 41376
2.79167 0.9718172905 9.094699427 40850
2.80833 0.9574486089 9.227146269 40728
2.825 0.952062283 9.360415864 40981
2.84167 0.928207293 9.491883859 40427
2.85833 0.9150088378 9.623007143 40321
2.875 0.9015596817 9.753714173 40193
2.89167 0.9062746418 9.886632553 40873
2.90833 0.9055400084 10.02097855 41312
2.925 0.9014693134 10.15625788 41599
2.94167 0.91384448 10.29496154 42652
2.95833 0.9173256477 10.43577574 43301
2.975 0.9397973333 10.58166954 44863
2.99167 0.9519143256 10.73110475 45952
3.00833 0.9602846038 10.88353829 46874
3.025 0.9757680115 11.04015063 48159
3.04167 0.9694927362 11.19747516 48378
3.05833 0.9649411584 11.35578179 48680
3.075 0.941980057 11.51201039 48041
3.09167 0.9142194631 11.66528295 47132
3.10833 0.8868449924 11.81557343 46215
3.125 0.8495020131 11.9610835 44745
3.14167 0.8263115727 12.10413506 43989
3.15833 0.7983391514 12.24381432 42952
3.175 0.7739784848 12.38066435 42082
3.19167 0.7581446399 12.51612578 41655
3.20833 0.7489013683 12.65133681 41578
3.225 0.7328202821 12.78502266 41109
3.24167 0.7263628494 12.91890363 41169
3.25833 0.7285908495 13.05457969 41721
3.275 0.7280739261 13.19155004 42119
3.29167 0.7198812429 13.32836105 42070
3.30833 0.716220559 13.46585822 42281
3.325 0.7065261218 13.60286435 42130
3.34167 0.7039955576 13.74075176 42401
3.35833 0.7076284456 13.8807367 43046
3.375 0.7160873245 14.02380453 43994
3.39167 0.7135475418 14.16777641 44272
3.40833 0.7257702146 14.31565717 45474
3.425 0.7330908501 14.46649399 46383
3.44167 0.7367924448 14.61957142 47072
3.45833 0.7464190628 14.7761545 48150
3.475 0.7546453157 14.93599281 49151
3.49167 0.7630458436 15.0991644 50176
3.50833 0.7572291807 15.26264168 50270
3.525 0.7515478339 15.42643766 50368
3.54167 0.7455996763 15.59047754 50443
3.55833 0.7494526047 15.75692063 51182
3.575 0.748689863 15.92475557 51610
3.59167 0.7520482104 16.09491894 52326
3.60833 0.7561243814 16.26759608 53099
3.625 0.7685877396 16.44474471 54474
3.64167 0.7739833245 16.6247811 55362
3.65833 0.7944459891 16.81127268 57347
3.675 0.790496277 16.99853173 57583
3.69167 0.8086650771 17.19183622 59442
3.70833 0.8269748901 17.39130647 61338
3.725 0.8245618558 17.59198646 61710
3.74167 0.8289526201 17.79554446 62595
3.75833 0.8401243479 18.00368775 64005
3.775 0.8324231831 18.21175625 63982
3.79167 0.8315048651 18.42143448 64477
3.80833 0.8435204047 18.63601671 65985
3.825 0.8466401858 18.85328182 66810
3.84167 0.8429280542 19.07148351 67098
3.85833 0.8509927739 19.29368839 68329
3.875 0.85482555 19.51882655 69231
3.89167 0.8552930037 19.74602973 69866
3.90833 0.8660506106 19.97806536 71352
3.925 0.8740316179 20.21424077 72625
3.94167 0.8669542001 20.45049747 72650
3.95833 0.8708392848 20.68982405 73594
3.975 0.878149065 20.9331961 74838
3.99167 0.8785111018 21.17871446 75498
4.00833 0.8824255967 21.42739049 76469
4.025 0.8869891419 21.67943559 77505
4.04167 0.8888597352 21.93410828 78313
4.05833 0.8984033435 22.19364269 79808
4.075 0.8982710109 22.45527464 80453
4.09167 0.8986868859 22.71917322 81150
4.10833 0.9013622662 22.98601809 82056
4.125 0.9126493731 23.2584011 83759
4.14167 0.9133713148 23.53320683 84504
4.15833 0.9231769314 23.81320273 86100
4.175 0.9308081075 24.09778068 87509
4.19167 0.9331922056 24.38536997 88435
4.20833 0.9445335847 24.67877381 90223
4.225 0.9428296693 24.97397274 90775
4.24167 0.9537469223 25.27495045 92552
4.25833 0.9527270086 25.57797366 93181
4.275 0.9612606262 25.88610898 94753
4.29167 0.9639960935 26.19753532 95765
4.30833 0.9738123355 26.51458109 97493
4.325 0.9651717511 26.83124962 97377
4.34167 0.9756867362 27.15384003 99198
4.35833 0.9845098163 27.48185149 100865
4.375 0.9773524249 27.80997351 100899
4.39167 0.9835892095 28.14271011 102318
4.40833 0.983960527 28.47810357 103135
4.425 0.9905193404 28.81829046 104609
4.44167 0.9986344018 29.16385289 106262
4.45833 0.9988306695 29.51208194 107082
4.475 0.9958206946 29.86186218 107559
4.49167 0.9974227006 30.21481962 108536
4.50833 1.000925942 30.57165017 109727
4.525 1.004830513 30.93252619 110971
4.54167 1.001514001 31.2948656 111421
4.55833 1.006080155 31.66153341 112752
4.575 1.006894934 32.03118654 113670
4.59167 1.010353522 32.40481684 114893
4.60833 1.012679452 32.78203083 115995
4.625 1.012076712 33.1617521 116766
4.64167 1.018917408 33.54680013 118404
4.65833 1.019935646 33.93500583 119375
4.675 1.018877533 34.32558873 120106
4.69167 1.02286248 34.72050003 121437
4.70833 1.023043828 35.11829258 122323
4.725 1.018862185 35.51726885 122687
4.74167 1.022242814 35.92039791 123964
4.75833 1.030693616 36.329722 125869
4.775 1.018819202 36.7371697 125292
4.79167 1.020982 37.14833767 126436
4.80833 1.025047068 37.56401939 127824
4.825 1.027924719 37.98376284 129073
4.84167 1.024173913 38.40486887 129492
4.85833 1.018706485 38.82661555 129689
4.875 1.02469537 39.25375726 131348
4.89167 1.024930606 39.68392332 132278
4.90833 1.029440962 40.11893159 133767
4.925 1.025313505 40.5551431 134137
4.94167 1.025690084 40.99447325 135096
4.95833 1.029130392 41.43825538 136465
4.975 1.029512782 41.88519192 137435
4.99167 1.02934626 42.33505526 138335
5.00833 1.028782181 42.78767953 139184
5.025 1.023951575 43.24118184 139454
5.04167 1.026230246 43.69871335 140693
5.05833 1.028021934 44.16007896 141872
5.075 1.025844748 44.62350632 142506
5.09167 1.021535676 45.0880231 142841
5.10833 1.027115499 45.5581398 144563
5.125 1.03145772 46.03332959 146123
5.14167 1.019058916 46.50586577 145307
5.15833 1.024817545 46.98415796 147077
5.175 1.022581724 47.46449564 147706
5.19167 1.021151374 47.94725606 148451
5.20833 1.022944366 48.43397414 149668
5.225 1.02736948 48.92593117 151279
5.24167 1.022088172 49.41848656 151463
5.25833 1.019414535 49.91288258 152029
5.275 1.020918659 50.41115171 153220
5.29167 1.019066426 50.91166471 153910
5.30833 1.023270587 51.4174134 155520
5.325 1.020830989 51.92512955 156125
5.34167 1.020039316 52.43563265 156982
5.35833 1.023441526 52.95103974 158490
5.375 1.02241811 53.46913948 159318
5.39167 1.02522086 53.9918863 160747
5.40833 1.023798894 54.5171404 161518
5.425 1.025272892 55.04639769 162749
5.44167 1.024079953 55.57829235 163560
5.45833 1.029982899 56.11653488 165512
5.475 1.025954474 56.65595138 165873
5.49167 1.027796215 57.19963122 167184
5.50833 1.032200009 57.74895977 168921
5.525 1.03380493 58.30247687 170209
5.54167 1.032528351 58.85865085 171026
5.55833 1.034903146 59.41946215 172452
5.575 1.030490361 59.98123605 172748
5.59167 1.030511613 60.5463855 173786
5.60833 1.035235971 61.11751535 175625
5.625 1.034759086 61.69178012 176589
5.64167 1.031549422 62.26766112 177086
5.65833 1.033959331 62.84830303 178550
5.675 1.038597154 63.43499038 180409
5.69167 1.035287827 64.02324844 180892
5.70833 1.035709178 64.6151975 182027
5.725 1.036289098 65.21094163 183194
5.74167 1.035393851 65.80964181 184103
5.75833 1.037757018 66.41319721 185596
5.775 1.038613611 67.02075254 186826
5.79167 1.031727051 67.62776805 186660
5.80833 1.034145969 68.23971357 188176
5.825 1.034946651 68.85565252 189404
5.84167 1.03791091 69.47689546 191035
5.85833 1.034217812 70.09946521 191443
5.875 1.031849787 70.72414875 192093
5.89167 1.034993472 71.35429563 193773
5.90833 1.034516204 71.9877205 194781
5.925 1.03300334 72.6237925 195595
5.94167 1.035529743 73.26501238 197178
5.95833 1.034188948 73.90899971 198029
5.975 1.031242243 74.55474961 198571
5.99167 1.033068748 75.20525716 200034
6.00833 1.038007422 75.86251583 202110
6.025 1.038922527 76.52400859 203412
6.04167 1.036215578 77.18743303 204006
6.05833 1.035477553 77.85404766 204987
6.075 1.038504855 78.52629474 206719
6.09167 1.035742822 79.20043772 207302
6.10833 1.036637759 79.87886031 208618
6.125 1.037048018 80.56126008 209841
6.14167 1.036229404 81.24683704 210818
6.15833 1.036587516 81.93637817 212037
6.175 1.035662456 82.62903795 212996
6.19167 1.036720006 83.32615295 214366
6.20833 1.043898829 84.03187921 217014
6.225 1.034986442 84.73534208 216318
6.24167 1.035129788 85.44267482 217508
6.25833 1.03647823 86.15471644 218956
6.275 1.038861908 86.87220187 220630
6.29167 1.039121567 87.59368399 221859
6.30833 1.039336029 88.3191433 223082
6.325 1.040335566 89.04914237 224478
6.34167 1.035022024 89.77924551 224510
6.35833 1.040760813 90.51726072 226943
6.375 1.035298671 91.25525643 226937
6.39167 1.033509907 91.99583421 227731
6.40833 1.030258439 92.73793717 228200
6.425 1.033871535 93.48652134 230193
6.44167 1.032241544 94.2378079 231024
6.45833 1.02866764 94.9903725 231417
6.475 1.03653058 95.7526085 234391
6.49167 1.028650112 96.51294859 233808
6.50833 1.031617334 97.27940242 235688
6.525 1.034688916 98.05208054 237602
6.54167 1.029544646 98.82484972 237630
6.55833 1.029879166 99.60181396 238920
6.575 1.031106279 100.3836627 240422
6.59167 1.028872834 101.167778 241119
6.60833 1.028325778 101.9554446 242211
6.625 1.030263501 102.7485809 243893
6.64167 1.029760488 103.5453237 245002
6.65833 1.027790057 104.344538 245762
6.675 1.025967923 105.1463344 246556
6.69167 1.020205277 105.9476138 246397
6.70833 1.02455631 106.7563239 248682
6.725 1.023407528 107.5681462 249639
6.74167 1.026083958 108.3861309 251534
6.75833 1.027560636 109.2093482 253143
6.775 1.024155189 110.0338889 253550
6.79167 1.019251394 110.858524 253579
6.80833 1.021894924 111.6893606 255486
6.825 1.019978889 112.5227045 256257
6.84167 1.020901437 113.3608809 257743
6.85833 1.021333918 114.2035027 259110
6.875 1.018380688 115.0477765 259618
6.89167 1.017684747 115.895569 260700
6.90833 1.016097913 116.7461387 261554
6.925 1.016142206 117.6008546 262829
6.94167 1.013042389 118.4570697 263290
6.95833 1.01725524 119.320979 265656
6.975 1.014548986 120.1867225 266220
6.99167 1.01091254 121.0534903 266535
7.00833 1.013002857 121.9261962 268361
7.025 1.014524745 122.8043752 270044
7.04167 1.012263072 123.6847591 270722
7.05833 1.009363885 124.5667819 271226
7.075 1.011566304 125.4549088 273103
7.09167 1.009338799 126.34526 273787
7.10833 1.007498978 127.2381705 274574
7.125 1.008159738 128.1358614 276044
7.14167 1.00634964 129.0361377 276839
7.15833 1.004733599 129.9391684 277686
7.175 1.007699134 130.8490868 279804
7.19167 1.005116622 131.7608946 280385
7.20833 1.005726472 132.6774893 281857
7.225 1.001958429 133.5948775 282101
7.24167 0.9994906738 134.5142331 282706
7.25833 1.003306251 135.4413513 285093
7.275 1.002315674 136.3718124 286121
7.29167 1.000389111 137.3047451 286881
7.30833 1.004881049 138.2461557 289488
7.325 1.001035606 139.188246 289697
7.34167 0.9991960019 140.1328891 290482
7.35833 0.9988968261 141.0815419 291715
7.375 0.9974277576 142.0330955 292607
7.39167 0.9989615395 142.9904245 294383
7.40833 0.9955697331 143.9488105 294708
7.425 0.9968392307 144.9127411 296413
7.44167 0.9979434182 145.8820765 298075
7.45833 0.9980245539 146.8558379 299436
7.475 0.9966284142 147.8325878 300355
7.49167 0.998079051 148.8151263 302135
7.50833 0.999023551 149.8029752 303768
7.525 0.9943116945 150.7905348 303679
7.54167 0.99619359 151.7843511 305603
7.55833 0.9912176611 152.7775789 305422
7.575 0.9933584861 153.7773463 307433
7.59167 0.9936244385 154.7817869 308870
7.60833 0.9923027087 155.7893006 309815
7.625 0.9908746053 156.7997769 310726
7.64167 0.9936246402 157.8174921 312952
7.65833 0.9901896765 158.8361178 313232
7.675 0.9916128346 159.8606524 315049
7.69167 0.993142861 160.8912292 316907
7.70833 0.9928749326 161.9259978 318196
7.725 0.9890240547 162.9612152 318334
7.74167 0.9880957203 163.9999285 319409
7.75833 0.9936901649 165.0490253 322602
7.775 0.9870238424 166.0955661 321816
7.79167 0.988541092 167.1482141 323694
7.80833 0.9891697471 168.2060425 325287
7.825 0.9909710486 169.2703261 327272
7.84167 0.9861480262 170.3339463 327068
7.85833 0.9910214951 171.4073713 330083
7.875 0.9926190892 172.4870921 332019
7.89167 0.9877848136 173.5661072 331802
7.90833 0.9888847418 174.6508913 333576
7.925 0.9879002612 175.739168 334650
7.94167 0.9884851055 176.832674 336258
7.95833 0.9900751124 177.9325408 338214
7.975 0.9868186503 179.0333865 338515
7.99167 0.9869278647 180.1389606 339969
8.00833 0.9857267072 181.2477996 340973
8.025 0.9857534272 182.361289 342403
8.04167 0.9857657236 183.4794223 343831
8.05833 0.9895697022 184.6065277 346590
8.075 0.9865325307 185.7348266 346957
8.09167 0.987145011 186.8684914 348607
8.10833 0.9859787698 188.0054861 349631
8.125 0.98864738 189.1502498 352020
8.14167 0.9865253847 190.2972477 352707
8.15833 0.9868108567 191.4492796 354255
8.175 0.9878903342 192.6072887 356093
8.19167 0.9832611458 193.7645758 355871
8.20833 0.9869221604 194.9309035 358651
8.225 0.9854314574 196.1002034 359565
8.24167 0.9843732674 197.2729862 360636
8.25833 0.9831579086 198.4490633 361649
8.275 0.9874895137 199.6350948 364710
8.29167 0.9878303724 200.8263196 366307
8.30833 0.9862642921 202.020442 367198
8.325 0.9847242233 203.2174879 368097
8.34167 0.9857598154 204.4205955 369961
8.35833 0.9871322911 205.6301973 371958
8.375 0.9865246947 206.8438803 373213
8.39167 0.9864591306 208.0623178 374675
8.40833 0.9860506651 209.2850934 376009
8.425 0.99009386 210.517755 379049
8.44167 0.9856496086 211.7497435 378842
8.45833 0.9859906571 212.9870295 380471
8.475 0.9876507801 214.2312877 382615
8.49167 0.988614062 215.4816629 384496
8.50833 0.9869447477 216.7348315 385355
8.525 0.9864876007 217.9923318 386687
8.54167 0.9868193516 219.2551784 388331
8.55833 0.9829973115 220.5180477 388338
8.575 0.9860886593 221.7898275 391078
8.59167 0.9866243968 223.0672494 392813
8.60833 0.9843714061 224.3467039 393438
8.625 0.9872327024 225.6348509 396111
8.64167 0.9835847528 226.9232027 396174
8.65833 0.9884305949 228.2229008 399663
8.675 0.9851462192 229.523272 399870
8.69167 0.9886951304 230.8333472 402854
8.70833 0.9888651383 232.1486775 404470
8.725 0.9885784992 233.4686647 405902
8.74167 0.9876584608 234.7924665 407075
8.75833 0.9879274265 236.1216828 408740
8.775 0.9903590914 237.4592469 411307
8.79167 0.9862695171 238.7963526 411166
8.80833 0.9852434026 240.1371362 412297
8.825 0.9907290127 241.490492 416163
8.84167 0.987547683 242.8446023 416395
8.85833 0.9900632973 244.2072848 419031
8.875 0.9909524296 245.5763282 420987
8.89167 0.9890936013 246.9479406 421777
8.90833 0.9893934625 248.3251172 423488
8.925 0.9896516014 249.7078124 425185
8.94167 0.9885095967 251.094075 426282
8.95833 0.9915462352 252.4897847 429187
8.975 0.9924658632 253.8919918 431185
8.99167 0.9920532804 255.2988265 432608
9.00833 0.9946390686 256.7145619 435345
9.025 0.9908800429 258.1301705 435306
9.04167 0.9907728562 259.5508586 436868
9.05833 0.992340863 260.9790458 439174
9.075 0.992132436 262.4121923 440699
9.09167 0.9911652103 263.8492055 441888
9.10833 0.9926522488 265.2936559 444175
9.125 0.9932177935 266.7442233 446056
9.14167 0.9918247278 268.1980524 447059
9.15833 0.9937421034 269.6600082 449558
9.175 0.9925423505 271.1255185 450651
9.19167 0.9918099875 272.5952726 451956
9.20833 0.9950384417 274.0751631 455073
9.225 0.9916074694 275.5552943 455147
9.24167 0.9922172489 277.0416921 457074
9.25833 0.9944427858 278.5368019 459753
9.275 0.9917169284 280.0331865 460145
9.29167 0.9942226424 281.5387482 462967
9.30833 0.9914315542 283.0454741 463325
9.325 0.9945815012 284.5624048 466463
9.34167 0.9948833657 286.0852248 468274
9.35833 0.9912751148 287.6079407 468242
9.375 0.9961473917 289.1435963 472221
9.39167 0.9942019781 290.6817071 472976
9.40833 0.998855706 292.2325072 476878
9.425 0.9966306664 293.7853397 477503
9.44167 0.998275225 295.3462405 479984
9.45833 0.9953156013 296.9080127 480252
9.475 0.9984753413 298.4802694 483476
9.49167 0.9998101752 300.0601715 485827
9.50833 0.9976288977 301.6421678 486471
9.525 0.9969608239 303.2286519 487851
9.54167 0.9964012941 304.8197994 489285
9.55833 0.995553463 306.4151516 490578
9.575 0.9972131308 308.0187412 493111
9.59167 0.998182162 309.6294818 495310
9.60833 0.9979576046 311.2454614 496921
9.625 0.9976745792 312.8665922 498505
9.64167 0.9971861088 314.4925456 499988
9.65833 0.9999645732 316.1286713 503116
9.675 0.9981207835 317.7674213 503923
9.69167 0.9978766842 319.41142 505537
9.70833 0.9991725679 321.0632202 507936
9.725 0.9989128504 322.7202659 509549
9.74167 0.9979398722 324.3813765 510799
9.75833 1.003486318 326.0574398 515397
9.775 0.9995880133 327.7326998 515150
9.79167 0.9989069556 329.4125322 516556
9.80833 0.9990919979 331.0984002 518412
9.825 0.9997041111 332.7910388 520494
9.84167 1.000551366 334.4908644 522704
9.85833 0.999719838 336.1950345 524040
9.875 1.002475938 337.9096859 527263
9.89167 1.000140891 339.6261225 527812
9.90833 0.9988016724 341.3460421 528883
9.925 1.00348123 343.0798379 533150
9.94167 1.000905476 344.8149962 533569
9.95833 1.002086128 346.5580309 535991
9.975 1.001021012 348.3050459 537215
9.99167 1.001404132 350.0585748 539218
10.0083 1.003141459 351.8210107 541957
10.025 1.000613104 353.5848646 542393
10.0417 1.004724483 355.3618597 546434
10.0583 1.002253411 357.1403736 546901
10.075 1.002308331 358.924884 548745
10.0917 1.002756115 360.7161033 550808
10.1083 1.000041863 362.5083796 551133
10.125 1.002271953 364.3105808 554185
10.1417 1.002886682 366.1198291 556352
10.1583 1.004338231 367.9376562 558990
10.175 1.004324331 369.7614279 560818
10.1917 1.0031592 371.5890564 562004
10.2083 1.003318223 373.422958 563933
10.225 1.004655476 375.2653051 566530
10.2417 1.001595114 377.1080326 566647
10.2583 1.005328893 378.9636542 570612
10.275 1.005006384 380.8247131 572284
10.2917 1.002175797 382.6865558 572525
10.3083 1.005763383 384.5611202 576437
10.325 1.005799053 386.4418179 578323
10.3417 1.004636577 388.3264115 579521
10.3583 1.004509706 390.2168456 581317
10.375 1.002897165 392.1103236 582253
10.3917 1.001549047 394.0073365 583340
10.4083 1.009386223 395.9253312 589792
10.425 1.003725239 397.838682 588364
10.4417 1.002860078 399.7565011 589738
10.4583 1.006183927 401.6868241 593583
10.475 1.004503669 403.6200706 594482
10.4917 1.003339358 405.557226 595684
10.5083 1.006578058 407.5068137 599507
10.525 1.006092359 409.4616469 601120
10.5417 1.004730452 411.4200215 602209
10.5583 1.007258893 413.3895374 605635
10.575 1.008783276 415.3682662 608468
10.5917 1.006888537 417.3495087 609241
10.6083 1.007373121 419.3379479 611454
10.625 1.005212114 421.328361 612061
10.6417 1.005386153 423.3253692 614089
10.6583 1.00538282 425.328631 616012
10.675 1.00564306 427.3386828 618100
10.6917 1.002961112 429.3496388 618378
10.7083 1.005439115 431.3718531 621840
10.725 1.00578535 433.4010657 623992
10.7417 1.006352771 435.4377383 626286
10.7583 1.005018424 437.4780272 627398
10.775 1.005139123 439.5248883 629419
