# /home/jramos/Programacion/hmeyer/yasp_cJ/bin/rdf_all.x VERSION2.2 28JAN2003 HM
# weed=1 maxmean=99999 #frames=51 #particles=4820
# norm=5.80424e-05 norm2=nfr*nmol=0.0196078 ns*(ns-1)=23227580//1184606580
0.1 0 0 0
0.3 0.001036472034 8.137722821e-06 1
0.5 0.0003818581178 1.627544564e-05 1
0.7 0.000784357215 4.882633693e-05 4
0.9 0.000475757655 8.137722821e-05 4
1.1 0.00039864309 0.0001220658423 5
1.3 0.0002285135193 0.0001546167336 4
1.5 0.001674300978 0.0004719879236 39
1.7 0.01206988401 0.003409705862 361
1.9 0.2894089993 0.09137848956 10810
2.1 0.8920955505 0.4225756707 40699
2.3 1.514457952 1.096940623 82869
2.5 1.520024912 1.896536992 98258
2.7 1.33776138 2.71729144 100858
2.9 1.130240723 3.517213318 98298
3.1 1.196430864 4.484756011 118896
3.3 0.8767551189 5.288185247 98729
3.5 0.7210461879 6.031419748 91332
3.7 0.8430564621 7.002543038 119336
3.9 0.9096917923 8.166741941 143062
4.1 0.9092720106 9.452786967 158035
4.3 0.9404066946 10.9157705 179778
4.5 0.9830149142 12.59057896 205808
4.7 1.017209417 14.48109404 232315
4.9 1.03361296 16.56903841 256576
5.1 1.02716663 18.8167751 276212
5.3 1.013442383 21.21180458 294312
5.5 1.010658445 23.78389463 316070
5.7 1.00890409 26.54163056 338883
5.9 1.007092359 29.49096102 362427
6.1 1.006035927 32.64030858 387006
6.3 1.013795335 36.02544666 415981
6.5 1.014316259 39.63075896 443037
6.7 1.012831421 43.45572468 470029
6.9 1.009696168 47.49987997 496964
7.1 1.008207132 51.77554533 525413
7.3 1.005439589 56.28306255 553904
7.5 1.00294306 61.02912084 583217
7.7 1.001514235 66.02453523 613859
7.9 1.002935377 71.2902685 647077
8.1 0.9972187888 76.79442891 676376
8.3 0.9947896904 82.55966375 708458
8.5 0.9979089244 88.62503408 745340
8.7 0.9935753833 94.95158462 777435
8.9 0.9951050936 101.5825348 814841
9.1 0.995038518 108.5143773 851816
9.3 0.9968264595 115.7672611 891267
9.5 0.9973497701 123.3394122 930500
9.7 0.9986380877 131.2439323 971343
9.9 0.9990053537 139.4807889 1012182
10.1 0.9995980953 148.0588846 1054115
10.3 1.000447825 156.9876429 1097206
10.5 1.002916612 166.2894018 1143042
10.7 1.002408955 175.9439881 1186399
10.9 1.001258039 185.9513527 1229750
11.1 1.00201318 196.3371459 1276253
11.3 1.001869106 207.0990157 1322467
11.5 1.001176394 218.2374913 1368746
11.7 1.002368298 229.7804768 1418454
11.9 1.000123982 241.6947215 1464076
12.1 1.001539878 254.0302398 1515844
12.3 1.001567032 266.7772502 1566410
12.5 1.000922432 279.9336857 1616722
12.7 0.999836342 293.4997498 1667059
12.9 1.000294917 307.5028665 1720766
13.1 0.9984411364 321.9167836 1771247
13.3 0.9996794253 336.7925979 1828007
13.5 0.998492602 352.1009647 1881161
13.7 1.001126843 367.9078566 1942422
13.9 1.000762851 384.1737078 1998821
14.1 0.9998316251 400.8954262 2054840
14.3 0.9995592487 418.0901904 2112970
14.5 0.9994863686 435.7679935 2172328
14.7 0.9996964945 453.9406353 2233136
14.9 0.9987291642 472.593061 2292094
15.1 1.000338913 491.7804524 2357833
15.3 1.000440212 511.4814724 2420950
15.5 1.000902217 531.7102482 2485803
15.7 1.001191562 552.4704173 2551103
15.9 1.001460806 573.7685957 2617216
16.1 1.000832665 595.5922431 2681788
16.3 1.000692761 617.9583267 2748445
16.5 0.9996596885 640.8529717 2813397
16.7 0.9997002441 664.3069468 2882130
16.9 1.001639442 688.3726426 2957301
17.1 1.000260354 712.9773812 3023541
17.3 1.000162775 738.1585717 3094378
17.5 0.9996649352 763.9125195 3164761
17.7 1.000175354 790.2719383 3239164
17.9 1.00084161 817.2483674 3314985
18.1 1.000777255 844.8292095 3389258
18.3 1.000428953 873.0131221 3463366
18.5 0.9994326446 901.7877519 3535956
18.7 0.9999365036 931.2027147 3614643
18.9 0.9994218825 961.2347692 3690474
19.1 1.00050489 991.9390159 3773076
19.3 1.000098384 1023.276906 3850941
19.5 0.9999085832 1055.261575 3930420
19.7 1.000618548 1087.928876 4014305
19.9 1.000766391 1121.26776 4096832

