# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
       1            2.383                1.000            2.383          998499
       2            3.338                1.401            6.676          996498
       3            4.706                1.975           14.117          994497
       4            5.863                2.461           23.452          992496
       5            7.003                2.939           35.015          990495
       6            8.035                3.372           48.209          988494
       7            9.007                3.780           63.050          986493
       8            9.902                4.156           79.217          984492
       9           10.737                4.506           96.629          982491
      10           11.509                4.830          115.087          980490
      11           12.227                5.132          134.492          978489
      12           12.892                5.411          154.709          976488
      13           13.511                5.671          175.646          974487
      14           14.086                5.912          197.202          972486
      15           14.620                6.136          219.296          970485
      16           15.116                6.344          241.854          968484
      17           15.577                6.538          264.809          966483
      18           16.006                6.718          288.107          964482
      19           16.405                6.885          311.693          962481
      20           16.776                7.041          335.523          960480
      21           17.122                7.186          359.558          958479
      22           17.444                7.321          383.759          956478
      23           17.743                7.447          408.096          954477
      24           18.022                7.564          432.535          952476
      25           18.282                7.673          457.054          950475
      26           18.524                7.775          481.629          948474
      27           18.750                7.869          506.240          946473
      28           18.960                7.958          530.872          944472
      29           19.156                8.040          555.510          942471
      30           19.338                8.116          580.137          940470
      31           19.508                8.188          604.743          938469
      32           19.666                8.254          629.317          936468
      33           19.814                8.316          653.850          934467
      34           19.951                8.374          678.329          932466
      35           20.079                8.427          702.752          930465
      36           20.197                8.477          727.106          928464
      37           20.308                8.523          751.389          926463
      38           20.410                8.566          775.596          924462
      39           20.506                8.606          799.719          922461
      40           20.594                8.644          823.759          920460
      41           20.676                8.678          847.710          918459
      42           20.752                8.710          871.575          916458
      43           20.822                8.739          895.346          914457
      44           20.887                8.766          919.022          912456
      45           20.947                8.792          942.598          910455
      46           21.002                8.815          966.078          908454
      47           21.052                8.836          989.457          906453
      48           21.099                8.855         1012.738          904452
      49           21.141                8.873         1035.920          902451
      50           21.180                8.889         1059.000          900450
      51           21.215                8.904         1081.987          898449
      52           21.248                8.918         1104.881          896448
      53           21.277                8.930         1127.676          894447
      54           21.303                8.941         1150.379          892446
      55           21.327                8.951         1172.984          890445
      56           21.348                8.960         1195.496          888444
      57           21.367                8.968         1217.911          886443
      58           21.383                8.975         1240.235          884442
      59           21.398                8.981         1262.456          882441
      60           21.410                8.986         1284.587          880440
      61           21.420                8.990         1306.617          878439
      62           21.428                8.994         1328.551          876438
      63           21.435                8.996         1350.387          874437
      64           21.439                8.998         1372.123          872436
      65           21.442                9.000         1393.757          870435
      66           21.444                9.000         1415.297          868434
      67           21.444                9.000         1436.732          866433
      68           21.442                9.000         1458.073          864432
      69           21.439                8.998         1479.320          862431
      70           21.435                8.997         1500.478          860430
      71           21.430                8.994         1521.542          858429
      72           21.424                8.992         1542.521          856428
      73           21.417                8.989         1563.422          854427
      74           21.409                8.985         1584.242          852426
      75           21.400                8.982         1604.985          850425
      76           21.390                8.978         1625.652          848424
      77           21.380                8.973         1646.245          846423
      78           21.369                8.969         1666.764          844422
      79           21.357                8.964         1687.213          842421
      80           21.345                8.959         1707.584          840420
      81           21.332                8.953         1727.882          838419
      82           21.318                8.948         1748.101          836418
      83           21.304                8.942         1768.250          834417
      84           21.290                8.935         1788.321          832416
      85           21.274                8.929         1808.315          830415
      86           21.259                8.922         1828.233          828414
      87           21.242                8.916         1848.080          826413
      88           21.226                8.909         1867.853          824412
      89           21.209                8.901         1887.557          822411
      90           21.191                8.894         1907.198          820410
      91           21.173                8.887         1926.773          818409
      92           21.155                8.879         1946.283          816408
      93           21.137                8.871         1965.722          814407
      94           21.118                8.863         1985.097          812406
      95           21.099                8.855         2004.408          810405
      96           21.080                8.847         2023.655          808404
      97           21.060                8.839         2042.846          806403
      98           21.041                8.831         2061.978          804402
      99           21.021                8.823         2081.060          802401
     100           21.001                8.814         2100.089          800400
     101           20.981                8.806         2119.071          798399
     102           20.961                8.798         2138.019          796398
     103           20.941                8.789         2156.924          794397
     104           20.921                8.781         2175.799          792396
     105           20.901                8.772         2194.634          790395
     106           20.881                8.764         2213.438          788394
     107           20.862                8.756         2232.208          786393
     108           20.842                8.748         2250.957          784392
     109           20.823                8.740         2269.681          782391
     110           20.803                8.731         2288.375          780390
     111           20.784                8.723         2307.035          778389
     112           20.765                8.715         2325.668          776388
     113           20.746                8.707         2344.272          774387
     114           20.727                8.699         2362.848          772386
     115           20.708                8.691         2381.389          770385
     116           20.689                8.683         2399.897          768384
     117           20.670                8.675         2418.381          766383
     118           20.651                8.668         2436.833          764382
     119           20.632                8.660         2455.265          762381
     120           20.614                8.652         2473.679          760380
     121           20.596                8.644         2492.074          758379
     122           20.577                8.637         2510.453          756378
     123           20.559                8.629         2528.813          754377
     124           20.542                8.621         2547.146          752376
     125           20.524                8.614         2565.463          750375
     126           20.506                8.607         2583.759          748374
     127           20.488                8.599         2602.022          746373
     128           20.471                8.592         2620.256          744372
     129           20.453                8.584         2638.453          742371
     130           20.436                8.577         2656.623          740370
     131           20.418                8.570         2674.758          738369
     132           20.400                8.562         2692.862          736368
     133           20.383                8.555         2710.923          734367
     134           20.365                8.548         2728.952          732366
     135           20.348                8.540         2746.943          730365
     136           20.330                8.533         2764.903          728364
     137           20.313                8.525         2782.830          726363
     138           20.295                8.518         2800.723          724362
     139           20.278                8.511         2818.583          722361
     140           20.260                8.503         2836.406          720360
     141           20.243                8.496         2854.207          718359
     142           20.225                8.489         2871.971          716358
     143           20.208                8.481         2889.718          714357
     144           20.190                8.474         2907.430          712356
     145           20.173                8.467         2925.111          710355
     146           20.156                8.460         2942.756          708354
     147           20.139                8.452         2960.380          706353
     148           20.121                8.445         2977.974          704352
     149           20.104                8.438         2995.548          702351
     150           20.087                8.431         3013.097          700350
     151           20.070                8.424         3030.616          698349
     152           20.053                8.417         3048.116          696348
     153           20.037                8.410         3065.594          694347
     154           20.020                8.403         3083.042          692346
     155           20.003                8.395         3100.467          690345
     156           19.986                8.388         3117.868          688344
     157           19.970                8.382         3135.245          686343
     158           19.953                8.375         3152.592          684342
     159           19.937                8.368         3169.916          682341
     160           19.920                8.361         3187.217          680340
     161           19.904                8.354         3204.506          678339
     162           19.887                8.347         3221.775          676338
     163           19.871                8.340         3239.031          674337
     164           19.855                8.333         3256.270          672336
     165           19.839                8.327         3273.490          670335
     166           19.823                8.320         3290.690          668334
     167           19.808                8.313         3307.865          666333
     168           19.792                8.307         3325.020          664332
     169           19.776                8.300         3342.157          662331
     170           19.760                8.294         3359.264          660330
     171           19.745                8.287         3376.359          658329
     172           19.729                8.281         3393.412          656328
     173           19.714                8.274         3410.450          654327
     174           19.698                8.267         3427.453          652326
     175           19.682                8.261         3444.432          650325
     176           19.667                8.254         3461.375          648324
     177           19.651                8.248         3478.294          646323
     178           19.636                8.241         3495.178          644322
     179           19.620                8.235         3512.037          642321
     180           19.605                8.228         3528.866          640320
     181           19.589                8.222         3545.670          638319
     182           19.574                8.215         3562.435          636318
     183           19.558                8.209         3579.179          634317
     184           19.543                8.202         3595.893          632316
     185           19.528                8.196         3612.589          630315
     186           19.512                8.189         3629.263          628314
     187           19.497                8.183         3645.919          626313
     188           19.482                8.177         3662.539          624312
     189           19.466                8.170         3679.148          622311
     190           19.451                8.164         3695.751          620310
     191           19.436                8.158         3712.339          618309
     192           19.421                8.151         3728.899          616308
     193           19.406                8.145         3745.451          614307
     194           19.392                8.139         3761.983          612306
     195           19.377                8.133         3778.519          610305
     196           19.363                8.127         3795.066          608304
     197           19.348                8.121         3811.609          606303
     198           19.334                8.115         3828.149          604302
     199           19.320                8.109         3844.694          602301
     200           19.306                8.103         3861.234          600300
     201           19.292                8.097         3877.779          598299
     202           19.279                8.092         3894.307          596298
     203           19.265                8.086         3910.832          594297
     204           19.252                8.080         3927.348          592296
     205           19.238                8.075         3943.854          590295
     206           19.225                8.069         3960.342          588294
     207           19.212                8.063         3976.822          586293
     208           19.198                8.058         3993.286          584292
     209           19.185                8.052         4009.749          582291
     210           19.172                8.047         4026.198          580290
     211           19.159                8.041         4042.639          578289
     212           19.147                8.036         4059.076          576288
     213           19.134                8.031         4075.501          574287
     214           19.121                8.025         4091.919          572286
