#  Number of backbone atoms:500.0, calc_distances:True, lavg :1.5413478552416318
#  iFrame          Time(ps)     <Ree^2>/nl^2     6.0*<Rg^2>/nl^2      Cn_formula
#===============================================================================
         0          0.000         8.61         7.89          0.00
         1          1.000         4.67         6.28          0.00
         2          2.000         3.16         2.37          0.00
         3          3.000         7.38         8.20          0.00
         4          4.000        10.61         8.04          0.00
         5          5.000        23.85        16.51          0.00
         6          6.000         0.10         3.21          0.00
         7          7.000        39.31        17.29          0.00
         8          8.000        11.12         8.80          0.00
         9          9.000         4.95         6.42          0.00
        10         10.000        18.73        11.61          0.00
        11         11.000        12.61         7.84          0.00
        12         12.000         0.51         4.76          0.00
        13         13.000        19.82        12.81          0.00
        14         14.000         8.76         6.46          0.00
        15         15.000         5.09         8.45          0.00
        16         16.000        14.35        14.29          0.00
        17         17.000         6.11        10.48          0.00
        18         18.000         3.51         5.39          0.00
        19         19.000         9.92         7.67          0.00
        20         20.000         0.89         4.82          0.00
        21         21.000         1.66         4.87          0.00
        22         22.000         2.23         7.09          0.00
        23         23.000         4.29         4.95          0.00
        24         24.000         6.80         4.91          0.00
        25         25.000        15.73        20.97          0.00
        26         26.000        11.70         6.24          0.00
        27         27.000         2.61         5.35          0.00
        28         28.000         1.35         2.94          0.00
        29         29.000         9.50         9.92          0.00
        30         30.000         3.51         4.84          0.00
        31         31.000         1.85         6.36          0.00
        32         32.000         6.85         8.26          0.00
        33         33.000         5.60         7.80          0.00
        34         34.000        17.48        14.17          0.00
        35         35.000         6.22         6.45          0.00
        36         36.000         4.98         7.58          0.00
        37         37.000         9.42         8.08          0.00
        38         38.000         0.95         4.20          0.00
        39         39.000         8.33        13.54          0.00
        40         40.000         3.06         7.26          0.00
        41         41.000        17.88        18.50          0.00
        42         42.000         4.90         7.52          0.00
        43         43.000         5.43         8.82          0.00
        44         44.000         1.00         2.73          0.00
        45         45.000         1.02         5.42          0.00
        46         46.000         7.10         4.97          0.00
        47         47.000         1.42         4.36          0.00
        48         48.000         4.57         5.72          0.00
        49         49.000         9.30        14.73          0.00
        50         50.000        13.34        10.74          0.00
        51         51.000         3.48         5.37          0.00
        52         52.000         0.49         6.96          0.00
        53         53.000        11.80        17.37          0.00
        54         54.000        19.38        10.07          0.00
        55         55.000         2.39         4.94          0.00
        56         56.000         3.97         6.17          0.00
        57         57.000         4.21         3.72          0.00
        58         58.000         1.47        10.95          0.00
        59         59.000        10.84         8.30          0.00
        60         60.000         8.73         6.34          0.00
        61         61.000         9.04        16.47          0.00
        62         62.000         9.63         9.74          0.00
        63         63.000        20.68        16.31          0.00
        64         64.000         6.60         8.85          0.00
        65         65.000         8.72         6.50          0.00
        66         66.000         6.23         9.06          0.00
        67         67.000         9.72        10.12          0.00
        68         68.000         6.95         5.55          0.00
        69         69.000        16.09         8.26          0.00
        70         70.000         5.39         5.08          0.00
        71         71.000        11.01         6.33          0.00
        72         72.000         1.83         8.24          0.00
        73         73.000        23.93        16.39          0.00
        74         74.000        54.04        31.55          0.00
        75         75.000         5.00         3.69          0.00
        76         76.000         3.41         5.29          0.00
        77         77.000         0.40         4.56          0.00
        78         78.000         9.00         9.61          0.00
        79         79.000        14.54        10.96          0.00
        80         80.000         4.92         2.77          0.00
        81         81.000        17.12        10.82          0.00
        82         82.000         8.24         4.88          0.00
        83         83.000         0.35         5.55          0.00
        84         84.000        12.27        13.14          0.00
        85         85.000         6.13         4.77          0.00
        86         86.000         2.97         8.79          0.00
        87         87.000        12.14         9.68          0.00
        88         88.000         9.39        14.61          0.00
        89         89.000         9.79        15.33          0.00
        90         90.000         3.00         4.47          0.00
        91         91.000         4.50         5.73          0.00
        92         92.000        13.28         7.45          0.00
        93         93.000         1.13         4.52          0.00
        94         94.000         5.77         7.08          0.00
        95         95.000         8.30         9.65          0.00
        96         96.000         7.15        10.12          0.00
        97         97.000         1.27         5.31          0.00
        98         98.000        12.38         7.55          0.00
        99         99.000        15.83        11.18          0.00
       100        100.000         6.67         8.16          0.00
       101        101.000         2.82         9.17          0.00
       102        102.000         2.52         4.01          0.00
       103        103.000        38.43        22.55          0.00
       104        104.000         1.53         6.34          0.00
       105        105.000         3.23         9.07          0.00
       106        106.000         8.80         7.67          0.00
       107        107.000         7.74        10.52          0.00
       108        108.000         3.04         5.43          0.00
       109        109.000        12.34        11.78          0.00
       110        110.000        22.19        17.98          0.00
       111        111.000         4.45         4.45          0.00
       112        112.000        14.80        17.31          0.00
       113        113.000        11.03        11.53          0.00
       114        114.000        10.40         6.41          0.00
       115        115.000         2.37        14.37          0.00
       116        116.000        12.84         8.55          0.00
       117        117.000        10.75        16.29          0.00
       118        118.000         6.36         9.51          0.00
       119        119.000        18.79        14.43          0.00
       120        120.000         8.41         5.65          0.00
       121        121.000         4.82         6.26          0.00
       122        122.000         1.27         5.61          0.00
       123        123.000        10.25        18.91          0.00
       124        124.000        14.99        18.34          0.00
       125        125.000         0.83         6.58          0.00
       126        126.000        13.36        16.97          0.00
       127        127.000         1.05         8.53          0.00
       128        128.000        13.70        13.42          0.00
       129        129.000         7.47        10.80          0.00
       130        130.000         1.69         8.18          0.00
       131        131.000        11.13         5.04          0.00
       132        132.000         2.35         4.91          0.00
       133        133.000         9.17         3.93          0.00
       134        134.000        15.59        10.12          0.00
       135        135.000        20.00        20.78          0.00
       136        136.000        14.30        14.17          0.00
       137        137.000         4.49         5.21          0.00
       138        138.000         8.00         8.68          0.00
       139        139.000         9.25        15.16          0.00
       140        140.000         2.23         4.47          0.00
       141        141.000        13.79         8.00          0.00
       142        142.000         6.63         3.93          0.00
       143        143.000        10.39        10.83          0.00
       144        144.000         4.97         4.23          0.00
       145        145.000        16.23        15.83          0.00
       146        146.000        13.00         9.19          0.00
       147        147.000         3.66         7.99          0.00
       148        148.000        20.62        10.64          0.00
       149        149.000         8.49         9.72          0.00
       150        150.000         2.93         4.05          0.00
       151        151.000         3.12         4.71          0.00
       152        152.000         2.53         3.55          0.00
       153        153.000         1.47         2.38          0.00
       154        154.000         9.83         8.16          0.00
       155        155.000        24.08        18.12          0.00
       156        156.000         2.27         3.53          0.00
       157        157.000         8.43         3.35          0.00
       158        158.000        12.13        11.76          0.00
       159        159.000         9.44         7.76          0.00
       160        160.000        25.13        15.15          0.00
       161        161.000         6.34         4.77          0.00
       162        162.000        16.79         9.13          0.00
       163        163.000         6.14        12.76          0.00
       164        164.000         7.51         7.07          0.00
       165        165.000         7.88        10.45          0.00
       166        166.000        12.51        15.38          0.00
       167        167.000         5.15         7.00          0.00
       168        168.000         4.85         6.95          0.00
       169        169.000         6.86         9.62          0.00
       170        170.000        11.92        10.18          0.00
       171        171.000         1.11         3.05          0.00
       172        172.000         0.67         2.96          0.00
       173        173.000         0.55         3.24          0.00
       174        174.000        12.88        10.88          0.00
       175        175.000         9.44         8.16          0.00
       176        176.000        23.78        12.63          0.00
       177        177.000        15.42        16.84          0.00
       178        178.000         6.07         6.25          0.00
       179        179.000        23.05        23.53          0.00
       180        180.000         5.79         6.41          0.00
       181        181.000        21.30        15.69          0.00
       182        182.000         4.49         4.04          0.00
       183        183.000         5.29         8.11          0.00
       184        184.000         2.00         4.60          0.00
       185        185.000         7.60         7.00          0.00
       186        186.000        21.17        19.00          0.00
       187        187.000         8.88         9.70          0.00
       188        188.000        26.16        17.54          0.00
       189        189.000         3.84         5.33          0.00
       190        190.000         4.87         6.57          0.00
       191        191.000        13.41         9.07          0.00
       192        192.000         4.44         4.03          0.00
       193        193.000         1.68         4.98          0.00
       194        194.000         6.89         4.25          0.00
       195        195.000         7.19         9.21          0.00
       196        196.000         1.25         3.27          0.00
       197        197.000         2.22         6.36          0.00
       198        198.000        23.34        16.13          0.00
       199        199.000         2.34         4.74          0.00
       200        200.000         4.41         6.43          0.00
       201        201.000         5.73         6.63          0.00
       202        202.000         5.29         4.97          0.00
       203        203.000        16.19         9.86          0.00
       204        204.000         8.62         9.24          0.00
       205        205.000        44.87        29.00          0.00
       206        206.000         9.40        14.74          0.00
       207        207.000         6.93         6.49          0.00
       208        208.000         7.84         6.28          0.00
       209        209.000         8.69         5.53          0.00
       210        210.000        12.66        12.52          0.00
       211        211.000         5.33         8.77          0.00
       212        212.000         2.03         7.76          0.00
       213        213.000        18.67        16.00          0.00
       214        214.000         0.82         7.45          0.00
       215        215.000        12.35        12.59          0.00
       216        216.000         3.11         4.89          0.00
       217        217.000         6.49         5.62          0.00
       218        218.000         4.58         5.32          0.00
       219        219.000         9.30         7.70          0.00
       220        220.000         6.50         7.80          0.00
       221        221.000        10.50        11.93          0.00
       222        222.000        20.51        14.72          0.00
       223        223.000         9.49         8.25          0.00
       224        224.000         0.56         5.31          0.00
       225        225.000         3.81         6.47          0.00
       226        226.000         3.52         3.91          0.00
       227        227.000         1.45         4.75          0.00
       228        228.000         5.68         5.56          0.00
       229        229.000         5.10         7.93          0.00
       230        230.000        14.00         6.55          0.00
       231        231.000         8.71         4.21          0.00
       232        232.000         4.77         3.18          0.00
       233        233.000        15.95         9.36          0.00
       234        234.000         7.56         8.34          0.00
       235        235.000        16.86        12.19          0.00
       236        236.000        11.44         8.41          0.00
       237        237.000         8.62         8.23          0.00
       238        238.000         0.56         2.46          0.00
       239        239.000         9.15         6.11          0.00
       240        240.000         2.72         6.27          0.00
       241        241.000        13.38         7.20          0.00
       242        242.000        11.34         8.32          0.00
       243        243.000         8.76         9.80          0.00
       244        244.000        13.35        12.70          0.00
       245        245.000         2.83         5.73          0.00
       246        246.000         9.29         6.75          0.00
       247        247.000         3.60         6.59          0.00
       248        248.000         3.88         3.41          0.00
       249        249.000        27.88        21.90          0.00
       250        250.000         7.68         7.97          0.00
       251        251.000         4.23         5.26          0.00
       252        252.000         3.71         9.30          0.00
       253        253.000        10.77        11.03          0.00
       254        254.000         2.31         4.65          0.00
       255        255.000         4.10        11.43          0.00
       256        256.000        35.24        19.93          0.00
       257        257.000        19.34        18.16          0.00
       258        258.000         4.50         6.36          0.00
       259        259.000         5.58         7.41          0.00
       260        260.000         7.49         4.86          0.00
       261        261.000         4.60         2.86          0.00
       262        262.000         0.19         2.92          0.00
       263        263.000        10.45         6.00          0.00
