#  iFrame          Time(ps)     <Ree^2>(A^2)     stdRee^2(A^2)     <Ree^2>/M(molnm2/kg)
#======================================================================================
         0          0.000     10201.26         0.00       16.988
         1          1.000      5547.45         0.00        9.238
         2          2.000      3757.17         0.00        6.257
         3          3.000      8768.62         0.00       14.602
         4          4.000     12594.55         0.00       20.973
         5          5.000     28219.93         0.00       46.994
         6          6.000       123.02         0.00        0.205
         7          7.000     46544.73         0.00       77.510
         8          8.000     13195.77         0.00       21.975
         9          9.000      5878.38         0.00        9.789
        10         10.000     22249.43         0.00       37.052
        11         11.000     14972.25         0.00       24.933
        12         12.000       609.51         0.00        1.015
        13         13.000     23488.60         0.00       39.115
        14         14.000     10387.04         0.00       17.297
        15         15.000      6038.57         0.00       10.056
        16         16.000     17032.79         0.00       28.364
        17         17.000      7251.83         0.00       12.076
        18         18.000      4148.66         0.00        6.909
        19         19.000     11757.00         0.00       19.579
        20         20.000      1053.55         0.00        1.754
        21         21.000      1969.39         0.00        3.280
        22         22.000      2642.57         0.00        4.401
        23         23.000      5076.42         0.00        8.454
        24         24.000      8040.57         0.00       13.390
        25         25.000     18632.29         0.00       31.028
        26         26.000     13837.73         0.00       23.044
        27         27.000      3082.07         0.00        5.133
        28         28.000      1589.35         0.00        2.647
        29         29.000     11253.04         0.00       18.739
        30         30.000      4154.43         0.00        6.918
        31         31.000      2192.61         0.00        3.651
        32         32.000      8114.69         0.00       13.513
        33         33.000      6624.33         0.00       11.031
        34         34.000     20755.52         0.00       34.564
        35         35.000      7356.65         0.00       12.251
        36         36.000      5885.98         0.00        9.802
        37         37.000     11157.44         0.00       18.580
        38         38.000      1122.62         0.00        1.869
        39         39.000      9857.86         0.00       16.416
        40         40.000      3620.17         0.00        6.029
        41         41.000     21187.28         0.00       35.283
        42         42.000      5801.42         0.00        9.661
        43         43.000      6449.22         0.00       10.740
        44         44.000      1189.79         0.00        1.981
        45         45.000      1207.40         0.00        2.011
        46         46.000      8406.47         0.00       13.999
        47         47.000      1683.69         0.00        2.804
        48         48.000      5420.65         0.00        9.027
        49         49.000     11015.59         0.00       18.344
        50         50.000     15822.26         0.00       26.348
        51         51.000      4117.96         0.00        6.858
        52         52.000       580.90         0.00        0.967
        53         53.000     13967.89         0.00       23.260
        54         54.000     22958.40         0.00       38.232
        55         55.000      2831.58         0.00        4.715
        56         56.000      4689.11         0.00        7.809
        57         57.000      4986.79         0.00        8.304
        58         58.000      1745.71         0.00        2.907
        59         59.000     12854.76         0.00       21.407
        60         60.000     10369.67         0.00       17.268
        61         61.000     10706.05         0.00       17.829
        62         62.000     11410.20         0.00       19.001
        63         63.000     24523.37         0.00       40.838
        64         64.000      7853.18         0.00       13.078
        65         65.000     10366.07         0.00       17.262
        66         66.000      7385.53         0.00       12.299
        67         67.000     11510.85         0.00       19.169
        68         68.000      8223.34         0.00       13.694
        69         69.000     19061.30         0.00       31.742
        70         70.000      6376.09         0.00       10.618
        71         71.000     13018.85         0.00       21.680
        72         72.000      2171.39         0.00        3.616
        73         73.000     28302.82         0.00       47.132
        74         74.000     64055.79         0.00      106.671
        75         75.000      5932.16         0.00        9.879
        76         76.000      4041.72         0.00        6.731
        77         77.000       470.26         0.00        0.783
        78         78.000     10686.79         0.00       17.796
        79         79.000     17233.29         0.00       28.698
        80         80.000      5846.55         0.00        9.736
        81         81.000     20330.36         0.00       33.856
        82         82.000      9763.10         0.00       16.258
        83         83.000       411.54         0.00        0.685
        84         84.000     14556.92         0.00       24.241
        85         85.000      7278.14         0.00       12.120
        86         86.000      3524.90         0.00        5.870
        87         87.000     14389.56         0.00       23.963
        88         88.000     11103.83         0.00       18.491
        89         89.000     11645.06         0.00       19.392
        90         90.000      3562.78         0.00        5.933
        91         91.000      5341.70         0.00        8.895
        92         92.000     15776.97         0.00       26.273
        93         93.000      1345.34         0.00        2.240
        94         94.000      6851.51         0.00       11.410
        95         95.000      9806.65         0.00       16.331
        96         96.000      8444.86         0.00       14.063
        97         97.000      1499.25         0.00        2.497
        98         98.000     14661.14         0.00       24.415
        99         99.000     18763.37         0.00       31.246
       100        100.000      7924.00         0.00       13.196
       101        101.000      3340.75         0.00        5.563
       102        102.000      2987.15         0.00        4.974
       103        103.000     45702.67         0.00       76.108
       104        104.000      1820.68         0.00        3.032
       105        105.000      3835.32         0.00        6.387
       106        106.000     10466.67         0.00       17.430
       107        107.000      9178.99         0.00       15.286
       108        108.000      3607.79         0.00        6.008
       109        109.000     14630.55         0.00       24.364
       110        110.000     26272.15         0.00       43.750
       111        111.000      5267.77         0.00        8.772
       112        112.000     17552.55         0.00       29.230
       113        113.000     13050.78         0.00       21.733
       114        114.000     12325.79         0.00       20.526
       115        115.000      2811.83         0.00        4.682
       116        116.000     15253.27         0.00       25.401
       117        117.000     12789.31         0.00       21.298
       118        118.000      7536.72         0.00       12.551
       119        119.000     22307.09         0.00       37.148
       120        120.000      9981.87         0.00       16.623
       121        121.000      5724.55         0.00        9.533
       122        122.000      1504.63         0.00        2.506
       123        123.000     12123.60         0.00       20.189
       124        124.000     17754.42         0.00       29.566
       125        125.000       979.63         0.00        1.631
       126        126.000     15815.62         0.00       26.337
       127        127.000      1241.72         0.00        2.068
       128        128.000     16259.19         0.00       27.076
       129        129.000      8831.30         0.00       14.707
       130        130.000      2004.19         0.00        3.338
       131        131.000     13180.90         0.00       21.950
       132        132.000      2780.38         0.00        4.630
       133        133.000     10860.40         0.00       18.086
       134        134.000     18457.51         0.00       30.737
       135        135.000     23768.00         0.00       39.580
       136        136.000     16990.19         0.00       28.293
       137        137.000      5314.99         0.00        8.851
       138        138.000      9481.68         0.00       15.790
       139        139.000     10950.66         0.00       18.236
       140        140.000      2644.62         0.00        4.404
       141        141.000     16348.82         0.00       27.225
       142        142.000      7832.13         0.00       13.043
       143        143.000     12321.80         0.00       20.519
       144        144.000      5871.50         0.00        9.778
       145        145.000     19200.49         0.00       31.974
       146        146.000     15367.95         0.00       25.592
       147        147.000      4337.16         0.00        7.223
       148        148.000     24436.33         0.00       40.693
       149        149.000     10073.95         0.00       16.776
       150        150.000      3468.10         0.00        5.775
       151        151.000      3692.30         0.00        6.149
       152        152.000      2998.15         0.00        4.993
       153        153.000      1734.58         0.00        2.889
       154        154.000     11631.19         0.00       19.369
       155        155.000     28542.71         0.00       47.532
       156        156.000      2688.60         0.00        4.477
       157        157.000     10007.10         0.00       16.665
       158        158.000     14393.21         0.00       23.969
       159        159.000     11210.71         0.00       18.669
       160        160.000     29779.88         0.00       49.592
       161        161.000      7499.63         0.00       12.489
       162        162.000     19911.75         0.00       33.159
       163        163.000      7272.77         0.00       12.111
       164        164.000      8889.25         0.00       14.803
       165        165.000      9330.23         0.00       15.537
       166        166.000     14806.76         0.00       24.657
       167        167.000      6092.13         0.00       10.145
       168        168.000      5760.03         0.00        9.592
       169        169.000      8152.67         0.00       13.576
       170        170.000     14094.40         0.00       23.471
       171        171.000      1313.81         0.00        2.188
       172        172.000       792.91         0.00        1.320
       173        173.000       650.28         0.00        1.083
       174        174.000     15282.02         0.00       25.449
       175        175.000     11200.80         0.00       18.652
       176        176.000     28188.23         0.00       46.941
       177        177.000     18252.22         0.00       30.395
       178        178.000      7209.27         0.00       12.005
       179        179.000     27268.61         0.00       45.410
       180        180.000      6862.09         0.00       11.427
       181        181.000     25235.34         0.00       42.024
       182        182.000      5327.17         0.00        8.871
       183        183.000      6262.00         0.00       10.428
       184        184.000      2365.18         0.00        3.939
       185        185.000      9015.38         0.00       15.013
       186        186.000     25033.18         0.00       41.687
       187        187.000     10531.20         0.00       17.537
       188        188.000     31049.68         0.00       51.706
       189        189.000      4564.61         0.00        7.601
       190        190.000      5781.25         0.00        9.627
       191        191.000     15909.97         0.00       26.495
       192        192.000      5258.58         0.00        8.757
       193        193.000      1986.05         0.00        3.307
       194        194.000      8165.06         0.00       13.597
       195        195.000      8537.38         0.00       14.217
       196        196.000      1483.77         0.00        2.471
       197        197.000      2629.69         0.00        4.379
       198        198.000     27670.90         0.00       46.080
       199        199.000      2767.66         0.00        4.609
       200        200.000      5230.73         0.00        8.711
       201        201.000      6802.64         0.00       11.328
       202        202.000      6272.36         0.00       10.445
       203        203.000     19183.66         0.00       31.946
       204        204.000     10200.93         0.00       16.987
       205        205.000     53144.58         0.00       88.501
       206        206.000     11121.58         0.00       18.521
       207        207.000      8212.39         0.00       13.676
       208        208.000      9294.24         0.00       15.477
       209        209.000     10338.58         0.00       17.217
       210        210.000     15011.37         0.00       24.998
       211        211.000      6334.11         0.00       10.548
       212        212.000      2412.90         0.00        4.018
       213        213.000     22197.80         0.00       36.966
       214        214.000       977.19         0.00        1.627
       215        215.000     14652.99         0.00       24.401
