#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
         0          0.000      1559.70         0.00        2.597
         1          1.000      1242.12         0.00        2.068
         2          2.000       470.24         0.00        0.783
         3          3.000      1624.43         0.00        2.705
         4          4.000      1591.26         0.00        2.650
         5          5.000      3257.10         0.00        5.424
         6          6.000       635.21         0.00        1.058
         7          7.000      3412.36         0.00        5.683
         8          8.000      1739.27         0.00        2.896
         9          9.000      1270.44         0.00        2.116
        10         10.000      2298.49         0.00        3.828
        11         11.000      1550.68         0.00        2.582
        12         12.000       939.69         0.00        1.565
        13         13.000      2530.73         0.00        4.214
        14         14.000      1275.31         0.00        2.124
        15         15.000      1670.68         0.00        2.782
        16         16.000      2826.45         0.00        4.707
        17         17.000      2074.12         0.00        3.454
        18         18.000      1062.41         0.00        1.769
        19         19.000      1514.20         0.00        2.522
        20         20.000       949.38         0.00        1.581
        21         21.000       964.46         0.00        1.606
        22         22.000      1402.42         0.00        2.335
        23         23.000       976.48         0.00        1.626
        24         24.000       967.12         0.00        1.611
        25         25.000      4139.20         0.00        6.893
        26         26.000      1229.62         0.00        2.048
        27         27.000      1054.28         0.00        1.756
        28         28.000       578.10         0.00        0.963
        29         29.000      1957.98         0.00        3.261
        30         30.000       954.69         0.00        1.590
        31         31.000      1252.97         0.00        2.087
        32         32.000      1629.93         0.00        2.714
        33         33.000      1539.61         0.00        2.564
        34         34.000      2803.47         0.00        4.669
        35         35.000      1270.93         0.00        2.116
        36         36.000      1492.17         0.00        2.485
        37         37.000      1594.59         0.00        2.655
        38         38.000       828.03         0.00        1.379
        39         39.000      2668.52         0.00        4.444
        40         40.000      1433.90         0.00        2.388
        41         41.000      3653.60         0.00        6.084
        42         42.000      1483.65         0.00        2.471
        43         43.000      1743.95         0.00        2.904
        44         44.000       539.46         0.00        0.898
        45         45.000      1068.64         0.00        1.780
        46         46.000       981.52         0.00        1.634
        47         47.000       860.57         0.00        1.433
        48         48.000      1131.73         0.00        1.885
        49         49.000      2909.38         0.00        4.845
        50         50.000      2122.78         0.00        3.535
        51         51.000      1059.31         0.00        1.764
        52         52.000      1373.41         0.00        2.287
        53         53.000      3427.35         0.00        5.708
        54         54.000      1988.55         0.00        3.311
        55         55.000       974.24         0.00        1.622
        56         56.000      1215.67         0.00        2.024
        57         57.000       734.51         0.00        1.223
        58         58.000      2168.64         0.00        3.611
        59         59.000      1639.37         0.00        2.730
        60         60.000      1254.39         0.00        2.089
        61         61.000      3248.99         0.00        5.410
        62         62.000      1923.50         0.00        3.203
