# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
       1            2.376                0.996            2.376          499499
       2            3.335                1.398            6.671          498498
       3            4.577                1.918           13.730          497497
       4            5.653                2.370           22.613          496496
       5            6.670                2.796           33.348          495495
       6            7.587                3.180           45.521          494494
       7            8.430                3.534           59.012          493493
       8            9.199                3.856           73.594          492492
       9            9.904                4.152           89.140          491491
      10           10.550                4.422          105.502          490490
      11           11.143                4.671          122.577          489489
      12           11.688                4.900          140.260          488488
      13           12.190                5.110          158.466          487487
      14           12.652                5.303          177.125          486486
      15           13.078                5.482          196.169          485485
      16           13.472                5.647          215.551          484484
      17           13.837                5.800          235.224          483483
      18           14.175                5.942          255.148          482482
      19           14.489                6.074          275.291          481481
      20           14.781                6.196          295.620          480480
      21           15.053                6.310          316.109          479479
      22           15.306                6.416          336.730          478478
      23           15.542                6.515          357.465          477477
      24           15.762                6.607          378.300          476476
      25           15.969                6.694          399.216          475475
      26           16.162                6.775          420.202          474474
      27           16.343                6.851          441.250          473473
      28           16.513                6.922          462.354          472472
      29           16.673                6.989          483.507          471471
      30           16.824                7.052          504.710          470470
      31           16.966                7.112          525.952          469469
      32           17.101                7.168          547.231          468468
      33           17.228                7.222          568.529          467467
      34           17.348                7.272          589.844          466466
      35           17.462                7.320          611.160          465465
      36           17.569                7.365          632.496          464464
      37           17.671                7.407          653.834          463463
      38           17.768                7.448          675.176          462462
      39           17.859                7.486          696.513          461461
      40           17.946                7.523          717.844          460460
      41           18.028                7.557          739.168          459459
      42           18.107                7.590          760.488          458458
      43           18.181                7.621          781.804          457457
      44           18.252                7.651          803.109          456456
      45           18.320                7.680          824.410          455455
      46           18.385                7.707          845.703          454454
      47           18.447                7.732          866.988          453453
      48           18.506                7.757          888.269          452452
      49           18.562                7.781          909.543          451451
      50           18.616                7.804          930.804          450450
      51           18.668                7.825          952.059          449449
      52           18.718                7.846          973.311          448448
      53           18.765                7.866          994.556          447447
      54           18.811                7.885         1015.804          446446
      55           18.856                7.904         1037.060          445445
      56           18.899                7.922         1058.320          444444
      57           18.940                7.939         1079.584          443443
      58           18.980                7.956         1100.849          442442
      59           19.019                7.972         1122.116          441441
      60           19.056                7.988         1143.381          440440
      61           19.092                8.003         1164.636          439439
      62           19.127                8.018         1185.881          438438
      63           19.160                8.032         1207.106          437437
      64           19.192                8.045         1228.313          436436
      65           19.223                8.058         1249.505          435435
      66           19.253                8.070         1270.687          434434
      67           19.281                8.082         1291.850          433433
      68           19.309                8.094         1312.994          432432
      69           19.335                8.105         1334.116          431431
