           IFrame     Ebond           Eangle         Etors             Eimpr                ELJ                     Ecoul              ETot                Move           Flip         RotStrand        RotBranch       FlpBranch                 Time
              0     246.5307620     224.2917822     459.1338314       0.0000000           112.5466894             0.0000000          1042.5030650       0.0000000       0.0000000       0.0000000       0.0000000       0.0000000                 0.024
         100000     221.9856535     228.4993004     402.8932434       0.0000000           -35.2554208             0.0000000           818.1227766       7.6752842      16.7014406      33.3299997       0.0000000       0.0000000                 5.144
         200000     216.1270756     211.5969869     438.2469098       0.0000000           -30.8649026             0.0000000           835.1060696       7.4873287      17.2009926      33.2247394       0.0000000       0.0000000                10.278
         300000     237.0981789     199.6653131     392.3910289       0.0000000           -30.5040348             0.0000000           798.6504860       7.4649399      17.2259434      33.4662301       0.0000000       0.0000000                15.440
         400000     223.3584777     200.7570825     414.3669537       0.0000000           -38.7046458             0.0000000           799.7778681       7.4292601      17.3971444      33.5126215       0.0000000       0.0000000                20.577
         500000     239.8982774     215.3714163     389.3409889       0.0000000           -34.0406558             0.0000000           810.5700268       7.4395611      17.4363564      33.5574396       0.0000000       0.0000000                25.714
         600000     216.2681561     227.5649547     416.0895991       0.0000000           -41.9574119             0.0000000           817.9652980       7.4475741      17.4394877      33.5344562       0.0000000       0.0000000                30.854
         700000     227.8894647     232.2421383     392.7628916       0.0000000           -42.5510210             0.0000000           810.3434735       7.5024693      17.4260785      33.4913688       0.0000000       0.0000000                35.986
         800000     223.4444518     214.0796234     426.1043359       0.0000000           -39.6012338             0.0000000           824.0271773       7.4906555      17.4518001      33.4961626       0.0000000       0.0000000                41.129
         900000     233.2252766     249.6939533     430.7126944       0.0000000           -35.5706213             0.0000000           878.0613030       7.4791319      17.4867449      33.5649087       0.0000000       0.0000000                46.256
        1000000     227.5014805     228.8099303     389.2013638       0.0000000           -36.5008806             0.0000000           809.0118939       7.4909105      17.5780120      33.5557817       0.0000000       0.0000000                51.408
        1100000     213.6911373     242.7950166     426.8206281       0.0000000           -33.1753012             0.0000000           850.1314808       7.4750030      17.5576601      33.5866652       0.0000000       0.0000000                56.535
        1200000     215.1067355     230.9892743     396.1799486       0.0000000           -40.0201356             0.0000000           802.2558228       7.4962069      17.6085836      33.6032026       0.0000000       0.0000000                61.680
        1300000     212.1611603     216.6816110     399.8895547       0.0000000           -32.0967509             0.0000000           796.6355751       7.4501873      17.6424986      33.5930925       0.0000000       0.0000000                66.814
