 Time Density Pressure Temperature Box-X Box-Y Box-Z
0.0 0.0 749.9669 -2794.9078646999997 0.0 5.0251 5.0251 5.0251
10.0 10.0 638.69704 -70.16195821424999 503.07452 5.301439 5.301439 5.301439
20.0 20.0 699.9976 1318.5625913249999 505.54128 5.1419347 5.1419347 5.1419347
30.0 30.0 703.69238 72.14072299349999 498.43252 5.132919600000001 5.132919600000001 5.132919600000001
40.0 40.0 705.0568699999999 -29.43800189925 497.16028 5.1296062000000004 5.1296062000000004 5.1296062000000004
50.0 50.0 713.04301 -399.43555218 504.70972 5.1103836000000005 5.1103836000000005 5.1103836000000005
60.0 60.0 710.54996 -847.236262635 498.26814 5.1163534 5.1163534 5.1163534
70.0 70.0 699.6500500000001 177.71938905 498.42093 5.142786000000001 5.142786000000001 5.142786000000001
80.0 80.0 710.25769 -45.15088508175 501.27898 5.117055100000001 5.117055100000001 5.117055100000001
90.0 90.0 698.1977499999999 -440.2677945225 499.87757 5.146349300000001 5.146349300000001 5.146349300000001
100.0 100.0 715.47465 1266.3562023 501.20682 5.1045876 5.1045876 5.1045876
110.0 110.0 708.66304 -147.84853586999998 502.52012 5.1208904 5.1208904 5.1208904
120.0 120.0 712.94532 -127.6842427875 500.52928 5.110617 5.110617 5.110617
130.0 130.0 709.19546 -0.6219022397175 500.48494 5.1196086 5.1196086 5.1196086
140.0 140.0 704.08097 577.1602202624999 500.15661 5.1319751 5.1319751 5.1319751
150.0 150.0 711.3197100000001 766.0866406724999 503.51883 5.1145072 5.1145072 5.1145072
160.0 160.0 708.58686 -256.360335735 500.58766 5.1210739 5.1210739 5.1210739
170.0 170.0 711.57348 73.21114663799999 496.86426 5.1138991 5.1138991 5.1138991
180.0 180.0 712.80907 462.8075610375 495.57862 5.1109426000000004 5.1109426000000004 5.1109426000000004
190.0 190.0 707.01318 -307.5023765625 493.78378 5.1248706 5.1248706 5.1248706
200.0 200.0 697.7922199999999 36.0308194155 499.47765 5.1473461 5.1473461 5.1473461
210.0 210.0 704.43862 -323.702511405 493.21678 5.1311064 5.1311064 5.1311064
220.0 220.0 709.55278 -529.0734017625 495.49057 5.1187491000000005 5.1187491000000005 5.1187491000000005
230.0 230.0 701.0599100000001 897.87957168 501.81349 5.139336200000001 5.139336200000001 5.139336200000001
240.0 240.0 707.7767299999999 -24.931364807999998 497.73226 5.123027 5.123027 5.123027
250.0 250.0 712.87821 -1093.99042095 498.32034 5.1107773000000005 5.1107773000000005 5.1107773000000005
260.0 260.0 710.2895599999999 -605.68960137 502.65958 5.1169786 5.1169786 5.1169786
270.0 270.0 707.91761 782.128505865 503.47037 5.1226872000000006 5.1226872000000006 5.1226872000000006
280.0 280.0 698.60829 594.9676229175001 507.40226 5.145341 5.145341 5.145341
290.0 290.0 707.99184 481.81269612 501.89166 5.122508100000001 5.122508100000001 5.122508100000001
300.0 300.0 710.0531599999999 597.280497765 499.59491 5.1175464 5.1175464 5.1175464
