 Time Step CPU E_bond E_angle E_dihed E_impro E_pair E_vdwl E_coul E_long E_tail PotEng Temp Press Lx Ly Lz Density
0.000000 0.000000 0.000000 0.000000 422.989095 3430.970835 4503.219954 0.000000 -13625.720674 -17522.900361 14610.343067 -10713.163380 -1197.758031 -5268.540916 0.000000 -2794.907865 5.025100 5.025100 5.025100 749.966900
10.000000 10.000000 10000.000000 22.913838 26464.287436 41923.449880 10780.765523 0.000000 -3841.844488 -8038.035534 14908.105377 -10711.914456 -1020.051041 75326.656552 503.074520 -70.161958 5.301439 5.301439 5.301439 638.697040
20.000000 20.000000 20000.000000 47.024797 26537.399907 42831.223072 10434.744958 0.000000 -6421.069322 -10331.070040 14622.172072 -10712.171354 -1117.953001 73382.301544 505.541280 1318.562591 5.141935 5.141935 5.141935 699.997600
30.000000 30.000000 30000.000000 71.360368 27152.155027 42841.616128 10416.141638 0.000000 -6527.215728 -10310.055063 14494.924498 -10712.085582 -1123.853864 73882.695392 498.432520 72.140723 5.132920 5.132920 5.132920 703.692380
40.000000 40.000000 40000.000000 95.564567 26545.466659 43059.602528 10413.262628 0.000000 -6453.042194 -10453.836131 14713.156918 -10712.362981 -1126.033058 73565.288784 497.160280 -29.438002 5.129606 5.129606 5.129606 705.056870
50.000000 50.000000 50000.000000 119.809180 26758.254858 42217.421904 10280.377114 0.000000 -6877.194358 -10868.694375 14703.125359 -10711.625342 -1138.787606 72378.857008 504.709720 -399.435552 5.110384 5.110384 5.110384 713.043010
60.000000 60.000000 60000.000000 144.475220 27313.418521 42556.258960 10370.526834 0.000000 -6754.346260 -10677.548335 14635.448322 -10712.246247 -1134.805986 73485.859728 498.268140 -847.236263 5.116353 5.116353 5.116353 710.549960
70.000000 70.000000 70000.000000 169.129730 26703.488390 43244.150400 10350.527732 0.000000 -6502.024701 -10471.432362 14681.502866 -10712.095623 -1117.397952 73796.140984 498.420930 177.719389 5.142786 5.142786 5.142786 699.650050
80.000000 80.000000 80000.000000 194.075220 26337.776665 42638.474560 10395.004489 0.000000 -6745.660276 -10600.443910 14566.790138 -10712.006504 -1134.339219 72625.591672 501.278980 -45.150885 5.117055 5.117055 5.117055 710.257690
90.000000 90.000000 90000.000000 218.838280 26754.141567 42571.020112 10382.713152 0.000000 -6264.610734 -10194.597583 14641.384163 -10711.397314 -1115.078509 73443.262424 499.877570 -440.267795 5.146349 5.146349 5.146349 698.197750
100.000000 100.000000 100000.000000 243.420840 26244.101089 43041.569488 10495.014641 0.000000 -6553.144813 -10487.489298 14646.451824 -10712.106920 -1142.671111 73227.539568 501.206820 1266.356202 5.104588 5.104588 5.104588 715.474650
110.000000 110.000000 110000.000000 268.081810 27437.381236 42088.429184 10263.798014 0.000000 -6804.749653 -10735.097163 14642.680366 -10712.332856 -1131.792418 72984.859200 502.520120 -147.848536 5.120890 5.120890 5.120890 708.663040
120.000000 120.000000 120000.000000 292.666760 27006.979014 42528.092272 10529.943510 0.000000 -6630.424548 -10508.710965 14590.347731 -10712.061314 -1138.631584 73434.593176 500.529280 -127.684243 5.110617 5.110617 5.110617 712.945320
130.000000 130.000000 130000.000000 317.058800 27652.496994 42031.823848 10386.963678 0.000000 -6748.773590 -10786.426475 14749.871099 -10712.218214 -1132.642732 73322.512184 500.484940 -0.621902 5.119609 5.119609 5.119609 709.195460
140.000000 140.000000 140000.000000 341.759270 26813.474453 42574.434256 10132.241339 0.000000 -6624.046458 -10374.025494 14462.057923 -10712.079306 -1124.474476 72896.099824 500.156610 577.160220 5.131975 5.131975 5.131975 704.080970
150.000000 150.000000 150000.000000 366.316770 26452.632486 42563.551672 10200.448489 0.000000 -6775.968335 -10713.287226 14649.465978 -10712.146668 -1136.035329 72440.663056 503.518830 766.086641 5.114507 5.114507 5.114507 711.319710
160.000000 160.000000 160000.000000 390.963160 26835.868058 42256.228504 10247.030216 0.000000 -6739.902674 -10620.673550 14593.022144 -10712.251268 -1131.670747 72599.224104 500.587660 -256.360336 5.121074 5.121074 5.121074 708.586860
170.000000 170.000000 170000.000000 415.468800 27202.328718 42402.471856 10388.766145 0.000000 -6644.514168 -10548.972760 14616.841238 -10712.382646 -1136.440633 73349.055480 496.864260 73.211147 5.113899 5.113899 5.113899 711.573480
180.000000 180.000000 180000.000000 440.095660 26974.369336 42367.870176 10441.048990 0.000000 -6753.527033 -10785.680468 14744.228138 -10712.074703 -1138.413974 73029.761888 495.578620 462.807561 5.110943 5.110943 5.110943 712.809070
190.000000 190.000000 190000.000000 464.782390 26685.717686 42722.740320 10405.539382 0.000000 -6429.674554 -10406.409236 14689.060425 -10712.326162 -1129.157460 73384.322416 493.783780 -307.502377 5.124871 5.124871 5.124871 707.013180
200.000000 200.000000 200000.000000 489.344920 26778.538471 42232.266736 10444.970654 0.000000 -6189.638474 -10105.129438 14627.769009 -10712.278046 -1114.430826 73266.136968 499.477650 36.030819 5.147346 5.147346 5.147346 697.792220
210.000000 210.000000 210000.000000 513.739410 27314.977898 42720.928648 10708.503659 0.000000 -6313.773570 -10337.660258 14735.755957 -10711.869269 -1125.045676 74430.636216 493.216780 -323.702511 5.131106 5.131106 5.131106 704.438620
220.000000 220.000000 220000.000000 538.109230 27761.039577 42040.288080 10405.275372 0.000000 -6744.872429 -10584.680690 14551.614770 -10711.806927 -1133.213430 73461.730600 495.490570 -529.073402 5.118749 5.118749 5.118749 709.552780
230.000000 230.000000 230000.000000 562.699930 26526.420673 42723.903472 10460.710025 0.000000 -6340.590500 -10332.425238 14704.317799 -10712.483062 -1119.649613 73370.444088 501.813490 897.879572 5.139336 5.139336 5.139336 701.059910
240.000000 240.000000 240000.000000 587.138220 26740.871174 43253.447248 10491.165779 0.000000 -6999.059215 -10745.522436 14458.476419 -10712.013617 -1130.376929 73486.424568 497.732260 -24.931365 5.123027 5.123027 5.123027 707.776730
250.000000 250.000000 250000.000000 611.892360 26773.448635 42987.713040 10329.092263 0.000000 -6673.621419 -10770.024358 14808.584753 -10712.181814 -1138.524390 73416.631264 498.320340 -1093.990421 5.110777 5.110777 5.110777 712.878210
260.000000 260.000000 260000.000000 636.585550 27247.067812 42266.780552 10459.025546 0.000000 -6729.138915 -10697.287192 14680.327580 -10712.179722 -1134.390096 73243.735832 502.659580 -605.689601 5.116979 5.116979 5.116979 710.289560
270.000000 270.000000 270000.000000 661.203770 27055.844368 41988.737016 10417.260022 0.000000 -6447.441492 -10581.988286 14846.471710 -10711.924916 -1130.601903 73014.398240 503.470370 782.128506 5.122687 5.122687 5.122687 707.917610
280.000000 280.000000 280000.000000 686.107250 26748.201542 41430.475938 10467.319490 0.000000 -6172.480309 -10287.116702 14826.736618 -10712.100226 -1115.734184 72473.515824 507.402260 594.967623 5.145341 5.145341 5.145341 698.608290
290.000000 290.000000 290000.000000 710.799210 26313.759250 42737.124912 10431.856742 0.000000 -6762.023900 -10715.350357 14664.861006 -10711.534549 -1130.720477 72720.714912 501.891660 481.812696 5.122508 5.122508 5.122508 707.991840
300.000000 300.000000 300000.000000 735.378710 26754.361646 43015.252128 10309.768041 0.000000 -6402.060154 -10552.686478 14862.717345 -10712.091021 -1134.012574 73677.323752 499.594910 597.280498 5.117546 5.117546 5.117546 710.053160
310.000000 310.000000 310000.000000 760.181010 27116.725334 42863.937768 10489.850748 0.000000 -6449.288728 -10470.650790 14733.386976 -10712.024914 -1135.369445 74021.223448 496.769950 753.052031 5.115507 5.115507 5.115507 710.902760
320.000000 320.000000 320000.000000 784.619950 26567.231827 41995.590408 10118.102348 0.000000 -6735.754238 -10611.727739 14588.724339 -10712.750838 -1134.085919 71945.168672 502.559690 832.575670 5.117436 5.117436 5.117436 710.099080
330.000000 330.000000 330000.000000 809.080000 26943.117785 43002.633184 10404.105107 0.000000 -6681.456796 -10632.564478 14663.164394 -10712.056712 -1135.754164 73668.399280 500.340250 -322.732943 5.114929 5.114929 5.114929 711.143650
340.000000 340.000000 340000.000000 833.548310 27214.527589 42324.122272 10161.069936 0.000000 -7059.182040 -11051.504632 14704.628252 -10712.305660 -1156.397309 72640.536920 501.308740 430.021557 5.084310 5.084310 5.084310 724.069200
350.000000 350.000000 350000.000000 857.984210 27114.787305 42686.339520 10011.302819 0.000000 -6477.123625 -10572.506505 14807.484361 -10712.101899 -1131.209503 73335.306856 501.549830 -940.444097 5.121770 5.121770 5.121770 708.298050
360.000000 360.000000 360000.000000 882.603880 27474.661513 42424.722368 10427.209574 0.000000 -6531.849508 -10635.934271 14816.389586 -10712.304823 -1134.154202 73794.743528 499.864550 -408.644870 5.117333 5.117333 5.117333 710.141850
370.000000 370.000000 370000.000000 907.373780 26887.167245 42294.700384 10214.980358 0.000000 -6762.148165 -10807.864036 14757.973415 -10712.257544 -1133.570743 72634.700240 502.463100 94.528385 5.118211 5.118211 5.118211 709.776520
