#  iFrame          Time(ps)     <Rg^2>(A^2)     stdRg^2(A^2)     <Rg^2>/M(molnm2/kg)
#===================================================================================
         0          0.000      1237.01       534.16        1.763
         1      20000.000      1490.82       700.08        2.125
         2      40000.000      1625.44       822.96        2.316
         3      60000.000      1647.13       803.84        2.347
         4      80000.000      1634.71       708.25        2.330
         5     100000.000      1647.79       831.78        2.348
         6     120000.000      1609.61       791.94        2.294
         7     140000.000      1603.06       765.34        2.285
         8     160000.000      1628.33       893.26        2.321
         9     180000.000      1606.06       841.58        2.289
        10     200000.000      1597.32       827.01        2.276
        11     220000.000      1633.65       820.99        2.328
        12     240000.000      1612.06       814.55        2.297
        13     260000.000      1561.51       755.95        2.225
        14     280000.000      1647.24       779.91        2.347
        15     300000.000      1665.26       827.69        2.373
        16     320000.000      1728.20       974.99        2.463
        17     340000.000      1689.82       787.25        2.408
        18     360000.000      1731.67       907.32        2.468
        19     380000.000      1713.24       814.45        2.442
        20     400000.000      1713.07       807.02        2.441
        21     420000.000      1796.98       844.27        2.561
        22     440000.000      1754.43       927.43        2.500
        23     460000.000      1837.05      1006.55        2.618
        24     480000.000      1754.51       916.82        2.500
        25     500000.000      1728.74       832.67        2.464
        26     520000.000      1733.17       791.71        2.470
        27     540000.000      1818.48       930.95        2.592
        28     560000.000      1810.06       911.24        2.580
        29     580000.000      1877.31       996.47        2.675
        30     600000.000      1817.48       924.41        2.590
        31     620000.000      1775.90       856.64        2.531
        32     640000.000      1726.57       724.84        2.461
        33     660000.000      1693.31       777.78        2.413
        34     680000.000      1759.08       846.83        2.507
        35     700000.000      1693.52       803.97        2.413
        36     720000.000      1696.49       933.62        2.418
        37     740000.000      1662.07       870.46        2.369
        38     760000.000      1710.73       935.13        2.438
        39     780000.000      1660.69       810.40        2.367
        40     800000.000      1676.53       810.22        2.389
        41     820000.000      1690.78       893.31        2.410
        42     840000.000      1767.07       865.65        2.518
        43     860000.000      1730.68       720.32        2.466
        44     880000.000      1770.67       872.73        2.523
        45     900000.000      1767.19       835.19        2.518
        46     920000.000      1765.42       888.82        2.516
        47     940000.000      1745.68       829.40        2.488
        48     960000.000      1650.28       733.35        2.352
        49     980000.000      1626.24       713.95        2.318
