# of segments(n)      <R2>(A^2)/n     <R2>(A^2)/nl2      <R2>(A^2)    Count
# =========================================================================
       1            2.373                1.000            2.373         7534900
       2            3.325                1.402            6.650         7519800
       3            4.567                1.925           13.701         7504700
       4            5.643                2.379           22.573         7489600
       5            6.666                2.810           33.331         7474500
       6            7.590                3.199           45.539         7459400
       7            8.443                3.559           59.102         7444300
       8            9.222                3.887           73.777         7429200
       9            9.938                4.189           89.446         7414100
      10           10.595                4.466          105.954         7399000
      11           11.200                4.721          123.197         7383900
      12           11.755                4.955          141.066         7368800
      13           12.268                5.171          159.479         7353700
      14           12.740                5.370          178.357         7338600
      15           13.176                5.554          197.639         7323500
      16           13.579                5.723          217.266         7308400
      17           13.952                5.881          237.191         7293300
      18           14.298                6.027          257.372         7278200
      19           14.620                6.162          277.773         7263100
      20           14.918                6.288          298.363         7248000
      21           15.196                6.405          319.117         7232900
      22           15.455                6.514          340.010         7217800
      23           15.697                6.616          361.025         7202700
      24           15.923                6.711          382.142         7187600
      25           16.134                6.800          403.348         7172500
      26           16.332                6.884          424.630         7157400
      27           16.518                6.962          445.978         7142300
      28           16.692                7.036          467.380         7127200
      29           16.856                7.105          488.828         7112100
      30           17.010                7.170          510.314         7097000
      31           17.156                7.231          531.833         7081900
      32           17.293                7.289          553.378         7066800
      33           17.423                7.343          574.944         7051700
      34           17.545                7.395          596.527         7036600
      35           17.661                7.444          618.123         7021500
      36           17.770                7.490          639.730         7006400
      37           17.874                7.534          661.347         6991300
      38           17.973                7.575          682.969         6976200
      39           18.067                7.615          704.596         6961100
      40           18.156                7.652          726.227         6946000
      41           18.241                7.688          747.861         6930900
      42           18.321                7.722          769.496         6915800
      43           18.398                7.755          791.132         6900700
      44           18.472                7.786          812.768         6885600
      45           18.542                7.815          834.405         6870500
      46           18.610                7.844          856.043         6855400
      47           18.674                7.871          877.678         6840300
      48           18.736                7.897          899.312         6825200
      49           18.795                7.922          920.945         6810100
      50           18.852                7.946          942.577         6795000
      51           18.906                7.969          964.206         6779900
      52           18.958                7.991          985.832         6764800
      53           19.009                8.012         1007.454         6749700
      54           19.057                8.032         1029.072         6734600
      55           19.103                8.052         1050.685         6719500
      56           19.148                8.071         1072.294         6704400
      57           19.191                8.089         1093.897         6689300
      58           19.233                8.106         1115.497         6674200
      59           19.273                8.123         1137.092         6659100
      60           19.311                8.140         1158.681         6644000
      61           19.349                8.155         1180.266         6628900
      62           19.385                8.170         1201.846         6613800
      63           19.419                8.185         1223.419         6598700
      64           19.453                8.199         1244.987         6583600
      65           19.485                8.213         1266.551         6568500
      66           19.517                8.226         1288.110         6553400
      67           19.547                8.239         1309.663         6538300
      68           19.577                8.251         1331.214         6523200
      69           19.605                8.263         1352.759         6508100
      70           19.633                8.275         1374.300         6493000
      71           19.660                8.286         1395.837         6477900
      72           19.686                8.297         1417.371         6462800
      73           19.711                8.308         1438.902         6447700
      74           19.736                8.318         1460.433         6432600
      75           19.760                8.328         1481.963         6417500
      76           19.783                8.338         1503.493         6402400
      77           19.805                8.348         1525.022         6387300
      78           19.828                8.357         1546.552         6372200
      79           19.849                8.366         1568.079         6357100
      80           19.870                8.375         1589.603         6342000
      81           19.890                8.384         1611.125         6326900
      82           19.910                8.392         1632.644         6311800
      83           19.930                8.400         1654.159         6296700
      84           19.948                8.408         1675.668         6281600
      85           19.967                8.416         1697.175         6266500
      86           19.985                8.423         1718.674         6251400
      87           20.002                8.431         1740.170         6236300
      88           20.019                8.438         1761.662         6221200
      89           20.035                8.445         1783.148         6206100
      90           20.051                8.451         1804.628         6191000
      91           20.067                8.458         1826.100         6175900
      92           20.082                8.464         1847.565         6160800
      93           20.097                8.471         1869.021         6145700
      94           20.111                8.477         1890.472         6130600
      95           20.125                8.483         1911.914         6115500
      96           20.139                8.488         1933.348         6100400
      97           20.152                8.494         1954.775         6085300
      98           20.165                8.499         1976.193         6070200
      99           20.178                8.505         1997.602         6055100
     100           20.190                8.510         2019.002         6040000
     101           20.202                8.515         2040.393         6024900
     102           20.213                8.520         2061.775         6009800
     103           20.225                8.525         2083.147         5994700
     104           20.236                8.529         2104.510         5979600
     105           20.246                8.534         2125.864         5964500
     106           20.257                8.538         2147.213         5949400
     107           20.267                8.542         2168.556         5934300
     108           20.277                8.546         2189.895         5919200
     109           20.287                8.551         2211.231         5904100
     110           20.296                8.555         2232.564         5889000
     111           20.305                8.558         2253.893         5873900
     112           20.314                8.562         2275.217         5858800
     113           20.323                8.566         2296.535         5843700
     114           20.332                8.570         2317.846         5828600
     115           20.340                8.573         2339.154         5813500
     116           20.349                8.577         2360.458         5798400
     117           20.357                8.580         2381.755         5783300
     118           20.365                8.584         2403.046         5768200
     119           20.373                8.587         2424.333         5753100
     120           20.380                8.590         2445.613         5738000
     121           20.387                8.593         2466.886         5722900
     122           20.395                8.596         2488.154         5707800
     123           20.402                8.599         2509.421         5692700
     124           20.409                8.602         2530.683         5677600
     125           20.416                8.605         2551.943         5662500
     126           20.422                8.608         2573.201         5647400
     127           20.429                8.611         2594.457         5632300
     128           20.435                8.613         2615.709         5617200
     129           20.442                8.616         2636.959         5602100
     130           20.448                8.619         2658.203         5587000
     131           20.454                8.621         2679.446         5571900
     132           20.460                8.624         2700.686         5556800
     133           20.466                8.626         2721.926         5541700
     134           20.471                8.628         2743.168         5526600
     135           20.477                8.631         2764.409         5511500
     136           20.483                8.633         2785.652         5496400
     137           20.488                8.636         2806.893         5481300
     138           20.494                8.638         2828.134         5466200
     139           20.499                8.640         2849.374         5451100
     140           20.504                8.642         2870.614         5436000
     141           20.510                8.645         2891.851         5420900
     142           20.515                8.647         2913.089         5405800
     143           20.520                8.649         2934.327         5390700
     144           20.525                8.651         2955.566         5375600
     145           20.530                8.653         2976.803         5360500
     146           20.535                8.655         2998.038         5345400
     147           20.539                8.657         3019.270         5330300
     148           20.544                8.659         3040.504         5315200
     149           20.549                8.661         3061.735         5300100
     150           20.553                8.663         3082.966         5285000
     151           20.558                8.665         3104.193         5269900
     152           20.562                8.667         3125.418         5254800
     153           20.566                8.668         3146.635         5239700
     154           20.570                8.670         3167.851         5224600
     155           20.575                8.672         3189.063         5209500
     156           20.579                8.674         3210.272         5194400
     157           20.583                8.675         3231.480         5179300
     158           20.587                8.677         3252.681         5164200
     159           20.590                8.679         3273.882         5149100
     160           20.594                8.680         3295.077         5134000
     161           20.598                8.682         3316.275         5118900
     162           20.602                8.683         3337.474         5103800
     163           20.605                8.685         3358.668         5088700
     164           20.609                8.686         3379.863         5073600
     165           20.612                8.688         3401.052         5058500
     166           20.616                8.689         3422.243         5043400
     167           20.619                8.691         3443.427         5028300
     168           20.623                8.692         3464.603         5013200
     169           20.626                8.694         3485.775         4998100
     170           20.629                8.695         3506.940         4983000
     171           20.632                8.696         3528.100         4967900
     172           20.635                8.698         3549.258         4952800
     173           20.638                8.699         3570.413         4937700
     174           20.641                8.700         3591.568         4922600
     175           20.644                8.701         3612.723         4907500
     176           20.647                8.703         3633.874         4892400
     177           20.650                8.704         3655.016         4877300
     178           20.653                8.705         3676.156         4862200
     179           20.655                8.706         3697.288         4847100
     180           20.658                8.707         3718.414         4832000
     181           20.660                8.708         3739.536         4816900
     182           20.663                8.709         3760.653         4801800
     183           20.665                8.710         3781.772         4786700
     184           20.668                8.711         3802.890         4771600
     185           20.670                8.712         3824.009         4756500
     186           20.673                8.713         3845.137         4741400
     187           20.675                8.714         3866.268         4726300
     188           20.678                8.715         3887.407         4711200
     189           20.680                8.716         3908.552         4696100
     190           20.683                8.718         3929.699         4681000
     191           20.685                8.719         3950.860         4665900
     192           20.688                8.720         3972.024         4650800
     193           20.690                8.721         3993.197         4635700
     194           20.693                8.722         4014.370         4620600
     195           20.695                8.723         4035.550         4605500
     196           20.698                8.724         4056.735         4590400
     197           20.700                8.725         4077.927         4575300
     198           20.703                8.726         4099.130         4560200
     199           20.705                8.727         4120.341         4545100
     200           20.708                8.728         4141.560         4530000
     201           20.710                8.729         4162.786         4514900
     202           20.713                8.730         4184.016         4499800
     203           20.716                8.731         4205.255         4484700
     204           20.718                8.732         4226.501         4469600
     205           20.721                8.734         4247.752         4454500
     206           20.723                8.735         4269.012         4439400
     207           20.726                8.736         4290.280         4424300
     208           20.729                8.737         4311.560         4409200
     209           20.731                8.738         4332.843         4394100
     210           20.734                8.739         4354.131         4379000
     211           20.737                8.740         4375.421         4363900
     212           20.739                8.741         4396.716         4348800
     213           20.742                8.742         4418.015         4333700
     214           20.744                8.744         4439.320         4318600
     215           20.747                8.745         4460.634         4303500
     216           20.750                8.746         4481.954         4288400
     217           20.752                8.747         4503.281         4273300
     218           20.755                8.748         4524.610         4258200
     219           20.758                8.749         4545.944         4243100
     220           20.760                8.750         4567.281         4228000
     221           20.763                8.751         4588.621         4212900
     222           20.766                8.752         4609.962         4197800
     223           20.768                8.754         4631.307         4182700
     224           20.771                8.755         4652.659         4167600
     225           20.773                8.756         4674.022         4152500
     226           20.776                8.757         4695.396         4137400
     227           20.779                8.758         4716.782         4122300
     228           20.781                8.759         4738.180         4107200
     229           20.784                8.760         4759.592         4092100
     230           20.787                8.762         4781.018         4077000
     231           20.790                8.763         4802.447         4061900
     232           20.793                8.764         4823.880         4046800
     233           20.795                8.765         4845.320         4031700
     234           20.798                8.766         4866.763         4016600
     235           20.801                8.767         4888.206         4001500
     236           20.804                8.769         4909.652         3986400
     237           20.806                8.770         4931.097         3971300
     238           20.809                8.771         4952.547         3956200
     239           20.812                8.772         4974.000         3941100
     240           20.814                8.773         4995.457         3926000
     241           20.817                8.774         5016.916         3910900
     242           20.820                8.775         5038.391         3895800
     243           20.823                8.776         5059.877         3880700
     244           20.825                8.778         5081.376         3865600
     245           20.828                8.779         5102.886         3850500
     246           20.831                8.780         5124.406         3835400
     247           20.834                8.781         5145.934         3820300
     248           20.837                8.782         5167.471         3805200
     249           20.839                8.784         5189.011         3790100
     250           20.842                8.785         5210.556         3775000
     251           20.845                8.786         5232.110         3759900
     252           20.848                8.787         5253.669         3744800
     253           20.851                8.788         5275.234         3729700
     254           20.854                8.790         5296.800         3714600
     255           20.856                8.791         5318.372         3699500
     256           20.859                8.792         5339.933         3684400
     257           20.862                8.793         5361.498         3669300
     258           20.865                8.794         5383.051         3654200
     259           20.867                8.795         5404.598         3639100
     260           20.870                8.796         5426.134         3624000
     261           20.872                8.797         5447.664         3608900
     262           20.875                8.798         5469.179         3593800
     263           20.877                8.799         5490.679         3578700
     264           20.879                8.800         5512.163         3563600
     265           20.882                8.801         5533.636         3548500
     266           20.884                8.802         5555.107         3533400
     267           20.886                8.803         5576.578         3518300
     268           20.888                8.804         5598.039         3503200
     269           20.890                8.805         5619.498         3488100
     270           20.892                8.806         5640.954         3473000
     271           20.895                8.807         5662.415         3457900
     272           20.897                8.808         5683.876         3442800
     273           20.899                8.809         5705.346         3427700
     274           20.901                8.809         5726.820         3412600
     275           20.903                8.810         5748.291         3397500
     276           20.905                8.811         5769.773         3382400
     277           20.907                8.812         5791.250         3367300
     278           20.909                8.813         5812.743         3352200
     279           20.911                8.814         5834.228         3337100
     280           20.913                8.815         5855.714         3322000
     281           20.915                8.816         5877.206         3306900
     282           20.917                8.816         5898.696         3291800
     283           20.919                8.817         5920.196         3276700
     284           20.921                8.818         5941.697         3261600
     285           20.924                8.819         5963.199         3246500
     286           20.926                8.820         5984.713         3231400
     287           20.928                8.821         6006.223         3216300
     288           20.930                8.822         6027.738         3201200
     289           20.932                8.823         6049.261         3186100
     290           20.934                8.823         6070.781         3171000
     291           20.936                8.824         6092.301         3155900
     292           20.938                8.825         6113.819         3140800
     293           20.940                8.826         6135.336         3125700
     294           20.942                8.827         6156.852         3110600
     295           20.944                8.828         6178.359         3095500
     296           20.946                8.828         6199.868         3080400
     297           20.947                8.829         6221.365         3065300
     298           20.949                8.830         6242.856         3050200
     299           20.951                8.831         6264.335         3035100
     300           20.953                8.831         6285.807         3020000
     301           20.954                8.832         6307.270         3004900
     302           20.956                8.833         6328.727         2989800
     303           20.958                8.833         6350.169         2974700
     304           20.959                8.834         6371.596         2959600
     305           20.961                8.835         6393.011         2944500
     306           20.962                8.835         6414.420         2929400
