# ich head tail
0 0 499
1 500 999
2 1000 1499
3 1500 1999
4 2000 2499
5 2500 2999
6 3000 3499
7 3500 3999
8 4000 4499
9 4500 4999
10 5000 5499
11 5500 5999
12 6000 6499
13 6500 6999
14 7000 7499
15 7500 7999
16 8000 8499
17 8500 8999
18 9000 9499
19 9500 9999
20 10000 10499
21 10500 10999
22 11000 11499
23 11500 11999
24 12000 12499
25 12500 12999
26 13000 13499
27 13500 13999
28 14000 14499
29 14500 14999
30 15000 15499
31 15500 15999
32 16000 16499
33 16500 16999
34 17000 17499
35 17500 17999
36 18000 18499
37 18500 18999
38 19000 19499
39 19500 19999
40 20000 20499
41 20500 20999
42 21000 21499
43 21500 21999
44 22000 22499
45 22500 22999
46 23000 23499
47 23500 23999
48 24000 24499
49 24500 24999
50 25000 25499
51 25500 25999
52 26000 26499
53 26500 26999
54 27000 27499
55 27500 27999
56 28000 28499
57 28500 28999
58 29000 29499
59 29500 29999
60 30000 30499
61 30500 30999
62 31000 31499
63 31500 31999
64 32000 32499
65 32500 32999
66 33000 33499
67 33500 33999
68 34000 34499
69 34500 34999
70 35000 35499
71 35500 35999
72 36000 36499
73 36500 36999
74 37000 37499
75 37500 37999
76 38000 38499
77 38500 38999
78 39000 39499
79 39500 39999
80 40000 40499
81 40500 40999
82 41000 41499
83 41500 41999
84 42000 42499
85 42500 42999
86 43000 43499
87 43500 43999
88 44000 44499
89 44500 44999
90 45000 45499
91 45500 45999
92 46000 46499
93 46500 46999
94 47000 47499
95 47500 47999
96 48000 48499
97 48500 48999
98 49000 49499
99 49500 49999
