#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 49900 vectors per frame, 499 vectors per chain, 100 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 151
 0 1.0 1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0
1 0.4014508 -0.24929576 -0.00814752 1.2618 0.133518 0.134164 0.133768 0.0887865 0.0890709 0.0889814 -0.0165629 -0.0166216 -0.0166668
2 0.584686 0.45376229 -0.00864064 1.45025 0.194526 0.195232 0.194928 0.151185 0.151793 0.15146 0.0301941 0.0302564 0.0302516
3 0.38379826 -0.20167558 -0.00836709 1.27451 0.12763 0.128322 0.127846 0.0930559 0.0933264 0.0932063 -0.0134128 -0.0134592 -0.0134807
4 0.39743225 0.24143154 -0.00882673 1.39435 0.13215 0.132766 0.132517 0.132281 0.132843 0.132572 0.0160479 0.0161288 0.016119
5 0.30569771 -0.13026902 -0.00885157 1.29409 0.101578 0.102288 0.101832 0.0994072 0.0996703 0.0995318 -0.00865391 -0.00870572 -0.00870132
6 0.28562868 0.133656 -0.00863724 1.36558 0.0949105 0.0954931 0.0952251 0.122682 0.123207 0.122981 0.00888253 0.00896603 0.00893538
7 0.23432039 -0.081087002 -0.00899017 1.30712 0.0777477 0.0785243 0.0780485 0.103785 0.104075 0.103917 -0.00539824 -0.00542117 -0.00543126
8 0.20958839 0.07502608 -0.00891784 1.34978 0.0695231 0.0702583 0.069807 0.117478 0.11798 0.117819 0.00496293 0.00503596 0.00503775
9 0.17669405 -0.049237712 -0.00941497 1.31577 0.0585522 0.0592676 0.0588742 0.106601 0.106923 0.106756 -0.00324963 -0.00331189 -0.00332399
10 0.15496498 0.04291956 -0.00932447 1.34095 0.0511463 0.0520678 0.0517509 0.114695 0.115093 0.114927 0.00282274 0.00289757 0.00289541
11 0.13204444 -0.029529677 -0.0092632 1.32099 0.0435587 0.0442918 0.0441939 0.108303 0.108719 0.108488 -0.00195033 -0.00201175 -0.00196953
12 0.11480798 0.024763797 -0.00948201 1.33543 0.0377506 0.0386145 0.0384428 0.113112 0.113489 0.113325 0.00162099 0.0016898 0.00164756
13 0.097955701 -0.017232983 -0.00907386 1.32456 0.0321216 0.0329787 0.0328554 0.109385 0.109805 0.109568 -0.00112652 -0.00121276 -0.00111762
14 0.08499804 0.014551446 -0.00924279 1.33291 0.027898 0.0286724 0.0284276 0.112186 0.112562 0.112408 0.000940138 0.00102449 0.000974415
15 0.072659008 -0.010067748 -0.00892568 1.32629 0.0237237 0.0244689 0.0244665 0.110011 0.110452 0.110181 -0.000624955 -0.000731149 -0.000655446
16 0.063027791 0.0086229309 -0.00868095 1.33178 0.0204514 0.021317 0.0212594 0.111669 0.112042 0.111902 0.000566756 0.000598915 0.000568689
17 0.053782818 -0.005703789 -0.00857839 1.32695 0.0173824 0.0181874 0.0182131 0.110396 0.110849 0.110562 -0.000376742 -0.00040118 -0.000360198
18 0.046551026 0.0051354964 -0.0084434 1.33067 0.0148471 0.0158574 0.0158466 0.111375 0.11176 0.111597 0.00031526 0.00036257 0.000334731
19 0.039724636 -0.0029703633 -0.00829415 1.328 0.0126263 0.0135478 0.0135506 0.110634 0.111108 0.110801 -0.00020264 -0.000210399 -0.00018178
20 0.034476593 0.0029506818 -0.00837408 1.32968 0.0109144 0.0117491 0.0118131 0.111214 0.111616 0.111432 0.000159188 0.000187775 0.000172422
21 0.029141401 -0.0011419331 -0.00864368 1.32856 0.00911738 0.0101886 0.00983541 0.1108 0.111237 0.110965 -0.000105709 -7.89262e-05 -3.0428e-05
22 0.025320574 0.0017299638 -0.00787811 1.32923 0.00777243 0.00885511 0.00869304 0.1111 0.111533 0.111291 7.49933e-05 0.000113098 9.31142e-05
23 0.021686026 -0.00028272654 -0.00814021 1.32882 0.00667588 0.00766864 0.00734151 0.110879 0.111306 0.111026 -1.92056e-05 -1.72092e-05 3.11777e-06
24 0.018434879 0.00086843174 -0.00772536 1.32942 0.00547601 0.00661413 0.00634473 0.110988 0.111423 0.111216 4.10288e-05 6.98718e-05 3.17351e-05
