#   iFrame     Time(ps)     rEE_ACF
#===================================
         0           0.00     1.00000000   
         1       20000.00     0.69631654   
         2       40000.00     0.62161505   
         3       60000.00     0.57041508   
         4       80000.00     0.52823597   
         5      100000.00     0.49531162   
         6      120000.00     0.46844587   
         7      140000.00     0.44974574   
         8      160000.00     0.42741615   
         9      180000.00     0.40432546   
        10      200000.00     0.38598701   
        11      220000.00     0.36600646   
        12      240000.00     0.34764919   
        13      260000.00     0.33600157   
        14      280000.00     0.32290775   
        15      300000.00     0.30733737   
        16      320000.00     0.29156214   
        17      340000.00     0.27922019   
        18      360000.00     0.26843670   
        19      380000.00     0.25658283   
        20      400000.00     0.24828583   
        21      420000.00     0.23484395   
        22      440000.00     0.22566347   
        23      460000.00     0.21639761   
        24      480000.00     0.21175423   
        25      500000.00     0.20484643   
        26      520000.00     0.19417520   
        27      540000.00     0.18171452   
        28      560000.00     0.17751175   
        29      580000.00     0.17342122   
        30      600000.00     0.16507809   
        31      620000.00     0.15503222   
        32      640000.00     0.15106808   
        33      660000.00     0.14686498   
        34      680000.00     0.14113967   
        35      700000.00     0.13584262   
        36      720000.00     0.12967920   
        37      740000.00     0.12855484   
        38      760000.00     0.12344784   
        39      780000.00     0.11473677   
        40      800000.00     0.11325581   
        41      820000.00     0.10824035   
        42      840000.00     0.10579842   
        43      860000.00     0.10131703   
        44      880000.00     0.09431937   
        45      900000.00     0.09352566   
        46      920000.00     0.08995392   
        47      940000.00     0.08924001   
        48      960000.00     0.08795511   
        49      980000.00     0.08230992   
        50     1000000.00     0.08364335   
        51     1020000.00     0.07718834   
        52     1040000.00     0.07500360   
        53     1060000.00     0.07259385   
        54     1080000.00     0.06624456   
        55     1100000.00     0.06541667   
        56     1120000.00     0.06044837   
        57     1140000.00     0.06258331   
        58     1160000.00     0.06272141   
        59     1180000.00     0.05893805   
        60     1200000.00     0.05998541   
        61     1220000.00     0.05905374   
        62     1240000.00     0.05689766   
        63     1260000.00     0.06119341   
        64     1280000.00     0.06054655   
        65     1300000.00     0.06376317   
        66     1320000.00     0.06359021   
        67     1340000.00     0.06271563   
        68     1360000.00     0.05695403   
        69     1380000.00     0.05677716   
        70     1400000.00     0.05457904   
        71     1420000.00     0.05204552   
        72     1440000.00     0.04797265   
        73     1460000.00     0.04676687   
        74     1480000.00     0.04648586   
        75     1500000.00     0.04540665   
        76     1520000.00     0.04085807   
        77     1540000.00     0.03843336   
        78     1560000.00     0.03418788   
        79     1580000.00     0.03175222   
        80     1600000.00     0.02885345   
        81     1620000.00     0.02324107   
        82     1640000.00     0.02459384   
        83     1660000.00     0.02698670   
        84     1680000.00     0.02520666   
        85     1700000.00     0.02639955   
        86     1720000.00     0.02771180   
        87     1740000.00     0.03092982   
        88     1760000.00     0.02772528   
        89     1780000.00     0.03427954   
        90     1800000.00     0.04319868   
        91     1820000.00     0.03995279   
        92     1840000.00     0.03939901   
        93     1860000.00     0.04224463   
        94     1880000.00     0.04267352   
        95     1900000.00     0.03948488   
        96     1920000.00     0.03596285   
        97     1940000.00     0.03251582   
        98     1960000.00     0.03397967   
        99     1980000.00     0.03595636   
       100     2000000.00     0.03354003   
       101     2020000.00     0.03220094   
       102     2040000.00     0.03103113   
       103     2060000.00     0.03101289   
       104     2080000.00     0.02973794   
       105     2100000.00     0.03189675   
       106     2120000.00     0.03158222   
       107     2140000.00     0.03181622   
       108     2160000.00     0.03703284   
       109     2180000.00     0.04048052   
       110     2200000.00     0.03646896   
       111     2220000.00     0.03518825   
       112     2240000.00     0.03594182   
       113     2260000.00     0.02943736   
       114     2280000.00     0.02484744   
       115     2300000.00     0.01724509   
       116     2320000.00     0.01370091   
       117     2340000.00     0.01452833   
       118     2360000.00     0.01806108   
       119     2380000.00     0.01874937   
       120     2400000.00     0.01704615   
       121     2420000.00     0.01342381   
       122     2440000.00     0.01866397   
       123     2460000.00     0.02182782   
       124     2480000.00     0.02071532   
       125     2500000.00     0.02168992   
       126     2520000.00     0.01932188   
       127     2540000.00     0.02525718   
       128     2560000.00     0.01684915   
       129     2580000.00     0.02283888   
       130     2600000.00     0.01705822   
       131     2620000.00     0.02384820   
       132     2640000.00     0.01178710   
       133     2660000.00     0.00613192   
       134     2680000.00     0.01827554   
       135     2700000.00     0.01679658   
       136     2720000.00     0.00988039   
       137     2740000.00     0.01307163   
       138     2760000.00     0.00999419   
       139     2780000.00     0.01025719   
       140     2800000.00     0.01729778   
       141     2820000.00     0.02398228   
       142     2840000.00     0.02720146   
       143     2860000.00     0.01918630   
       144     2880000.00     0.02067486   
       145     2900000.00     0.03161818   
       146     2920000.00     0.05545791   
       147     2940000.00     0.05048669   
       148     2960000.00     0.03872870   
       149     2980000.00     0.08765051   
       150     3000000.00     0.00000000   
