#./odf_intra.dat
# odfintra Version: intra-chain ODF with P2 and pxy
# 57 vectors per frame, 19 vectors per chain, 3 chains
# P1(n) = <u(0)u(n)> = <costhe>  
# P2(n) = 1/2*<3*(u(0)u(n))^2 - 1> = 1/2<3*costhe^2 - 1> 2nd Legendre polynomial 
# P2 values +1: Parallel, -0.5: orthogonal, 0: No correlation # u(0) u(n) are unit vectors at distance n bonds.  
# n  P1  P2  pxy  pxy2  xx yy zz  x4 y4 z4  xxyy xxzz yyzz
# frames 301
 0 1.0 1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0  1.0 1.0 1.0
1 0.40321116 -0.24625212 -0.114518 1.20194 0.139176 0.16162 0.102415 0.0874233 0.100367 0.0758861 -0.0149353 -0.014309 -0.0180115
2 0.45358566 0.28428392 -0.145793 1.37789 0.152456 0.179639 0.12149 0.13067 0.154867 0.124743 0.0196711 0.0159114 0.0207053
3 0.34378993 -0.18060556 -0.0979705 1.22353 0.110709 0.145774 0.0873073 0.0923886 0.108395 0.084543 -0.0108817 -0.0112551 -0.0140619
4 0.20292465 0.064485325 -0.10166 1.31572 0.0595515 0.0938737 0.0494995 0.110374 0.131812 0.104077 0.00320932 0.00244021 0.00938092
5 0.16729024 -0.070861789 -0.072289 1.26812 0.0506633 0.0865787 0.0300482 0.101761 0.124354 0.0941645 -0.0054168 -0.00194483 -0.00973204
6 0.0715129 0.0067449879 -0.11255 1.33543 0.0107926 0.0423256 0.0183947 0.107236 0.122932 0.0995469 -0.00119028 0.00204203 0.00320618
7 0.037990775 -0.004919907 -0.0836731 1.29068 -0.000551043 0.0253521 0.0131897 0.112304 0.124676 0.0998634 -0.000755543 0.000450095 -0.00308946
8 0.013629048 0.01651151 -0.0283671 1.28269 -0.00825726 0.026146 -0.00425967 0.107176 0.12682 0.101839 0.00197608 0.00016464 0.00211231
9 -0.018552832 -0.0091556464 -0.0301504 1.29333 -0.0214187 0.00335937 -0.000493479 0.107495 0.126345 0.100697 -0.00116025 -0.00101062 -0.00148278
10 -0.008333435 0.011777346 0.0312049 1.26736 -0.00962894 0.0124609 -0.0111654 0.106114 0.130273 0.102709 0.00166688 -0.00184746 0.00122503
11 -0.032463907 -0.020511083 0.00142647 1.28752 -0.0195484 -1.23086e-05 -0.0129032 0.105716 0.122313 0.0966239 -0.00150263 0.000612423 -0.00160641
12 -0.042768208 0.017497909 0.00232221 1.25001 -0.018021 -0.0107193 -0.0140279 0.105385 0.132309 0.104664 0.00355587 -0.00361518 0.00137969
13 -0.062894944 -0.017248221 0.0879871 1.24093 -0.0148395 -0.00392184 -0.0441337 0.107225 0.11889 0.0964895 -0.00336248 0.0050339 -0.00205652
14 -0.058619071 0.017625833 -0.072751 1.27493 -0.0224319 -0.00722006 -0.0289671 0.113473 0.121584 0.109272 -0.00028247 0.00058965 7.0441e-05
15 -0.099809873 0.019614835 -0.0630989 1.34927 -0.0308085 -0.0145921 -0.0544093 0.114002 0.11158 0.101679 0.00300009 0.00428982 0.00228453
16 -0.084927396 0.0048947936 -0.151485 1.32966 -0.0175427 -0.0155806 -0.0518041 0.114678 0.118072 0.111007 -0.00238873 0.00129081 -0.00248215
17 -0.075321843 -0.01374536 -0.153475 1.32337 -0.0315668 -0.0137783 -0.0299768 0.124958 0.110871 0.0945424 0.00163688 -0.00394776 -0.000789506
18 -0.053563916 -0.00096528067 -0.0987143 1.31904 -0.0474898 0.0269279 -0.033002 0.119465 0.115363 0.0991476 -0.00544396 0.00307611 0.00172503
